Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tholospyris sp. ex gr.	Siphonosphaera polysiphonia	Euchitonia elegans	Pterocorys sabae	Pterocanium praetextum praetextum	Acanthodesmia viniculata	Theocalyptra sp.	Stylosphaera sp. ex. gr.	Stichocorys delmontensis	Spirocyrtis sp. cf. S. subscalaris	Siphostichartus corona	Pterocorys clausus	Phormostichoartus corbula	Peromelissa phalacra	Peripyramis circumtexta	Otosphaera polymorpha	Lophospyris pentagona pentagona	Lophospyris pentagona hyperborea	Lamprocyrtis nigriniae	Lamprocyrtis hannai	Eucecryphalus sestrodiscus	Disolenia zanqyebarica	Dictyophimus infabricatus	Cornutella profunda	Collosphaera tuberosa	Collosphaera huxleyi	Buccinosphaera invaginata	Botryocyrtis scutum	Artostrobus annulatus	Anthocyrtidium zanguebaricum	Anthocyrtidium ophirense	Acrosphaera spinosa	Acrosphaera murrayana	Theocorythium trachelium trachelium	Theocorys veneris	Tetrapyle octacantha	Spongaster tetras	Siphocampe lineata	Siphocampe arachnea	Pterocanium trilobum	Lithopera bacca	Liriospyris reticulata	Lamprocyclas maritalis polypora	Heliodiscus asteriscus	Eucyrtidium acuminatum	Dictyocoryne truncatum	Dictyocoryne profunda	Clathrocanium diadema	Didymocyrtis tetrathalamus tetrathalamus	Collosphaera macropora	Carpocanistrum cephalum	Comment



  SR	                 	                 	                  	              	116	 719	A	  1	H	 1	  39.00	      0.3900	Takahashi	Radiolarians                                 	               	                  	R                     	                           	R                 	                	                                 	                        	                	                        	                        	                                  	                      	                  	                         	                    	                       	                     	                               	                                	                      	                   	                          	                      	                         	                   	R                    	                    	                         	                   	                     	                            	                        	                   	                     	                                   	                 	A                   	                 	                  	                   	                    	               	                      	                               	                      	                      	                      	R                    	                     	                                        	                      	                       	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 719	A	  1	H	 1	  74.00	      0.7400	Takahashi	Radiolarians                                 	               	                  	                      	                           	C                 	A               	A                                	A                       	                	C                       	                        	                                  	                      	                  	C                        	                    	C                      	                     	                               	                                	                      	                   	                          	C                     	                         	                   	C                    	                    	                         	C                  	                     	                            	                        	A                  	                     	C                                  	                 	A                   	C                	                  	                   	                    	               	C                     	C                              	C                     	                      	                      	C                    	C                    	A                                       	C                     	C                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 719	A	  1	H	 1	  77.00	      0.7700	Takahashi	Radiolarians                                 	               	                  	A                     	C                          	A                 	A               	A                                	A                       	                	                        	                        	A                                 	                      	                  	A                        	A                   	                       	                     	                               	A                               	                      	                   	                          	C                     	R                        	A                  	A                    	                    	R                        	A                  	                     	C                           	A                       	C                  	C                    	C                                  	C                	A                   	A                	C                 	A                  	A                   	C              	A                     	C                              	A                     	A                     	A                     	C                    	C                    	                                        	                      	                       	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 719	A	  1	H	 2	  35.00	      1.8500	Takahashi	Radiolarians                                 	               	                  	R                     	                           	                  	                	                                 	R                       	                	                        	                        	                                  	                      	                  	                         	                    	                       	                     	                               	                                	                      	                   	                          	                      	                         	                   	                     	                    	                         	                   	                     	                            	                        	                   	                     	                                   	                 	                    	                 	                  	                   	                    	               	                      	                               	                      	                      	                      	                     	                     	                                        	                      	                       	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212
