Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongodiscus sp.	Dictyomitra andersoni	Buryella granulata	Buryella foremanae	Amphisphaera goruna	Amphisphaera coronata s.l.	Bathropyramis sanjoaquinensis s.l.	Amphipyndax stocki	Pterocodon sp.	Buryella tetradica	Lithomespilus coronatus	Microsciadiacapsa sp.	Cornutella californica	Clathrocyclas australis	Rhopalocanium aff. ornatum	Dictyomitra multicostata	Axoprunum sp.	Lithomelissa? aitai	Euchitonia sp.	Sponge spicules	Myllocercion acineton	Dorcadospyris aff. confluens	Dictyophimus sp.	Cyrtocapsa campi	Siphocampe altamontensis	Buryella sp.	Amphisphaera sp.	Comment



  IR	                 	                 	                  	              	181	1121	B	  1	H	CC	   1.00	      9.7100	rads     	Radiolarians                                 	T              	G                 	                	                     	                  	                  	                   	                          	                                  	R                 	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	  2	H	CC	  12.00	     19.3800	rads     	Radiolarians                                 	R              	P                 	                	                     	                  	                  	                   	                          	                                  	R                 	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	               	T                    	                            	                	                	                        	            	R               	       

  IR	                 	                 	                  	              	181	1121	B	  3	H	CC	  10.00	     28.7800	rads     	Radiolarians                                 	R              	P                 	                	                     	                  	                  	R                  	                          	                                  	                  	              	R                 	F                      	                     	R                     	                       	                          	                        	             	                   	              	               	                     	                            	                	                	R                       	R           	                	       

  IR	                 	                 	                  	              	181	1121	B	  4	X	CC	  23.00	     23.2300	rads     	Radiolarians                                 	T              	G                 	                	                     	                  	                  	                   	                          	                                  	                  	              	                  	                       	                     	                      	                       	                          	                        	             	                   	              	T              	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	  6	X	 2	  60.00	     34.8000	rads     	Radiolarians                                 	C              	VG                	A               	                     	                  	                  	F                  	A                         	A                                 	R                 	              	C                 	C                      	                     	F                     	R                      	R                         	                        	             	                   	              	               	                     	R                           	F               	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	  6	X	CC	  17.00	     37.1800	rads     	Radiolarians                                 	C              	VG                	A               	R                    	F                 	                  	C                  	A                         	F                                 	R                 	              	C                 	C                      	C                    	F                     	T                      	R                         	                        	             	                   	              	F              	C                    	F                           	C               	R               	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	  7	X	CC	  13.00	     50.5500	rads     	Radiolarians                                 	C              	M                 	A               	                     	C                 	                  	                   	A                         	F                                 	R                 	              	C                 	R                      	A                    	                      	                       	C                         	                        	             	                   	R             	               	                     	                            	                	                	                        	            	                	       

  IR	                 	                 	                  	              	181	1121	B	  8	X	CC	  11.00	     60.9600	rads     	Radiolarians                                 	C              	M                 	C               	                     	R                 	                  	R                  	A                         	C                                 	C                 	              	C                 	C                      	R                    	R                     	                       	F                         	                        	             	                   	              	               	                     	                            	                	                	                        	            	                	       

