Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus erectus,Watznaueria barnesae,Reinhardtites anthophorus,Quadrum sissinghii,Quadrum gothicum,Micula decussata,Manivitella pemmatoidea,Cylindralithus sp.,Cribrosphaerella ehrenbergii,Cretarhabdus sp.,Ceratolithoides aculeus,Arkhangelskiella specillata,Prediscosphaera honjoi,Prediscosphaera cretacea,Parhabdolithus embergeri,Microrhabdulus decoratus,Eiffellithus turriseiffelii,Zygodiscus diplogrammus,Quadrum trifidum,Discorhabdus rotatorius,Rhagodiscus splendens,Biscutum constans,Vagalapilla stradneri,Eiffellithus eximius,Crucibiscutum salebrosum,Coccosphaera (unspecified taxon),Lithraphidites carniolensis,Chiastozygus litterarius,Ahmuellerella octoradiata,Tranolithus phacelosus,Zygodiscus spiralis,Rucinolithus irregularis,Rhagodiscus asper,Corollithion exiguum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC23              ,              ,143, 869,B,  8,R,CC,  12.00,    198.0200,Mutterlose,Nannofossils                                 ,A              ,P                 ,                  ,A                   ,                         ,                  ,                ,A               ,                       ,                  ,                            ,A               ,                       ,                           ,                      ,                        ,                        ,                        ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC23              ,              ,143, 869,B,  9,R,CC,   8.00,    207.6800,Mutterlose,Nannofossils                                 ,A              ,P                 ,                  ,A                   ,                         ,                  ,                ,A               ,                       ,                  ,                            ,A               ,                       ,                           ,                      ,                        ,                        ,                        ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC23              ,              ,143, 869,B,  9,R,CC,  13.00,    207.7300,Mutterlose,Nannofossils                                 ,A              ,P                 ,                  ,A                   ,                         ,                  ,                ,A               ,                       ,                  ,                            ,A               ,                       ,                           ,                      ,                        ,                        ,                        ,                           ,                       ,                ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC23              ,              ,143, 869,B, 10,R, 1,   0.00,    217.2000,Erba     ,Nannofossils                                 ,A              ,P/M               ,                  ,A                   ,                         ,                  ,                ,C               ,                       ,R                 ,R                           ,A               ,                       ,                           ,                      ,R                       ,                        ,                        ,                           ,                       ,F               ,                       ,                     ,                 ,                     ,                    ,                        ,                                ,                           ,                        ,                         ,                      ,                   ,                        ,                 ,                    ,from ODP Leg 144SR; Ch 7; Table 7; p 149
