Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudohastigerina sp.	Globigerinatheka sp.	Dentoglobigerina galavisi	Chiloguembelina cubensis	Cassigerinella chipolensis	Acarinina bullbrooki	Subbotina utilisindex	Paragloborotalia acrostoma	Acarinina pentacamerata	Globoquadrina dehiscens	Subbotina angiporoides	Globigerina ciperoensis	Acarinina sp.	Paragloborotalia pseudokugleri	Zeaglobigerina ampliapertura	Turborotalia griffinae	Planorotalites pseudoscitulus	Praeorbulina transitoria	Acarinina soldadoensis	Paragloborotalia kugleri	Paragloborotalia opima	Zeaglobigerina woodi	Zeaglobigerina nepenthes group	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Turborotalita quinqueloba	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis spp.	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Orbulina universa	Neogloboquadrina acostaensis (dextral)	Globigerinoides trilobus	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinita uvula	Globigerinita juvenilis	Globigerinita glutinata	Globigerinella siphonifera	Globigerinella obesa	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinoides sacculifer	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina acostaensis (sinistral)	Globigerinoides gomitulus	Streptochilus globigerum	Tenuitella anfracta	Globorotalia margaritae	Globigerina venezuelana	Globorotalia menardii group	Globigerina bulbosa	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Beella digitata	Comment



  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 12	H	CC	  42.00	    113.3700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	12                  	8                             	1                       	2                         	5                        	                                	                        	                              	                         	25               	8                                     	19                      	2                    	9                            	59                      	4                  	17                     	28                     	+                         	5                   	84                     	7                    	+                                    	+                   	19                        	                                       	+                                       	2                        	                        	                   	10                     	                       	                           	                   	                         	?                         	+              	Species abundance = 27. Total specimens = 326. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 1	  27.00	    114.0700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	8                   	14                            	                        	1                         	3                        	+                               	4                       	+                             	+                        	23               	10                                    	12                      	                     	3                            	49                      	2                  	17                     	24                     	+                         	8                   	66                     	4                    	                                     	6                   	2                         	                                       	2                                       	                         	                        	                   	49                     	                       	                           	                   	                         	                          	               	Species abundance = 24. Total specimens = 307. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 1	  35.00	    114.1500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	18                  	19                            	2                       	8                         	+                        	                                	2                       	+                             	+                        	27               	2                                     	1                       	4                    	                             	75                      	2                  	10                     	27                     	                          	5                   	114                    	3                    	                                     	1                   	1                         	                                       	                                        	                         	                        	                   	2                      	                       	                           	                   	                         	+                         	               	Species abundance = 23. Total specimens = 323. from Leg 160SR Ch 2 Table 4.

  SR	Early Pliocene   	                 	MPL2              	              	160	 967	A	 13	H	 1	  77.00	    114.5700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                     	                    	                         	                        	                          	                    	                     	                          	                       	                       	                      	                       	             	                              	                            	                      	                             	                        	                      	                        	                      	2                   	23                            	                        	2                         	+                        	+                               	12                      	                              	+                        	40               	5                                     	12                      	3                    	10                           	62                      	1                  	17                     	10                     	                          	3                   	85                     	4                    	                                     	+                   	4                         	                                       	1                                       	+                        	                        	+                  	4                      	                       	                           	                   	                         	                          	               	Species abundance = 25. Total specimens = 300. from Leg 160SR Ch 2 Table 4.
