Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongasteriscus marylandicus,Lychnocanoma elongata,Artophormis gracilis,Theocyrtis annosa,Eucyrtidium diaphanes,Dorcadospyris ateuchus,Theocorys spongoconus,Eucyrtidium sp.,Calocycletta robusta,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Stichocorys wolffii,Stichocorys delmontensis,Didymocyrtis violina,Didymocyrtis tubaria,Cyrtocapsella japonica,Calocycletta virginis,Phormostichoartus corbula,Diartus petterssoni,Didymocyrtis laticonus,Didymocyrtis mammifera,Lithopera neotera,Didymocyrtis antepenultima,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 13,R, 3,  62.00,    701.8200,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,                        ,                    ,                    ,                      ,                     ,                         ,                   ,+                     ,                      ,                 ,?                         ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 15,R, 3,  60.00,    720.8000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,T                       ,                    ,                    ,                      ,                     ,                         ,                   ,                      ,                      ,+                ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 17,R, 3,  58.00,    740.3800,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,                       ,                     ,                   ,+                       ,                    ,                    ,                      ,                     ,+                        ,T                  ,T                     ,T                     ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,C, 18,R, 3,  61.00,    749.2400,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                 ,                     ,                      ,                     ,               ,                    ,-                      ,-                    ,                   ,                        ,                    ,                    ,-                     ,                     ,+                        ,                   ,                      ,                      ,                 ,                          ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
