verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name,_merge_approved
Abas wittii,diatoms,Abas,Abas wittii,wittii,,left_only
Abathomphalus intermedius,planktic_forams,Abathomphalus,Abathomphalus intermedius,intermedius,,left_only
Abathomphalus mayaroensis,planktic_forams,Abathomphalus,Abathomphalus mayaroensis,mayaroensis,,both
Abies sp.,pollen,Abies,Abies sp.,sp.,,left_only
Abutilon sp. (q),pollen,Abutilon,Abutilon sp.,sp.,,left_only
Abyssamina incisa,benthic_forams,Abyssamina,Abyssamina incisa,incisa,,left_only
Abyssamina poagi,benthic_forams,Abyssamina,Abyssamina poagi,poagi,,both
Abyssamina quadrata,benthic_forams,Abyssamina,Abyssamina quadrata,quadrata,,both
Abyssocythere sp.,ostracods,Abyssocythere,Abyssocythere sp.,sp.,,left_only
Acacia sp.,pollen,Acacia,Acacia sp.,sp.,,left_only
Acaciapollenites myriosporites,pollen,Acaciapollenites,Acaciapollenites myriosporites,myriosporites,,left_only
Acalypha sp,pollen,Acalypha,Acalypha sp,sp,,left_only
Acanthocythereis sp. (q),ostracods,Acanthocythereis,Acanthocythereis sp.,sp.,,left_only
Acanthodesmia circumflexa,radiolarians,Acanthodesmia,Acanthodesmia circumflexa,circumflexa,,left_only
Acanthodesmia sp.,radiolarians,Acanthodesmia,Acanthodesmia sp.,sp.,,left_only
Acanthodesmia vinculata,radiolarians,Acanthodesmia,Acanthodesmia vinculata,vinculata,,left_only
Acanthodesmid sp.,radiolarians,Acanthodesmid,Acanthodesmid sp.,sp.,,left_only
Acanthodiscus antarcticus,diatoms,Acanthodiscus,Acanthodiscus antarcticus,antarcticus,,left_only
Acanthodiscus convexus,diatoms,Acanthodiscus,Acanthodiscus convexus,convexus,,left_only
Acanthodiscus ornatus,diatoms,Acanthodiscus,Acanthodiscus ornatus,ornatus,,left_only
Acanthodiscus sp.,diatoms,Acanthodiscus,Acanthodiscus sp.,sp.,,left_only
Acanthoica quattrospina,nannofossils,Acanthoica,Acanthoica quattrospina,quattrospina,,left_only
Acanthoica sp.,nannofossils,Acanthoica,Acanthoica sp.,sp.,,left_only
Acanthoica sp. (q),nannofossils,Acanthoica,Acanthoica sp.,sp.,,left_only
Acanthosphaera haliformis (q),radiolarians,Acanthosphaera,Acanthosphaera haliformis,haliformis,,left_only
Acanthosphaera sp.,radiolarians,Acanthosphaera,Acanthosphaera sp.,sp.,,left_only
Acanthosphaeridium reticulatum,diatoms,Acanthosphaeridium,Acanthosphaeridium reticulatum,reticulatum,,left_only
