Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Sphenolithus gr. moriformis/abies,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Discoaster surculus,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera intermedia,Discoaster gr. variabilis,Syracosphaera spp.,Scyphosphaera spp.,Rhabdosphaera spp.,Pontosphaera spp.,Florisphaera profunda,Discoaster spp.,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster brouweri,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Scapholithus fossilis,Calcidiscus macintyrei,Reticulofenestra pseudoumbilicus (circular outline),Ceratolithus sp.,Umbilicosphaera spp.,Thoracosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 1,  27.00,    114.0700,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,C                                ,A                               ,C                    ,50                 ,F                  ,                     ,C                     ,R/F                     ,20                       ,F                 ,F/C               ,F                 ,C                ,120                  ,10             ,30                      ,                       ,70                 ,                                   ,20                    ,R                    ,R                     ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance = 180; Rare reworked Cenozoic taxa. Rare gypsum crystals. Sparce dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 1,  77.00,    114.5700,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,C                                ,A                               ,C                    ,160                ,R                  ,R                    ,A                     ,R                       ,30                       ,F                 ,C/A               ,F                 ,C                ,40                   ,               ,100                     ,                       ,110                ,40                                 ,60                    ,R                    ,R                     ,                                                   ,                ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =400; Rare reworked Cenozoic taxa. Rare gypsum crystals. Rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 1, 117.00,    114.9700,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,C                                ,C/A                             ,C                    ,25                 ,F                  ,RR                   ,C/A                   ,                        ,15                       ,F                 ,F                 ,F                 ,F                ,40                   ,               ,10                      ,                       ,25                 ,5                                  ,5                     ,R                    ,                      ,                                                   ,                ,                    ,R                  ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =75; Rare gypsum crystals. Sparse dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 967,A, 13,H, 2,  19.00,    115.4900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,A                                ,C/A                             ,C                    ,240                ,F                  ,                     ,C/A                   ,R                       ,150                      ,F                 ,R                 ,F                 ,F                ,130                  ,20             ,250                     ,20                     ,180                ,10                                 ,70                    ,R                    ,                      ,R                                                  ,RR              ,                    ,                   ,from Leg 160SR. Ch 9. Table 2. Discoaster total abundance =860; Rare foraminifers. Rare gypsum crystals. Rare dolomite.
