Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ammonia sp.,Elphidium sp.,Valvulineria marmorea,Quinqueloculina laevigata,Pullenia quadriloba,Oridorsalis stellatus,Gyroidinoides laevigatus,Globocassidulina subglobosa,Uvigerina peregrina,Pleurostomella alternans,Karreriella bradyi,Cibicidoides pachyderma,Brizalina punctata,Pullenia quinqueloba,Planulina ariminensis,Uvigerina rutila,Uvigerina pygmaea,Stilostomella monilis,Stilostomella antillea,Eponides pusillus,Cibicidoides ungerianus,Cibicidoides italicus,Bigenerina nodosaria,Anomalinoides helicinus,Sigmoilopsis schlumbergeri,Lobatula lobatula,Brizalina dilatata,Siphonina reticulata,Pullenia salisburyi,Pullenia bulloides,Pseudoparrella  exigua,Parrelloides robertsonianus,Oolina faveolata,Lenticulina inornata,Gyroidina soldanii,Eggerella bradyi,Dentalina leguminiformis,Parrelloides bradyi,Lenticulina rotulata,Lenticulina gibba,Cribrobulimina serpens,Astrononion stelligerum,Sigmoilinita tenuis,Martinottiella perparva,Vaginulinopsis carinata,Lagena clavata,Bolivina subspinescens,Vulvulina pennatula,Siphonina  planoconvexa,Martinottiella communis,Lenticulina  cultrata,Vaginulina sulcata,Stilostomella hispida,Sphaeroidina bulloides,Quinqueloculina viennesis,Quinqueloculina bicarinata,Pullenia osloensis,Marginulina sp.,Cibicidoides omatus,Cyclindroclavulina rudis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 12,H,CC,  42.00,    113.3700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,                     ,                         ,+                  ,+                    ,+                       ,+                          ,                   ,+                       ,+                 ,                       ,                  ,                    ,                     ,                ,+                ,                     ,+                     ,                 ,+                      ,+                    ,                    ,                       ,                          ,+                ,                  ,+                   ,                   ,                  ,                      ,+                          ,                ,                    ,+                 ,                ,                        ,+                  ,                    ,+                ,                      ,+                      ,                   ,                       ,                       ,              ,                      ,                   ,                       ,+                      ,+                    ,                  ,                     ,                      ,                         ,                          ,+                 ,               ,+                  ,+                       ,Species abundance = 23. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 1,  27.00,    114.0700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,+                  ,+                    ,+                       ,+                          ,                   ,+                       ,+                 ,+                      ,+                 ,+                   ,+                    ,                ,                 ,+                    ,                      ,                 ,                       ,+                    ,+                   ,+                      ,                          ,                 ,                  ,+                   ,                   ,+                 ,                      ,                           ,                ,+                   ,                  ,                ,+                       ,+                  ,                    ,+                ,                      ,                       ,                   ,                       ,                       ,              ,                      ,+                  ,                       ,+                      ,                     ,                  ,                     ,                      ,                         ,                          ,+                 ,               ,                   ,                        ,Species abundance = 25. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 1,  35.00,    114.1500,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,+                       ,                           ,                   ,                        ,                  ,                       ,+                 ,                    ,                     ,                ,                 ,                     ,                      ,                 ,                       ,+                    ,                    ,                       ,                          ,                 ,                  ,+                   ,                   ,                  ,                      ,                           ,                ,                    ,+                 ,+               ,                        ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,              ,                      ,                   ,                       ,                       ,+                    ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 9. from Leg 160Sr Ch 2 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,160, 967,A, 13,H, 1,  77.00,    114.5700,Spezzaferri,Benthic Foraminifers                         ,               ,                  ,           ,             ,+                    ,                         ,                   ,+                    ,                        ,                           ,                   ,                        ,                  ,                       ,+                 ,                    ,+                    ,                ,+                ,+                    ,+                     ,                 ,+                      ,+                    ,+                   ,+                      ,+                         ,                 ,                  ,+                   ,                   ,+                 ,                      ,                           ,                ,+                   ,+                 ,                ,+                       ,                   ,                    ,                 ,                      ,                       ,                   ,                       ,                       ,+             ,                      ,+                  ,                       ,                       ,                     ,                  ,                     ,                      ,                         ,                          ,                  ,               ,                   ,                        ,Species abundance = 20. from Leg 160Sr Ch 2 Table 6.
