Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Whiteinella baltica	Archaeoglobigerina cretacea	Globigerinelloides impensus	Globotruncanella petaloidea	Globigerinelloides subcarinatus	Abathomphalus mayaroensis	Pseudotextularia elegans	Globanomalina australiformis	Pseudohastigerina micra	Globanomalina planoconica	Globanomalina chapmani	Chiloguembelina morsei	Acarinina primitiva	Chiloguembelina cubensis	Acarinina matthewsae	Globigerinatheka index	Neogloboquadrina pachyderma (sinistral)	Comment



  IR	Early Pliocene   	Pleistocene      	                  	NK7           	183	1135	A	  1	R	 1	   0.00	      0.0000	Coxall   	Planktonic Foraminifers                      	C              	VG                	                   	                           	                           	                           	                               	                         	                        	                            	                       	                         	                      	                      	                   	                        	                    	                      	D                                      	       

  IR	                 	Middle Eocene    	                  	              	183	1135	A	 10	R	CC	   8.00	     93.8800	Coxall   	Planktonic Foraminifers                      	               	                  	                   	                           	                           	                           	                               	                         	                        	                            	+                      	                         	                      	                      	                   	                        	+                   	-                     	                                       	Zone AP9.

  IR	                 	Middle Eocene    	                  	              	183	1135	A	 11	R	CC	   8.00	    100.8900	Coxall   	Planktonic Foraminifers                      	A              	VG                	                   	                           	                           	                           	                               	                         	                        	                            	                       	                         	                      	                      	+                  	+                       	-                   	                      	                                       	Zone AP8

  IR	                 	Early Eocene     	                  	              	183	1135	A	 19	R	CC	   7.00	    174.7600	Coxall   	Planktonic Foraminifers                      	A              	VG                	                   	                           	                           	                           	                               	                         	                        	+                           	-                      	+                        	+                     	+                     	+                  	                        	                    	                      	                                       	Lower Zone AP7

  IR	                 	Late Paleocene   	                  	              	183	1135	A	 27	R	CC	   0.00	    252.3500	Coxall   	Planktonic Foraminifers                      	A              	G                 	                   	                           	                           	                           	                               	                         	                        	-                           	                       	                         	                      	                      	                   	                        	                    	                      	                                       	Zone AP4

  IR	                 	Maestrichtian    	                  	              	183	1135	A	 29	R	CC	   0.00	    271.8700	Coxall   	Planktonic Foraminifers                      	A              	G                 	                   	                           	                           	                           	                               	                         	-                       	                            	                       	                         	                      	                      	                   	                        	                    	                      	                                       	Globigerinelloides subcarinatusZone. Upper Maastrichtian

  IR	                 	                 	                  	              	183	1135	A	 33	R	CC	   0.00	    310.9600	Coxall   	Planktonic Foraminifers                      	A              	G                 	                   	                           	                           	+                          	-                              	+                        	                        	                            	                       	                         	                      	                      	                   	                        	                    	                      	                                       	Globotruncanella petaloidea Zone. Lower Maastrichtian.

  IR	                 	Campanian        	                  	              	183	1135	A	 43	R	CC	   0.00	    402.6000	Coxall   	Planktonic Foraminifers                      	C              	P                 	                   	                           	-                          	                           	                               	                         	                        	                            	                       	                         	                      	                      	                   	                        	                    	                      	                                       	A. cretacea Zone.

  IR	                 	Santonian        	                  	              	183	1135	A	 50	R	CC	   0.00	    468.8700	Coxall   	Planktonic Foraminifers                      	A              	M                 	+                  	-                          	                           	                           	                               	                         	                        	                            	                       	                         	                      	                      	                   	                        	                    	                      	                                       	Probable Marginotruncanca marginata Zone.

