Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Morozovella conicotruncata,Acarinina pentacamerata,Planorotalites pseudomenardii,Morozovella aequa,Chiloguembelina sp.,Planorotalites imitata,Globigerina inaequispira,Chiloguembelina martini,Morozovella occlusa,Globigerina senni,Guembelitria columbiana,Pseudohastigerina wilcoxensis,Globigerina cryptomphala,Subbotina angiporoides,Globigerinella obesa,Turborotalia pomeroli,Turborotalia increbescens,Jenkinsella nana,Jenkinsella mayeri,Globigerina sellii,Globigerina ciperoensis,Globigerina binaiensis,Globigerina angulisuturalis,Fohsella kugleri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Oligocene        ,                  ,              ,121, 752,A,  2,H, 1, 115.00,      9.4500,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,.5%                    ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Oligocene        ,                  ,              ,121, 752,A, 10,H, 3, 110.00,     89.1000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,                    ,.9%                  ,.9%                      ,.6%             ,.4%               ,.4%               ,.3%                    ,.4%                   ,.6%                        ,.6%             ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Oligocene        ,                  ,              ,121, 752,A, 10,H,CC,  18.00,     94.8200,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,                      ,1.3%                ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,Oligocene        ,                  ,              ,121, 752,A, 11,H, 3, 110.00,     98.8000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                          ,                       ,                             ,                 ,                   ,                      ,                        ,                       ,                   ,                 ,                       ,                             ,                        ,.9%                   ,                    ,                     ,                         ,                ,                  ,                  ,                       ,                      ,                           ,                ,from ODP Leg 121 SR Chapter 3 Table 2 p 93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
