Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Tritaxia paleocenica,Stensioina beccariiformis,Spiroplectammina spp.,Saccammina ? sp.,Quadrimorphina allomorphinoides,Pullenia cretacea,Pullenia coryelli,Pullenia americana,Praebulimina spp.,Orthomorphina ? sp.,Orthomorphina spp.,Oridorsalis sp. 1,Nodosaria vertebralis,Nodosaria spp.,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Lagena spp.,Gyroidinoides spp.,Gyroidinoides planulatus,Gyroidina soldanii,Guttulina sp.,Guttulina problema,Guttulina cf. trigonula,Globulina gibba,Gaudryina cf. laevigata,Frondicularia spp.,Ellipsoidella spp.,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides hyphalus,Astacolus spp.,Anomalinoides semicribratus,Anomalinoides capitatus/danicus,Alabamina creta,Saracenaria spp.,Pullenia reussi,Oolina spp.,Cibicidoides velascoensis,Cibicidoides cf. pseudoperlucidus,Bulimina trinitatensis,Anomalina praeacuta,Ammodiscus sp.,Allomorphina sp.,Tritaxia ? sp.,Ramulina globulifera,Vaginulina spp.,Pleurostomella spp.,Oridorsalis sp.,Gaudryina sp.,Tritaxia cf. globulifera,Pyramidina sp.,Pleurostomella alternans,Oridorsalis umbonatus,Ammodiscus glabratus,Nodosaria soluta,Nodosarella spp.,Cibicidoides spp.,Bulimina triangularis,Bulimina sp.,Vulvulina mexicana,Tritaxia globulifera,Stilostomella gracillima,Nuttallides truempyi,Gyroidinoides globulosus,Gaudryina pyramidata,Sphaeroidina sp.,Nonion havanensis,Clavulina spp.,Bathysiphon sp. ,Spiroplectammina spectabilis,Pyramidina rudita,Nuttallinella cf. florealis,Dorothia spp.,Stilostomella spp.,Pseudonodosaria sp.,Lenticulina callifera,Karreriella ? sp.,Dorothia trochoides,Remesella varians,Massilina sp.,Gyroidinoides cf. quadratus,Cribrostomoides? sp.,Nonionella unspecified taxon,Neoflabellina reticulata,Osangularia velascoensis,Eggerella sp.,Bulimina tuxpamensis,Anomalinoides spp.,Nuttallinella florealis,Nonion spp.,Dorothia beloides,Bolivina ? sp.,Cibicidoides sp. 6,Pullenia quadriloba,Cibicidoides sp. 12,Lenticulina occidentalis,Gyroidinoides cf. globulosus,Nodosaria gracillima,Buliminella grata,Planulina spp.,Lenticulina chambersi,Lenticulina caroliniana,Glabratella sp.,Gaudryina cf. pyramidata,Bolivinoides delicatulus,Pullenia quinqueloba,Pullenia eocaenica,Pleurostomella acuta,Orthomorphina heterosculpta,Gyroidina orbicularis,Cibicidoides sp. 8,Cibicidoides sp. 13,Cibicidoides sp. 11,Cibicidoides grimsdalei,Cibicidoides cf. velascoensis,Bulimina jarvisi,Alabamina sp.,Pullenia spp.,Pleurostomella acuminata,Planulina sp. 1,Lenticulina convergens,Gravellina sp.,Anomalinoides spissiformis,Osangularia mexicana,Orthomorphina challengeriana,Bulimina macilenta,Turrilina brevispira,Ellipsoidina sp.,Bulimina bradburyi,Bolivinoides sp.,Pullenia subcarinata,Lenticulina alato-limbata,Alabamina sp. 1,Lenticulina occidentalis torridus,Hemicristellaria sp.,Cibicidoides subspiratus,Cibicidoides eocaenus,Neoeponides sp. 1,Lenticulina pseudovortex,Cibicidoides sp. 10,Aragonia aragonensis,Alabamina dissonata,Globocassidulina globosa (s.l.),Trifarina wilcoxensis,Orthomorphina annulifera,Hemicristellaria fragaria,Bulimina impendens,Pyrulina sp.,Tritaxia amorpha,Heronallenia sp.,Buliminella sp.,Bulimina alazanensis,Osangularia sp. 1,Hanzawaia ammophila,Ehrenbergina sp.,Cibicidoides laurisae,Cibicidina walli,Cibicides spp.,Vulvulina spinosa,Planulina costata,Baggina ? sp.,Uvigerina sp. 1,Stomatorbina sp.,Stilostomella aculeata,Hanzawaia sp. 1,Fissurina spp.,Cibicidoides truncanus,Cibicidoides sp. 3,Uvigerina spp.,Stilostomella lepidula,Quadrimorphina sp.,Pullenia osloensis,Orthomorphina havanensis,Cibicidoides sp. 1,Cibicidoides havanensis,Bulimina callahani,Amphistegina sp.,Uvigerina resurgens,Uvigerina finelineata,Orthomorphina antillea,Nodosaria hispida,Lenticulina lucidus,Karreriella subglabra,Globocassidulina sp. 1,Cibicidoides bradyi,Bulimina mexicana,Astrononion sp.,Rectuvigerina ? unspecified taxon,Quinqueloculina sp.,Pullenia bulloides,Planulina renzi,Orthomorphina modesta,Nodosaria pyrula,Lenticulina rotulata,Lenticulina nuttalli,Laticarinina pauperata,Globocassidulina sp. 2,Cibicidoides mundulus,Bolivina cf. thalmanni,Bolivina cf. silvestrina,Astrononion stelligerum,Uvigerina cf. mantaensis,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella rimosa,Pleurostomella brevis,Plectofrondicularia parri,Dyocibicides perforatus,Cibicides lobatulus,Anomalinoides grosserugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 14,X, 1,  70.00,    123.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,1               ,                  ,23              ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,              ,                        ,                     ,              ,                           ,9                              ,               ,                ,               ,           ,                         ,                                 ,3                     ,                   ,              ,                ,              ,                    ,               ,2                  ,               ,             ,                        ,              ,                        ,18                   ,                    ,                ,                ,                 ,                     ,            ,1                 ,                    ,                        ,13                  ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,15                  ,                  ,                       ,           ,                 ,              ,6                 ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,1                    ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,1                 ,                    ,                ,                  ,                ,                    ,                         ,               ,                                 ,                    ,30                      ,2                    ,                 ,                        ,                   ,                    ,9                  ,                               ,                     ,                        ,1                        ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 132 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 14,X, 3,  70.00,    126.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,1             ,2               ,                  ,20              ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,              ,                        ,                     ,              ,6                          ,16                             ,               ,                ,               ,           ,                         ,                                 ,                      ,                   ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,10                   ,                    ,                ,                ,3                ,                     ,            ,5                 ,                    ,                        ,8                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,10                  ,                  ,                       ,           ,                 ,              ,                  ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,1                 ,1                   ,                           ,1                    ,                  ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,3                         ,                    ,                            ,                  ,                    ,                ,                  ,                ,5                   ,                         ,               ,                                 ,                    ,44                      ,11                   ,                 ,                        ,2                  ,                    ,12                 ,                               ,1                    ,1                       ,1                        ,1                 ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 163 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 15,X, 1,  70.00,    133.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,                ,                  ,13              ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,2                 ,2             ,                        ,                     ,              ,                           ,16                             ,               ,                ,               ,           ,                         ,                                 ,                      ,                   ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,12                   ,                    ,                ,                ,                 ,                     ,            ,                  ,                    ,1                       ,6                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,33                  ,                  ,                       ,           ,                 ,              ,                  ,2                  ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,1                   ,                  ,                    ,                           ,2                    ,                  ,                   ,                   ,                       ,4                            ,10              ,             ,             ,                        ,               ,                      ,              ,5                         ,                    ,                            ,2                 ,                    ,                ,                  ,1               ,2                   ,                         ,7              ,                                 ,                    ,62                      ,4                    ,                 ,                        ,                   ,                    ,29                 ,4                              ,2                    ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 223 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 15,X, 5,  70.00,    139.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,                ,                  ,7               ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,2             ,                        ,                     ,              ,                           ,15                             ,               ,                ,               ,           ,                         ,                                 ,                      ,                   ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,26                   ,                    ,                ,                ,                 ,                     ,            ,                  ,                    ,                        ,9                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,22                  ,                  ,                       ,           ,                 ,              ,                  ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,1                    ,                  ,                   ,                   ,                       ,                             ,2               ,             ,             ,                        ,               ,                      ,              ,                          ,                    ,                            ,7                 ,                    ,                ,                  ,                ,                    ,                         ,1              ,                                 ,                    ,4                       ,21                   ,                 ,                        ,26                 ,                    ,6                  ,14                             ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 164 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 16,X, 1,  70.00,    142.7000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,1               ,                  ,13              ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,              ,                        ,                     ,1             ,4                          ,27                             ,               ,                ,               ,           ,                         ,                                 ,11                    ,                   ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,22                   ,                    ,                ,                ,1                ,                     ,            ,1                 ,                    ,                        ,9                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,6                   ,                  ,                       ,           ,                 ,              ,28                ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,12                  ,10                ,                    ,                           ,8                    ,                  ,                   ,                   ,                       ,                             ,2               ,             ,             ,                        ,               ,                      ,              ,4                         ,5                   ,                            ,                  ,                    ,                ,                  ,                ,                    ,                         ,4              ,                                 ,                    ,6                       ,5                    ,                 ,2                       ,11                 ,                    ,5                  ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 197 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 16,X, 5,  25.00,    148.2500,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,1                              ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,                ,                  ,9               ,           ,                  ,                        ,1                 ,             ,                  ,                       ,               ,                       ,                  ,                  ,1             ,                        ,                     ,              ,15                         ,18                             ,               ,                ,               ,           ,                         ,                                 ,10                    ,                   ,              ,                ,              ,                    ,1              ,                   ,               ,             ,                        ,              ,                        ,98                   ,                    ,                ,                ,1                ,                     ,6           ,                  ,                    ,1                       ,18                  ,                        ,                    ,                ,                 ,              ,                ,1                           ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,3                   ,                  ,                       ,           ,                 ,              ,36                ,3                  ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,7                    ,15                ,                   ,                   ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,1             ,                          ,12                  ,                            ,                  ,1                   ,                ,3                 ,                ,5                   ,                         ,               ,                                 ,1                   ,1                       ,17                   ,1                ,6                       ,5                  ,1                   ,1                  ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 299 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 17,X, 1,  70.00,    152.4000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,                ,                  ,11              ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,1             ,                        ,                     ,              ,6                          ,51                             ,               ,                ,               ,           ,                         ,                                 ,5                     ,                   ,              ,                ,              ,                    ,               ,                   ,               ,             ,                        ,              ,                        ,10                   ,                    ,                ,                ,3                ,                     ,1           ,                  ,                    ,1                       ,16                  ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,2                   ,                  ,                       ,           ,                 ,              ,30                ,                   ,                   ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,                  ,                    ,                           ,                     ,2                 ,                   ,19                 ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,                          ,1                   ,                            ,                  ,                    ,                ,                  ,                ,4                   ,                         ,1              ,                                 ,                    ,9                       ,2                    ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 175 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 17,X, 3,  70.00,    155.4000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,2             ,                ,                  ,30              ,1          ,                  ,                        ,                  ,             ,2                 ,                       ,               ,                       ,                  ,                  ,              ,                        ,                     ,              ,4                          ,31                             ,               ,                ,               ,           ,                         ,                                 ,                      ,                   ,              ,                ,              ,1                   ,               ,                   ,               ,             ,                        ,              ,                        ,34                   ,                    ,                ,                ,4                ,                     ,1           ,                  ,                    ,                        ,8                   ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,2                    ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,11                  ,                  ,                       ,           ,                 ,              ,9                 ,9                  ,4                  ,                        ,                            ,                    ,                 ,              ,                     ,                       ,               ,                        ,                        ,                    ,2                 ,                    ,                           ,                     ,9                 ,                   ,16                 ,                       ,                             ,1               ,             ,             ,                        ,               ,                      ,              ,2                         ,9                   ,                            ,4                 ,2                   ,                ,5                 ,                ,1                   ,                         ,2              ,1                                ,1                   ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 209 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 18,X, 1,  71.00,    162.1100,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,                    ,                         ,                     ,                ,                               ,                 ,                 ,                  ,                 ,                   ,                  ,                 ,                     ,              ,                ,                  ,9               ,           ,                  ,                        ,                  ,             ,                  ,                       ,               ,                       ,                  ,                  ,1             ,                        ,                     ,              ,8                          ,22                             ,               ,                ,               ,           ,                         ,                                 ,                      ,                   ,              ,                ,              ,1                   ,               ,                   ,               ,             ,                        ,              ,                        ,24                   ,                    ,                ,                ,1                ,                     ,2           ,                  ,                    ,4                       ,43                  ,                        ,                    ,                ,                 ,              ,                ,                            ,                 ,                           ,             ,                  ,                   ,                     ,                 ,                   ,                 ,             ,                           ,                    ,                            ,                        ,                        ,             ,6                   ,                  ,                       ,           ,                 ,              ,9                 ,5                  ,33                 ,                        ,                            ,                    ,                 ,              ,                     ,1                      ,               ,                        ,                        ,                    ,2                 ,                    ,                           ,                     ,9                 ,                   ,7                  ,                       ,                             ,                ,             ,             ,                        ,               ,                      ,              ,2                         ,2                   ,                            ,2                 ,                    ,                ,11                ,3               ,1                   ,6                        ,2              ,                                 ,                    ,                        ,                     ,                 ,                        ,                   ,                    ,                   ,                               ,                     ,                        ,                         ,                  ,            ,                ,                ,               ,                    ,                 ,                   ,                ,                     ,                ,              ,                 ,                 ,             ,               ,                ,                      ,               ,              ,                      ,                  ,              ,                      ,                  ,                  ,                        ,                  ,                       ,                  ,                ,                   ,                     ,                      ,                 ,                   ,                     ,                      ,                   ,                 ,               ,                                 ,                   ,                  ,               ,                     ,                ,                    ,                    ,                      ,                      ,                     ,                      ,                        ,                       ,                        ,                     ,                      ,                     ,                     ,                         ,                       ,                   ,                           ,Total number of specimens 219 from ODP Leg 121 SR Chapter 1 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
