Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample
361,U1477,A,1,1-CC,H,CC,PAL,FORAM,0,5,7.51,7.56,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],,F [A104],R [A104],,,,,R [A104],D [A104],,,,R [A104],,,,,,,F [A104],,,,,,,,,,,,,,,,R [A104],,,F [A104],,R [A104],,F [A104],F [A104],,,,,,,,,,361-U1477A-1H-CC-PAL
361,U1477,A,2,2-CC,H,CC,PAL,FORAM,0,5,17.25,17.3,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],,F [A104],R [A104],,,,,R [A104],D [A104],,,,R [A104],,,,R [A104],,,F [A104],,,,,,,R [A104],,,,R [A104],,,,,,,,F [A104],,R [A104],,F [A104],F [A104],,,,,,,,,,361-U1477A-2H-CC-PAL
361,U1477,A,3,3-CC,H,CC,PAL,FORAM,0,5,26.83,26.88,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],,,F [A104],R [A104],,,,,D [A104],F [A104],,,,R [A104],,,,F [A104],,,F [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,,,,F [A104],,R [A104],,F [A104],F [A104],,,,,,,,,,361-U1477A-3H-CC-PAL
361,U1477,A,4,4-CC,H,CC,PAL,FORAM,0,5,36.63,36.68,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],,,,,A [A104],A [A104],,,,F [A104],,,,,,,R [A104],,,,,,,,,,R [A104],,,,,,,,,F [A104],,R [A104],,R [A104],R [A104],,,,,,,,,,361-U1477A-4H-CC-PAL
361,U1477,A,5,5-CC,H,CC,FORAM,,0,5,45.95,46.0,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],,,,,,A [A104],F [A104],,,,F [A104],,,,F [A104],,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,R [A104],,,F [A104],,R [A104],,R [A104],R [A104],,,,,,,,,,361-U1477A-5H-CC-FORAM
361,U1477,A,6,6-CC,H,CC,PAL,FORAM,0,5,55.63,55.68,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],,,,,,D [A104],F [A104],,,,F [A104],,,,R [A104],,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,R [A104],,,F [A104],,F [A104],,R [A104],R [A104],,,,,,,,,,361-U1477A-6H-CC-PAL
361,U1477,A,7,7-CC,H,CC,PAL,FORAM,0,5,65.23,65.28,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],R [A104],R [A104],R [A104],,F [A104],R [A104],,,,,F [A104],F [A104],,,,F [A104],,,,,,,R [A104],,,,,,,R [A104],,,R [A104],,,,,,,,,R [A104],,R [A104],,R [A104],R [A104],,,,,,,,,,361-U1477A-7H-CC-PAL
361,U1477,A,8,8-CC,H,CC,PAL,FORAM,0,5,74.42,74.47,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,F [A104],F [A104],R [A104],R [A104],,F [A104],F [A104],,,,,A [A104],A [A104],,,,R [A104],,,,,,,R [A104],,,,,,,,,,R [A104],R [A104],R [A104],,,,,,,R [A104],,R [A104],,R [A104],R [A104],,,,,,,,,,361-U1477A-8H-CC-PAL
361,U1477,A,10,10-CC,H,CC,PAL,FORAM,0,5,93.02,93.07,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],,R [A104],R [A104],R [A104],F [A104],R [A104],,,,,A [A104],F [A104],,,,F [A104],,,,R [A104],,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],R [A104],,,,,,,F [A104],,,,R [A104],R [A104],,,,,,,,,,361-U1477A-10H-CC-PAL
361,U1477,A,11,11-CC,H,CC,PAL,FORAM,0,5,101.83,101.88,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,F [A104],,F [A104],,R [A104],R [A104],,,,,,F [A104],R [A104],,,,F [A104],,,,R [A104],,,P [A104],,,,,,,,,,R [A104],P [A104],,,,,,,,F [A104],,R [A104],,R [A104],R [A104],,P [A104],,,,,,,,361-U1477A-11H-CC-PAL
361,U1477,A,12,12-CC,F,CC,PAL,FORAM,0,5,107.4,107.45,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C [A103],,,R [A104],R [A104],R [A104],R [A104],,R [A104],,,,,,A [A104],A [A104],,,,F [A104],,,,,,,F [A104],,,,,,,R [A104],,,P [A104],R [A104],P [A104],,,,R [A104],,,R [A104],,,,P [A104],R [A104],,P [A104],,,,,,,,361-U1477A-12F-CC-PAL
361,U1477,A,13,13-CC,F,CC,PAL,FORAM,0,5,111.8,111.85,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C [A103],,,P [A104],,R [A104],P [A104],R [A104],F [A104],R [A104],,,,,A [A104],A [A104],,,,P [A104],,,,,,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],R [A104],,,,P [A104],,,R [A104],,,,F [A104],R [A104],,,,,,,,,,361-U1477A-13F-CC-PAL
361,U1477,A,14,14-CC,F,CC,PAL,FORAM,0,5,116.9,116.95,"T Globigerinoides ruber pink (Gradstein et al., 2012)",PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,P [A104],P [A104],R [A104],P [A104],P [A104],,P [A104],,,,P [A104],P [A104],P [A104],,,,,,,,P [A104],,,F [A104],,,,,,,P [A104],,,P [A104],,,,,,,,,P [A104],,,,R [A104],,,,,,,,,,,361-U1477A-14F-CC-PAL
361,U1477,A,15,15-CC,F,CC,PAL,FORAM,0,5,121.47,121.52,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R [A104],,R [A104],,R [A104],R [A104],F [A104],,,,R [A104],F [A104],F [A104],,,,R [A104],,,,R [A104],,,R [A104],,,,,,,,,,R [A104],,,,,,,,,R [A104],,,,R [A104],R [A104],,P [A104],,,,,,,,361-U1477A-15F-CC-PAL
