Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data
349-U1431E-7R-1-W 0/3-PAL-FORAMP,0,3,603.3,603.33,,,,,M13b [G12],"M13b - Globorotalia plesiotumida/Globorotalia lenguaensis Concurrent-range Subzone (Gradstein et al., 2012)",,,6.14,,,8.58,,G [P32],C [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,R [A88],,,,,,,R [A88],,,R [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,
349-U1431E-8R-1-W 10/12-FORAMP,0,2,613.1,613.12,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale gray-brown deep clay,,
349-U1431E-8R-4-W 36/37-PAL-FORAMP,0,1,617.8,617.81,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431E-8R-5-PAL-FORAMP,0,7,619.53,619.6,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,"almost barren only a few specimens, mainly S. seminula and other species occurring sporadicly, often non-identifiable.",,
349-U1431E-9R-5-W 39/40-PAL-FORAMP,0,1,629.23,629.24,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,
349-U1431E-9R-6-PAL-FORAMP,0,5,630.86,630.91,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,very poorly preserved the G. miotumida specimen was broken.,,
349-U1431E-11R-3-PAL-FORAMP,0,5,644.99,645.04,,,,,,,,,,,,,,P [P32],C [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,"often sticked together with volcanic debris or becamos galuconitic internal mounds, difficult to identify.",,
349-U1431E-12R-1-W 134/135-PAL-FORAMP,0,1,653.14,653.15,"B Neogloboquadrina acostaensis [(sub)tropical] (Gradstein et al., 2012)",B,,9.83,M13a [G12],"M13a - Neogloboquadrina acostaensis Lowest-occurrence Subzone (Gradstein et al., 2012)",,,8.58,,,9.83,,P [P32],C [A87],,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],,R [A88],,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate sandstone,,
349-U1431E-12R-4-W 51/53-PAL-FORAMP,0,2,657.12,657.14,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431E-12R-7-PAL-FORAMP,0,5,660.47,660.52,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"clay, with some volcanic debris (including glass)",,
