Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data
354-U1453A-1H-CC-PAL,0,5,9.01,9.06,,,,,,,,,C [A101],G [P38],M [F02],98,2,,,,,,,,,F [A102],,R [A102],,R [A102],,,,,,F [A102],R [A102],F [A102],R [A102],R [A102],,,,,,,,,,,,,,,R [A102],,,,,,,R [A102],R [A102],,,,,,,,,A [A102],,R [A102],,,,,C [A102],,,,,,,,,,,,,
354-U1453A-2H-CC-PAL,0,5,15.56,15.61,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],G [P38],L [F02],98,1,,,,,,,,,R [A102],,,,F [A102],,R [A102],,,,R [A102],R [A102],C [A102],,R [A102],,,,,,,,,,,,,,,R [A102],,,,,,R [A102],R [A102],F [A102],,,,,,,,,A [A102],,,,,,,A [A102],,,,,,,,,,,,,
354-U1453A-3H-CC-PAL,0,5,22.94,22.99,,,,,,,,,VR [101],G [P38],L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,
354-U1453A-6F-CC-PAL,0,5,38.58,38.63,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],G [P38],M [F02],100,2,,,,,,,,,R [A102],,C [A102],,,,R [A102],,,R [A102],F [A102],R [A102],A [A102],F [A102],R [A102],,,R [A102],,,,,,,,,,,,,,,,,,F [A102],,R [A102],F [A102],,,,R [A102],,,,A [A102],,R [A102],,,,,C [A102],,,,,,,,,,,,,
354-U1453A-7F-CC-PAL,0,7,40.09,40.16,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-U1453A-8F-CC-PAL,0,5,47.97,48.02,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A [A101],G [P38],M [F02],100,2,,,very small bugs,,,,,,R [A102],,F [A102],,F [A102],R [A102],,,,,F [A102],,C [A102],,R [A102],,,,,,,,,,,,,,,R [A102],,,,,,R [A102],,R [A102],,,,,F [A102],R [A102],,,A [A102],,,,,,,R [A102],,,,,,,,,,,,,
354-U1453A-9F-CC-PAL,0,5,51.36,51.41,,,,,,,,,VR [101],G [P38],L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],,,,,,,,,,,,,
354-U1453A-10F-CC-PAL,0,5,57.97,58.02,,,,,,,,,R [A101],G [P38],L [F02],50,1,,,,,,,,,,,,,R [A102],,,,,,,,F [A102],R [A102],,,,R [A102],,,,,,,,,,,,R [A102],,,,,,,,R [A102],,,,,,,,,F [A102],,,,,,,R [A102],,,,,,,,,present [A79],absent [A79],,,
354-U1453A-11F-CC-PAL,0,5,61.84,61.89,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present [A79],absent [A79],,,
354-U1453A-12F-CC-PAL,0,10,66.82,66.92,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],M [P38],M [F02],73,2,,,,,,,,,,,,,,,,R [A102],,,,R [A102],C [A102],F [A102],,,,,,,,,,,,,,,,,,,,,,R [A102],,F [A102],,,,,,,,,C [A102],,,,,,,R [A102],,,R [A102],R [A102],,,,,present [A79],absent [A79],,,
