Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp. ,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa ,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1506A-1R-CC-PAL-OSTRA,0,5,2.2,2.25,4.6,2,,1,,,2,,,,11,,,,2,,,,,8,,,,,,,371,U1506,A,1,R,CC,PAL,OSTRA
371-U1506A-3R-CC-PAL-OSTRA,0,10,14.76,14.86,3.4,4,,2,,,3,,,,4,,,,4,,,,,6,,,,,,,371,U1506,A,3,R,CC,PAL,OSTRA
371-U1506A-4R-CC-PAL-OSTRA,0,10,27.16,27.26,10.6,4,,3,,,4,,,1,8,,,,21,,,,,5,,,,,,,371,U1506,A,4,R,CC,PAL,OSTRA
371-U1506A-5R-CC-PAL-OSTRA,0,5,32.7,32.75,12,4,,,,,3,,,,6,,,,33,,,,,5,,,,,,,371,U1506,A,5,R,CC,PAL,OSTRA
371-U1506A-6R-CC-PAL-OSTRA,0,10,48.14,48.24,10.8,4,,,,,1,,,,7,,,,26,,,,,10,,,,,,,371,U1506,A,6,R,CC,PAL,OSTRA
371-U1506A-7R-CC-PAL-OSTRA,0,3,51.8,51.83,4,4,,,,,1,,,,3,,,,9,,,,,9,,,,,,,371,U1506,A,7,R,CC,PAL,OSTRA
371-U1506A-8R-CC-PAL-OSTRA,0,10,68.08,68.18,4.2,4,,,,,1,,,,,,,,15,,,,,4,,,,,,,371,U1506,A,8,R,CC,PAL,OSTRA
371-U1506A-9R-CC-PAL-OSTRA,0,10,77.51,77.61,3.7,4,,,,,1,,,,,,,,26,,,,,8,,,,,,,371,U1506,A,9,R,CC,PAL,OSTRA
371-U1506A-10R-CC-PAL-OSTRA,0,6,87.57,87.63,9.3,5,,,,,5,,,,5,,,,12,,,,,2,,,,,,,371,U1506,A,10,R,CC,PAL,OSTRA
371-U1506A-11R-CC-PAL-OSTRA,0,10,96.8,96.9,4.5,5,,,,,2,,,,1,,,,15,,,,,5,,,,,,,371,U1506,A,11,R,CC,PAL,OSTRA
