Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links
351-U1438B-1H-CC-PAL-FORAM,351,U1438,B,1,1-CC,H,CC,PAL,FORAM,0,7,7.19,7.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-1-W 68/71-FORAM,351,U1438,B,2,2-1,H,1,W,68/71-FORAM,0,3,7.88,7.91,G,C,,,,,,,,R,,,,P,R,,,,,,,,,P,,,,,,,,,,P,R,,,,,,,,R,,R,F,,,,
351-U1438B-2H-CC-PAL-FORAM,351,U1438,B,2,2-CC,H,CC,PAL,FORAM,0,7,16.22,16.29,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-3H-CC-PAL-FORAM,351,U1438,B,3,3-CC,H,CC,PAL,FORAM,0,8,25.67,25.75,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-4H-1-W 136/137-FORAM,351,U1438,B,4,4-1,H,1,W,136/137-FORAM,0,1,27.56,27.57,G,C,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,R,,,,,
351-U1438B-4H-CC-PAL-FORAM,351,U1438,B,4,4-CC,H,CC,PAL,FORAM,0,8,35.73,35.81,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-CC-PAL-FORAM,351,U1438,B,5,5-CC,H,CC,PAL,FORAM,0,0,44.89,44.89,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,
351-U1438B-6H-CC-PAL-FORAM,351,U1438,B,6,6-CC,H,CC,PAL,FORAM,0,7,54.96,55.03,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-7H-CC-PAL-FORAM,351,U1438,B,7,7-CC,H,CC,PAL,FORAM,0,10,64.09,64.19,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-PAL-FORAM,351,U1438,B,8,8-3,H,3,PAL,FORAM,0,10,68.58,68.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-CC-PAL-FORAM,351,U1438,B,9,9-CC,H,CC,PAL,FORAM,0,10,83.59,83.69,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-10H-CC-PAL-FORAM,351,U1438,B,10,10-CC,H,CC,PAL,FORAM,0,10,91.12,91.22,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-7-PAL-FORAM,351,U1438,B,11,11-7,H,7,PAL,FORAM,0,10,102.17,102.27,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-CC-PAL-FORAM,351,U1438,B,12,12-CC,H,CC,PAL,FORAM,0,10,111.97,112.07,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-13H-CC-PAL-FORAM,351,U1438,B,13,13-CC,H,CC,PAL,FORAM,0,0,121.37,121.37,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-14H-CC-PAL-FORAM,351,U1438,B,14,14-CC,H,CC,PAL,FORAM,0,0,127.88,127.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-15H-CC-PAL-FORAM,351,U1438,B,15,15-CC,H,CC,PAL,FORAM,0,0,139.64,139.64,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-16H-CC-PAL-FORAM,351,U1438,B,16,16-CC,H,CC,PAL,FORAM,0,0,148.96,148.96,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-17H-CC-PAL-FORAM,351,U1438,B,17,17-CC,H,CC,PAL,FORAM,0,0,159.07,159.07,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-CC-PAL-FORAM,351,U1438,B,18,18-CC,H,CC,PAL,FORAM,0,9,166.4,166.49,M,R,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,,,,R,,,,,,,,,,,,,,,,,,
351-U1438B-19H-CC-PAL-FORAM,351,U1438,B,19,19-CC,H,CC,PAL,FORAM,0,9,168.79,168.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-CC-PAL-FORAM,351,U1438,B,20,20-CC,F,CC,PAL,FORAM,0,10,173.64,173.74,M,R,,,,,,,,R,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-CC-PAL-FORAM,351,U1438,B,21,21-CC,F,CC,PAL,FORAM,0,8,177.77,177.85,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,
351-U1438B-22F-CC-PAL-FORAM,351,U1438,B,22,22-CC,F,CC,PAL,FORAM,0,2,180.65,180.67,M,R,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,,
