Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1520D-1H-1-PAL_MUDLINE-FORAM,0,0,0.0,0.0,VG-M,C,,,,,X,,,X,,,X,,,,X,,,,,X,X,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,R,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,1,1,,X,,,,,,X,,,,,,375,U1520,D,1,H,1,P
375-U1520D-1H-CC-PAL-FORAM,0,5,5.88,5.93,VG-G,A,,,,,C,,,A,,,F,,,,,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,11,5,,R,,,,,,,,,,,,375,U1520,D,1,H,CC,P
375-U1520D-2H-CC-PAL-FORAM,0,10,15.7,15.8,VG,C,,,,,C,,,R,,,R,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,1,15,,,,,,,,,,,,,,375,U1520,D,2,H,CC,P
375-U1520D-4H-CC-PAL-FORAM,0,10,34.87,34.97,G,C,,,,,A,,,F,,,R,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,0,36,,,,,,,,,,,,,,375,U1520,D,4,H,CC,P
375-U1520D-6H-CC-PAL-FORAM,0,10,53.21,53.31,VG,F,,,,,A,,,F,,,F,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,0,2,,,C,0,26,,R,,,,,,,,,,,,375,U1520,D,6,H,CC,P
375-U1520D-8H-CC-PAL-FORAM,0,10,70.82,70.92,G-P,R,,,,,A,,,,,,,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,0,6,,,,,,,,,,,,,,375,U1520,D,8,H,CC,P
375-U1520D-11H-CC-PAL(7-17)-FORAM,0,10,101.87,101.97,VG-G,D,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,4,,,,,,,,,,,,,,375,U1520,D,11,H,CC,P
375-U1520D-13H-CC-PAL-FORAM,0,10,120.89,120.99,G,F,,,,,C,,,F,,,,,,,,,,,,F,X,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,3,19,,,,,,,,,,,,,,375,U1520,D,13,H,CC,P
375-U1520D-15H-CC-PAL-FORAM,0,10,139.34,139.44,G,F,,,,,C,,,F,,,R,,,,F,,,,,F,X,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,C,26,8,,,,,,,,,,,,,,375,U1520,D,15,H,CC,P
375-U1520D-17H-CC-PAL-FORAM,0,10,156.18,156.28,VG-G,D,,,,,A,,,C,,,R,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2,40,,F,,,,,,,,,,,,375,U1520,D,17,H,CC,P
