Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1433B-2R-CC-PAL-NANNO,0,5,187.79,187.84,NN19 [G12],G [P33],A [A12],F [A89],F [A89],,,,,R [A89],,,,,,,,,,,,,,,,,F [A89],,,F [A89],,,,R [A89],,A [A89],F [A89],,,,F [A89],,,,,,F [A89],,,,,F [A89],,R [A89],many ascidian spicules; reworked species,,,349,U1433,B,2,R,CC,P
349-U1433B-3R-CC-PAL-NANNO,0,5,197.13,197.18,NN19 [G12],G [P33],A [A12],C [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],F [A89],,,,,,,,,,,,,,,,,,,,,349,U1433,B,3,R,CC,P
349-U1433B-4R-CC-PAL-NANNO,0,11,205.74,205.85,NN19 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],,,,,F [A89],,,,,,,,,,,,,,,,,349,U1433,B,4,R,CC,P
349-U1433B-5R-CC-PAL-NANNO,0,11,220.52,220.63,NN19 [G12],G [P33],A [A12],F [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],C [A89],,,,F [A89],,,,,,,,,,,F [A89],,,,,,349,U1433,B,5,R,CC,P
349-U1433B-6R-CC-PAL-NANNO,0,11,229.07,229.18,NN19 [G12],G [P33],A [A12],F [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A89],F [A89],,,,F [A89],,,,,,,,,,,,,,,,,349,U1433,B,6,R,CC,P
349-U1433B-7R-CC-PAL-NANNO,0,10,237.84,237.94,NN19 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,B,7,R,CC,P
349-U1433B-8R-CC-PAL-NANNO,0,12,249.28,249.4,NN19 [G12],G [P33],A [A12],C [A89],R [A89],,,,,,,,,,,F [A89],,,,,,,,,,,C [A89],,,,,F [A89],,,,A [A89],F [A89],,,,F [A89],,,,,,C [A89],,,,,C [A89],,,,,,349,U1433,B,8,R,CC,P
349-U1433B-9R-CC-PAL-NANNO,0,13,258.65,258.78,NN19 [G12],M [P33],C [A12],F [A89],F [A89],,,,,,,,,,,F [A89],,,,,,,,,,,C [A89],,,,,,,,,A [A89],F [A89],,,,F [A89],,,,,,F [A89],,,,,,,,overgrown discoasters; abundant non-nannofossil calcareous particles; lots of ascidian spicules,,,349,U1433,B,9,R,CC,P
349-U1433B-10R-CC-PAL-NANNO,0,11,268.89,269.0,NN18 [G12],G [P33],A [A12],,C [A89],,,,,,,R [A89],,F [A89],,F [A89],,,,R [A89],,,,,,R [A89],F [A89],,,,,,,R [A89],,A [A89],C [A89],R [A89],,,F [A89],,,,,,,,,,,F [A89],,,,,,349,U1433,B,10,R,CC,P
349-U1433B-11R-CC-PAL-NANNO,0,11,275.05,275.16,,G [P33],A [A12],F [A89],F [A89],,F [A89],,,F [A89],,,,F [A89],,R [A89],,,,,,,,,,,F [A89],,,R [A89],,,,F [A89],,,C [A89],R [A89],,,,F [A89],,,,,,,,,,F [A89],,F [A89],,,,349,U1433,B,11,R,CC,P
349-U1433B-12R-CC-PAL-NANNO,0,10,286.14,286.24,,G [P33],A [A12],F [A89],C [A89],,,,,F [A89],,,,F [A89],,C [A89],,,,R [A89],,,,,,R [A89],C [A89],,,,,F [A89],,F [A89],,C [A89],F [A89],F [A89],,,F [A89],F [A89],,,,,C [A89],,,,F [A89],F [A89],,,abundant overgrown non-nannofossil calcareous particles; overgrown discoasters,,,349,U1433,B,12,R,CC,P
349-U1433B-13R-CC-PAL-NANNO,0,10,299.2,299.3,,G [P33],A [A12],F [A89],F [A89],,,,,,,,,,,F [A89],,,,,,,,,,,C [A89],,,,,R [A89],,,R [A89],D [A89],F [A89],R [A89],,,R [A89],R [A89],C [A89],,F [A89],,F [A89],,,,,F [A89],,F [A89],Common broken rays of Discoaster ,,,349,U1433,B,13,R,CC,P
349-U1433B-14R-CC-PAL-NANNO,0,10,309.0,309.1,,M [P33],C [A12],F [A89],F [A89],,,F [A89],,,,,,,,C [A89],,,,,,,,,,,C [A89],,,,,R [A89],,,,A [A89],F [A89],R [A89],,,R [A89],,C [A89],,F [A89],,F [A89],,,,,F [A89],,F [A89],,,,349,U1433,B,14,R,CC,P
349-U1433B-15R-CC-PAL-NANNO,0,5,317.66,317.71,,P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,F [A89],R [A89],,,,,,R [A89],,R [A89],,,,,,,,,,Rare Discoaster broken rays present,,,349,U1433,B,15,R,CC,P
