Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1499A-1H-CC-PAL-NANNO,0,5,7.45,7.5,,M,C,C,,C,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,1,H,CC,PAL
367-U1499A-2H-3-W 56/57-NANNO,0,1,11.06,11.07,,M,F,F,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,367,U1499,A,2,H,3,W
367-U1499A-2H-5-W 64/64-NANNO,0,0,14.14,14.14,,G,C,F,,A,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,R,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,2,H,5,W
367-U1499A-2H-CC-PAL-NANNO,0,5,17.33,17.38,,M,C,F,,A,C,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,2,H,CC,PAL
367-U1499A-3H-CC-PAL-NANNO,0,5,26.84,26.89,,G,C,,,C,C,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,F,,R,,,,,,,,,,,,,,,C,,,,,367,U1499,A,3,H,CC,PAL
367-U1499A-4H-3-W 38/39-NANNO,0,1,29.88,29.89,,G,C,,,A,C,,,,,,,R,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,4,H,3,W
367-U1499A-4H-5-W 39/40-NANNO,0,1,32.89,32.9,,VG,C,,,A,C,,,,,R,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,F,,,,,,,,F,,,,,,,,,,,,,,,C,,,C,,,,,367,U1499,A,4,H,5,W
367-U1499A-4H-CC-PAL-NANNO,0,5,36.36,36.41,,G,C,,,C,C,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,C,,,,,,,,F,C,,,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,4,H,CC,PAL
367-U1499A-5H-CC-PAL-NANNO,0,5,45.68,45.73,,G,C,,,C,,,C,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,R,R,,,,,,,,,,,,F,,,F,,,,,367,U1499,A,5,H,CC,PAL
367-U1499A-6H-3-W 120/121-NANNO,0,1,49.7,49.71,,VG,A,,,A,C,,A,,,,R,F,A,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,F,,,,F,,,,,,C,C,,,,,,,,F,C,R,F,,,,,,,,,,,,C,,C,C,Slumping,,,,367,U1499,A,6,H,3,W
