Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1504A-2R-CC-PAL-NANNO,0,5,7.8,7.85,NN21 [G12],G [P33],A [A12],,,,,C,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,A,,,,C,,,R,,,,,,,,,R,,,,,,,,R,R,A,,C,R,,,,,,,,,,,,,,,,R,F,,,,C,C,,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,,368,U1504,A,2,R,CC,PAL,NANNO
368-U1504A-3R-CC-PAL-NANNO,0,4,21.31,21.35,NN21 [G12],G [P33],A [A12],,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,A,,A,,,,C,,,,,,,,,,R,,F,,F,,,,,,R,F,A,,C,,,,,,,,,,,,,,,,,F,F,,,,C,C,,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,,368,U1504,A,3,R,CC,PAL,NANNO
368-U1504A-4R-CC-PAL(10-15)-NANNO,0,5,31.7,31.75,NN19 [G12],G [P33],A [A12],,,,,C,,,,,,,F,,,,,,,R,,,,,,,R,R,R,,,,,,,,,,,,R,,,R,,,F,R,,,,,,,,,A,,A,,,,F,,R,F,,,,,,,F,,F,R,F,,,,,,,F,A,,F,,R,,,,,,,,,,,,,,,,F,,,,F,C,,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,,368,U1504,A,4,R,CC,PAL(10-15),NANNO
368-U1504A-5R-CC-PAL(12-17)-NANNO,0,5,38.48,38.53,NN19 [G12],G [P33],A [A12],,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,A,F,A,,,,C,,,,,,,,,,,,F,F,,,,,,,,F,A,,F,,,,,,,,,,,,,,,,,,C,,,,F,,,REWORKED FOSSILS FROM PLIOCENE-LATE MIOCENE,,,,368,U1504,A,5,R,CC,PAL(12-17),NANNO
368-U1504A-6R-CC-PAL(9-14)-NANNO,0,5,52.08,52.13,NN6 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,,F,C,,R,,,,,,,,,,,,C,,,,F,,,,,F,,,,C,,,,,F,,,,,,,,,,,F,,F,,,,,F,,,,,F,,,,C,,,,C,C,A,,,F,C,,,,,,,,,,,C,,,,,,C,,,C,,,"FORAM SAND LAYER, DISCOASTERIDS NOT AS WELL PRESERVED AS OTHER GROUPS",,,,368,U1504,A,6,R,CC,PAL(9-14),NANNO
368-U1504A-7R-CC-PAL(0-5)-NANNO,0,5,59.73,59.78,NN5 [G12],G [P33],A [A12],,,,,F,,F,,,,,,,,,,R,C,F,,C,,,,,,,,,,C,,,,,,,,,,F,,,,F,C,,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,F,C,A,,,R,,,,,,,,,,,A,C,F,,,,C,,,,C,,,,,,,368,U1504,A,7,R,CC,PAL(0-5),NANNO
368-U1504A-8R-CC-PAL(14-19)-NANNO,0,5,73.51,73.56,NN4 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,R,C,F,,A,,,,,,,,,,C,R,,,,,,,,,,,,F,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,,,,,,R,,,,,,,,F,C,C,,,,,,,,,,,,,,A,C,F,,,,,,,,F,,,,,,,368,U1504,A,8,R,CC,PAL(14-19),NANNO
368-U1504A-9R-CC-PAL(12-17)-NANNO,0,5,78.26,78.31,NN3 [G12],G [P33],A [A12],,,,,C,,,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,R,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,,,R,,,,,,,,F,C,A,,,,,,,,,,,,,,C,C,,,,,,,,,F,,,,,,,368,U1504,A,9,R,CC,PAL(12-17),NANNO
368-U1504A-10R-CC-PAL(14-19)-NANNO,0,5,93.91,93.96,NN2 [G12],G [P33],A [A12],,,,,C,,,,,,,,,,,,,C,C,F,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,,,,,,R,,,,,,,,C,C,A,,,,,C,,,,,,,,,,C,,,,,,F,F,,F,,,,,,,368,U1504,A,10,R,CC,PAL(14-19),NANNO
368-U1504A-12R-1-W 3/5-NANNO,0,2,104.83,104.85,NN2 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,C,C,C,C,C,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,,,,,,F,,,,,,,,F,C,C,,,,,C,,,,,,,,,,C,,,,,,F,F,,,,,,,,,368,U1504,A,12,R,1,W,3/5-NANNO
368-U1504A-12R-1-W 40/42-NANNO,0,2,105.2,105.22,NN2 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,C,C,C,C,C,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,F,C,C,,,,,,,,,,,,,,,C,,,,,,F,F,,,,,,,,,368,U1504,A,12,R,1,W,40/42-NANNO
368-U1504A-12R-CC-PAL(13-18)-NANNO,0,5,112.61,112.66,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,F,A,C,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,C,,,,,,,,,,,C,,,,C,,,,,,F,F,,,,,HEAVY OVERGROWTH OF DISCOASTER,,,,368,U1504,A,12,R,CC,PAL(13-18),NANNO
368-U1504A-13R-CC-PAL (8-10)-NANNO,0,2,114.78,114.8,UNDETM [N/A],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,13,R,CC,PAL,(8-10)-NANNO
368-U1504A-14R-1-PAL(36-38)-NANNO,0,2,124.86,124.88,UNDETM [N/A],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,14,R,1,PAL(36-38),NANNO
368-U1504A-15R-1-W 34/35-NANNO,0,1,134.54,134.55,UNDETM [N/A],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,15,R,1,W,34/35-NANNO
