Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links
361,U1478,A,1,1-CC,H,CC,PAL,FORAM,0,5,6.62,6.67,,,,A [A103],,,,R [A104],A [A104],R [A104],R [A104],A [A104],,,,,,F [A104],A [A104],,,,R [A104],,,,F [A104],,,F [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,R [A104],,,A [A104],,R [A104],,R [A104],R [A104],,R [A104],,,,,,,
361,U1478,A,2,2-2,H,2,W,70/72-FORAM,0,2,8.9,8.92,,,,C [A103],,,P [A104],,R [A104],,,P [A104],,,,,,F [A104],F [A104],,,,P [A104],,,,P [A104],,,P [A104],,,,,,,,,,P [A104],P [A104],,,,,R [A104],,,P [A104],,,,,P [A104],,P [A104],,,,,,,
361,U1478,A,2,2-5,H,5,W,70/72-FORAM,0,2,13.4,13.42,"T Globigerinoides ruber pink (Gradstein et al., 2012)",,,C [A103],,,P [A104],,R [A104],P [A104],,F [A104],,,,,R [A104],A [A104],A [A104],,,,,,P [A104],,P [A104],,,R [A104],,,,,,,,,,P [A104],,,,,,R [A104],,,R [A104],,,,P [A104],,,,,,,,,,
361,U1478,A,2,2-CC,H,CC,PAL,FORAM,0,5,15.88,15.93,,,,A [A103],,,,R [A104],R [A104],,R [A104],R [A104],R [A104],,,,R [A104],A [A104],F [A104],,,,,,,,R [A104],,,F [A104],,,,,,,R [A104],,,R [A104],,,,,,F [A104],,,F [A104],,R [A104],,R [A104],R [A104],,,,,,,,,
361,U1478,A,3,3-1,H,1,W,70/72-FORAM,0,2,16.9,16.92,,,,A [A103],,,,R [A104],R [A104],,R [A104],R [A104],R [A104],,,,R [A104],A [A104],F [A104],,,,R [A104],,,,R [A104],,,F [A104],,,,,,,R [A104],,,R [A104],P [A104],R [A104],,,,R [A104],,,F [A104],,R [A104],,R [A104],R [A104],,P [A104],,,,,,,
361,U1478,A,3,3-3,H,3,W,70/72-FORAM,0,2,19.9,19.92,,,,A [A103],,,,R [A104],R [A104],,,R [A104],R [A104],,,,R [A104],A [A104],F [A104],,,,,,,,R [A104],,,P [A104],,,,,,,,,,P [A104],,,,,,R [A104],,,D [A104],,R [A104],,R [A104],R [A104],,,,,,,,,
361,U1478,A,3,3-5,H,5,W,70/72-FORAM,0,2,22.81,22.83,,,,A [A103],,,,R [A104],R [A104],,R [A104],R [A104],R [A104],,,,R [A104],A [A104],F [A104],,,,R [A104],,,,F [A104],,,R [A104],,,,,,,P [A104],,,R [A104],,,,,,R [A104],,,A [A104],,R [A104],,R [A104],R [A104],,,,,,,,,
361,U1478,A,3,3-CC,H,CC,PAL,FORAM,0,5,26.01,26.06,,,,A [A103],,,R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],,,,F [A104],A [A104],R [A104],,,,,,,,R [A104],,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,R [A104],,,D [A104],,R [A104],,R [A104],R [A104],,,,,,,,,
361,U1478,A,4,4-CC,H,CC,PAL,FORAM,0,5,35.54,35.59,,,,A [A103],,,R [A104],R [A104],R [A104],,R [A104],R [A104],R [A104],,,,F [A104],A [A104],R [A104],,,,R [A104],,,,R [A104],,,R [A104],,,,,,,R [A104],,,R [A104],R [A104],,,,,R [A104],,,A [A104],,R [A104],,R [A104],R [A104],,,,,,,,,
361,U1478,A,5,5-1,H,1,W,70/72-FORAM,0,2,35.9,35.92,,,,A [A103],,,P [A104],,F [A104],,P [A104],R [A104],P [A104],,,,,A [A104],F [A104],,,,P [A104],,,,R [A104],,,P [A104],,,,,,,,,,R [A104],,,,,,P [A104],,,R [A104],,P [A104],,P [A104],,,P [A104],,,,,,,
