Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data
367-U1499A-1H-CC,0,12,7.38,7.5,,,,,,,,,,,,,,P,P,40,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,F,,,,,,F,A,,,,,,,,,,,P,,,,,,,,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,
367-U1499A-2H-CC,0,15,17.23,17.38,,,,,,,,,,,,,,P,P,95,,,,,,,,,,,,R,,,,,P,,,,P,,,,,,,,R,,,,,,,,P,A,A,,,P,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,
367-U1499A-3H-CC,0,20,26.69,26.89,,,,,,,,,,,,,,G,R,98,,,,,,,,,,,,R,,,,,P,,,,P,,P,,,,R,,F,,,R,,,,,P,A,A,,,P,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,
367-U1499A-4H-CC,0,23,36.18,36.41,,,,,,,,,,,,,,M,R,88,,,,,,,,,,,,P,,,,,P,,,,,,P,,,,P,,R,,,R,,,,,P,A,F,,,P,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,shallow water benthic forams,,,
367-U1499A-5H-CC,0,2,45.68,45.7,,,,,,,,,,,,,,G,C,80,,,,,,,,,,,,R,,,,,P,,,,,,,,,,P,,F,,,R,,,,,,A,A,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,P,,,,,,P,,,,,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,lot of shallow water benthic forams,,,
367-U1499A-6H-CC,0,44,55.2,55.64,,,,,,,,,,,,,,VG,C,99,P,,,,,,,,,,,P,,,,,P,,,,,,,,,,P,,R,,,R,,,,,,D,D,,,P,,,,,,,,P,,,,,,,,R,,,,,F,,,,,,,,,,,,,,P,,,P,,R,,,,,,,,,,,,,A,P,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,
367-U1499A-7H-CC,0,39,64.76,65.15,,,,,,,,,,,,,,VG,C,99,P,,,,,,,R,R,,,P,,,,,,,,,,,,,,,,,R,,,R,F,,A,,,,D,,,,,,,,,,,P,,,,,,,,,,,,P,,,,P,,,,,P,,,,,R,,,,,P,F,,,,,A,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,P,P,,,,,R,,,,,,,,,,,,,,,,,,,
367-U1499A-8H-CC,0,44,74.05,74.49,,,,,,,,,,,,,,VG,C,99,P,,,,,,,R,R,,,P,,,,,,,,,,,,,,,,,R,,,R,A,,,,,D,A,,,,,,,,,,,P,,,,,,,,P,,,,P,P,,,,,,,,P,,,,,R,P,,,,,A,,,,,,,,,,,,,P,P,,,,,,,,F,,,,,,,,,,,P,R,,,F,,P,,,,,,,,,,,,,,,,,,,
367-U1499A-9H-CC,0,5,83.28,83.33,,,,,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,,3.85,,,4.37,,G,C,99,P,,,,,,,R,R,,,P,,,,,,,,,,,,,,,,,P,,,R,R,,P,,,A,D,,,,,,,,,,,P,,,,,,,,P,,,,,F,,,,,,,,P,,,,,P,P,,,p,,F,,,,,,,,,,,,,P,P,,,,,,,,R,,,,,,,,,,,R,P,,,R,,,,,,,,,,,,,,,,,,,,,
367-U1499A-10H-CC,0,34,93.09,93.43,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,P,,R,,,P,,,P,P,,,,R,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,
