Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1461C-1H-1-PAL-NANNO,0,0,0,0,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,F,,,,,,some aragonite needles,,,,356,U1461,C,1,H,1,PAL,NANNO
356-U1461C-1H-CC-PAL-NANNO,0,10,8.29,8.39,,,VG [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,SEM confirms E. huxleyi,,,,356,U1461,C,1,H,CC,PAL,NANNO
356-U1461C-2H-CC-PAL-NANNO,0,8,17.57,17.65,,,P [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant aragonite needles,,,,356,U1461,C,2,H,CC,PAL,NANNO
356-U1461C-3H-CC-PAL-NANNO,0,4,27.46,27.5,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",P [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant aragonite needles,,,,356,U1461,C,3,H,CC,PAL,NANNO
356-U1461C-4H-CC-PAL-NANNO,0,10,36.96,37.06,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,F,R,R,,,,,,,,,P,,F,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,R,,,R,,,abundant aragonite needles,,,,356,U1461,C,4,H,CC,PAL,NANNO
356-U1461C-5H-CC-PAL-NANNO,0,10,41.29,41.39,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,R,,,,,,,,,R,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,R,,,few aragonite needles,,,,356,U1461,C,5,H,CC,PAL,NANNO
356-U1461C-6H-CC-PAL-NANNO,0,10,53.38,53.48,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,R,,R,,,,,,,,,P,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,R,,,micrite,,,,356,U1461,C,6,H,CC,PAL,NANNO
356-U1461C-30F-CC-PAL-NANNO,0,10,248.86,248.96,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,,F,F,,,,,,,,,F,R,F,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,micrite,,,,356,U1461,C,30,F,CC,PAL,NANNO
356-U1461C-57F-CC-PAL-NANNO,0,10,372.14,372.24,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,R,R,,,,,,,,,,F,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,micrite,,,,356,U1461,C,57,F,CC,PAL,NANNO
356-U1461C-60F-CC-PAL-NANNO,0,10,386.18,386.28,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,R,R,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,,micrite,,,,356,U1461,C,60,F,CC,PAL,NANNO
356-U1461C-61F-CC-PAL-NANNO,0,10,390.89,390.99,,,P [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,10 micron-scale micrite and dolomite common to abundant,,,,356,U1461,C,61,F,CC,PAL,NANNO
356-U1461C-64F-CC-PAL-NANNO,0,10,403.84,403.94,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,,,C,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"common 10 micron-scale micrite, few smaller dolomite rhombs",,,,356,U1461,C,64,F,CC,PAL,NANNO
356-U1461C-73F-CC-PAL-NANNO,0,10,443.78,443.88,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,R,,,,,,,,,,R,,,,,,R,F,,,,,R,,,,,,,,P,,,,,,,,,,,,,R,,,few micrite and dolomite,,,,356,U1461,C,73,F,CC,PAL,NANNO
