Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Sample preparation comment,General comment,Group Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus octonarius,Actinocyclus octonarius var. tenellus,Actinocyclus spp.,Actinoptychus senarius,Actinoptychus splendens,Alveus marinus,Amphora spp.,Asterolampra spp.,Asteromphalus elegans,Asteromphalus flabellatus,Aulacoseira spp.,Azpeitia africana,Azpeitia barronii,Azpeitia nodulifera,Azpeitia tabularis,Bacteriastrum spp.,Chaetoceros spp. (resting spores),Coscinodiscus asteromphalus,Coscinodiscus oculus-iridis,Diploneis bombus ,Ethmodiscus sp. fragments,Fragilariopsis doliolus,Fragilariopsis fossilis,Fragilariopsis reinholdii,Grammatophora spp.,Hemidiscus cuneiformis,Navicula spp. ,Odontella spp.,Paralia sulcata,Pinnularia spp.,Planktoniella sol,Pseudotriceratium cinnamomeum ,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rhizosolenia styliformis,Roperia tesselata,Shionodiscus oestrupii,Stephanopyxis spp.,Thalassionema bacillaris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides var. parvum,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira eccentrica,Thalassiosira leptopus s. ampl.,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira spp.,Thalassiothrix longissima,Triceratium favus,Triceratium spp.,other Centric,other Pennate,other Centric or Pennate comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1457B-1H-1-W 0/1-DIAT,0,1,0.0,0.01,processed,,F,P-M,,R,,,X,,X,,,,,,X,,R,,X,R,X,,X,,,,,,,,,F-R,,,,,,,X,X,,,,X,,,X,,,,,,,,,X,R,,X,X,X,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 10/11-DIAT,0,1,0.1,0.11,processed,,F,P-M,,,,,,,,,,,,,,,R,,,X,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 20/21-DIAT,0,1,0.2,0.21,processed,,R,M,,,,,,,X,,,,,,,,X,,,X,,,X,,,,,X,,,,R,,,,,,,,X,,,,,,,X,,,,,,,,,X,,,X,X,X,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 33/34-DIAT,0,1,0.33,0.34,processed,,X,P,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 40/41-DIAT,0,1,0.4,0.41,processed,,R,P,,X,,,,,,,,,,,,,X,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,X,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 50/51-DIAT,0,1,0.5,0.51,processed,,X,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 70/71-DIAT,0,1,0.7,0.71,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-1-W 95/96-DIAT,0,1,0.95,0.96,processed,,R,P-M,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,355,U1457,B,1,H,1,W
355-U1457B-1H-2-W 75/76-DIAT,0,1,2.27,2.28,processed,,X,P,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,2,W
355-U1457B-1H-CC-PAL-DIAT,0,5,3.17,3.22,processed,,X,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,CC,P
355-U1457B-1H-CC-PAL-DIAT,0,5,3.17,3.22,sieved (>20 um),,,P-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,CC,P
355-U1457B-2H-CC-PAL-DIAT,0,5,12.49,12.54,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,2,H,CC,P
355-U1457B-2H-CC-PAL-DIAT,0,5,12.49,12.54,sieved (>20 um),,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,2,H,CC,P
355-U1457B-3H-CC-PAL-DIAT,0,5,21.64,21.69,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,3,H,CC,P
355-U1457B-3H-CC-PAL-DIAT,0,5,21.64,21.69,sieved (>20 um),,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,3,H,CC,P
355-U1457B-4H-CC-PAL-DIAT,0,5,31.14,31.19,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,4,H,CC,P
355-U1457B-4H-CC-PAL-DIAT,0,5,31.14,31.19,sieved (>20 um),,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,4,H,CC,P
355-U1457B-5H-CC-PAL-DIAT,0,5,40.23,40.28,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,5,H,CC,P
355-U1457B-5H-CC-PAL-DIAT,0,5,40.23,40.28,sieved (>20 um),,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,5,H,CC,P
