Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Ahmuellerella octoradiata,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Arkhangelskiella cymbiformis,Arkhangelskiella specillata,Axopodorhabdus biramiculatus,Biantholithus sparsus,Biscutum castrorum,Biscutum constans,Biscutum coronum,Biscutum dissimilis,Biscutum magnum,Biscutum ubiquens,Blackites inflatus,Bomolithus elegans,Braarudosphaera bigelowii,Broinsonia enormis,Broinsonia furtiva,Broinsonia galloisii,Broinsonia parca constricta,Broinsonia parca parca,Broinsonia parca ssp expansa,Broinsonia signata,Broinsonia viriosa,Calcicalathina alta,Calcidiscus leptoporus,Calcidiscus macintyrei,Calciosolenia fossilis,Calculites obscurus,Campylosphaera eodela,Catinaster coalitus,Catinaster mexicanus,Ceratolithina copis,Ceratolithina naturalisteplateauensis,Ceratolithoides kamptneri,Ceratolithus cristatus,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus consuetus,Chiasmolithus danicus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiastozygus garrisonii,Chiastozygus litterarius,Chiastozygus platyrhethus,Clausicoccus subdistichus,Coccolithus braarudii,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus gigas,Coccolithus pelagicus,Corollithion kennedyi,Coronocyclus nitescens,Cretarhabdus conicus,Cretarhabdus crenulatus,Cribrocentrum reticulatum,Cribrosphaerella daniae,Cribrosphaerella ehrenbergii,Cruciplacolithus edwardsii,Cruciplacolithus frequens,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclagelosphaera margerelii,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cylindralithus sculptus,Discoaster asymmetricus,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bifax,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster hamatus,Discoaster intercalaris,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mendomobensis,Discoaster mohleri,Discoaster moorei,Discoaster multiradiatus,Discoaster neohamatus,Discoaster neorectus,Discoaster nobilis,Discoaster nodifer,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster quintatus,Discoaster saipanensis,Discoaster salisburgensis,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discorhabdus watkinsii,Eiffellithus angustus,Eiffellithus casulus,Eiffellithus equibiramus,Eiffellithus eximius,Eiffellithus eximius (sensu Verbeek),Eiffellithus monechiae,Eiffellithus perchnielseniae,Eiffellithus praestigium,Eiffellithus turriseiffelii,Eiffellithus vonsalisiae,Ellipsolithus distichus,Ellipsolithus macellus,Emiliania huxleyi,Eprolithus floralis,Eprolithus moratus,Eprolithus octopetalus,Fasciculithus tympaniformis,Gartnerago chiasta,Gartnerago nanum,Gartnerago obliquum,Gartnerago segmentatum,Gartnerago theta,Gephyrocapsa (small <4 microns),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Glaukolithus bicrescenticus,Glaukolithus diplogrammus,Grantarhabdus coronadventis,Hayesites albiensis,Helenea chiastia,Helicolithus compactus,Helicolithus trabeculatus,Helicolithus trabeculatus (<7 um),Helicolithus turonicus,Helicosphaera carteri,Heliolithus cantabriae,Heliolithus kleinpellii,Isthmolithus recurvus,Kamptnerius magnificus,Liliasterites angularis,Liliasterites atlanticus,Lithastrinus grillii,Lithastrinus septenarius,Lithoptychius ulii,Lithraphidites acutus,Lithraphidites carniolensis,Lithraphidites quadratus,Lucianorhabdus cayeuxii,Lucianorhabdus maleformis,Manivitella pemmatoidea,Marthasterites furcatus,Microrhabdulus belgicus,Micula concava,Micula cubiformis,Micula murus,Micula prinsii,Micula staurophora,Minylitha convallis,Misceomarginatus pleniporus,Monomarginatus quaternarius,Nannotetrina alata,Nannotetrina cristata,Nannotetrina fulgens,Neocrepidolithus watkinsii,Nephrolithus frequens,Nicklithus amplificus,Pedinocyclus larvalis,Pontosphaera alta,Pontosphaera discopora,Pontosphaera japonica,Prediscosphaera arkhangelskyi,Prediscosphaera bukryi,Prediscosphaera columnata,Prediscosphaera cretacea,Prediscosphaera desiderograndis,Prediscosphaera grandis,Prediscosphaera majungae,Prediscosphaera spinosa,Prinsius bisulcus,Prinsius martinii,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Quadrum gartneri,Quadrum intermedium,Reinhardtites anthophorus,Reinhardtites biperforatus,Reinhardtites levis,Repagalum parvidentatum,Retecapsa crenulata,Retecapsa surirella,Reticulofenestra bisecta,Reticulofenestra circus,Reticulofenestra dictyoda,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilica,Reticulofenestra reticulata,Reticulofenestra stavensis,Reticulofenestra umbilica,Rhabdosphaera clavigera,Rhagodiscus achylostaurion,Rhagodiscus angustus,Rhagodiscus asper,Rhomboaster svabenickiae,Rotelapillus biarcus,Rotelapillus crenulatus,Scyphosphaera apsteinii,Scyphosphaera intermedia,Scyphosphaera spp.,Seribiscutum primitivum,Sphenolithus abies,Sphenolithus akropodus,Sphenolithus ciperoensis,Sphenolithus distentus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus predistentus,Sphenolithus primus,Staurolithites angustus,Staurolithites flavus,Staurolithites gausorhethium,Staurolithites mutterlosei,Staurolithites spp.,Stoverius achylosus,Stoverius coronatus,Thiersteinia ecclesiastica,Thoracosphaera heimii,Toweius eminens,Toweius gammation,Toweius magnicrassus,Toweius pertusus,Tranolithus orionatus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Uniplanarius gothicus,Watznaueria barnesae,Watznaueria biporta,Watznaueria britannica,Watznaueria fossacincta,Watznaueria ovata,Zeugrhabdotus kerguelenensis,Zeugrhabdotus praesigmoides,Zeugrhabdotus scutula,Zeugrhabdotus sisyphus,Zeugrhabdotus trivectis,Zeugrhabdotus xenotus,Zygrhablithus bijugatus,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
369-U1513B-1H-CC-PAL,0,7,8.66,8.73,CN15,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,C,,,,,,,,,,R,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,1,H,CC,PAL,,
369-U1513B-2H-CC-PAL,0,5,18.61,18.66,CN15,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,2,H,CC,PAL,,
369-U1513B-3H-CC-PAL,0,5,28.27,28.32,CN14,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,3,H,CC,PAL,,
369-U1513B-5H-CC-PAL,0,5,47.35,47.4,CN9d,A,G,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,F,,R,,,,,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,5,H,CC,PAL,,
369-U1513B-7H-CC-PAL,0,5,64.89,64.94,?,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,7,H,CC,PAL,,
369-U1513B-8H-2-W 5/6-NANNO,0,1,64.56,64.57,?,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,C,,F,,,,,,,,,,,,A,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,R,F,,,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,8,H,2,W,,
369-U1513B-8H-2-W 56/57-NANNO,0,1,65.07,65.08,CC16b-17,A,G,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,R,,F,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,8,H,2,W,,
369-U1513B-9F-CC-PAL,0,5,76.99,77.04,CC16b-17,A,G,,,,,,,,,,,,R,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,R,F,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,9,F,CC,PAL,,
369-U1513B-10F-CC-PAL,0,8,79.73,79.81,CC16b-17,A,G,,,,,,,,,,,,F,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,R,,F,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,10,F,CC,PAL,,
369-U1513B-11F-CC-PAL,0,8,84.73,84.81,CC16b-17,A,G,,,,,,,,,,,,R,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,R,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1513,B,11,F,CC,PAL,,
