Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1423A-1H-CC-PAL,0,4,7.22,7.26,,,,G ,A ,99,,,,,,A ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,1,H,CC,PAL,
346-U1423A-2H-CC-PAL,0,5,16.97,17.02,,,,,,20,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,2,H,CC,PAL,
346-U1423A-3H-CC-PAL,0,5,26.58,26.63,,,,,,99,,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,3,H,CC,PAL,
346-U1423A-4H-CC-PAL,0,5,36.07,36.12,,,,G ,A ,95,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,4,H,CC,PAL,
346-U1423A-5H-4-W 77/78-FORAM,0,1,41.07,41.08,,,,M ,A ,100,,,,,,D ,F ,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,5,H,4,W,
346-U1423A-5H-CC-PAL,0,5,45.38,45.43,,,,P ,A ,88,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,A ,,,,,,,,,,,,,,,,,,,pyritized forams,,,,346,U1423,A,5,H,CC,PAL,
346-U1423A-6H-CC-PAL,0,5,54.91,54.96,,,,G ,A ,88,,,,,,D ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,F ,,R ,D ,,R ,,,,,,,,,,,,,,,,,,,,,346,U1423,A,6,H,CC,PAL,
346-U1423A-7H-CC-PAL,0,5,64.64,64.69,,,,,R ,80,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,7,H,CC,PAL,
346-U1423A-8H-CC-PAL,0,5,74.14,74.19,,,,M ,R ,100,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,8,H,CC,PAL,
346-U1423A-8H-CC-PAL,0,5,74.14,74.19,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,8,H,CC,PAL,
