Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1501D-2R-1-W 10/11-NANNO,0,1,433.6,433.61,NP17 [G12]?,M [P33],R [A12],,,,,,,,,,,,,,,R,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,368,U1501,D,2,R,1,W,10/11-NANNO
368-U1501D-3R-CC-PAL(40-45)-NANNO,0,5,448.24,448.29,NP17 [G12]?,G [P33],C [A12],,,,R,,,,,,,,,,,C,,,,,,C,,,,,,,,,,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,3,R,CC,PAL(40-45),NANNO
368-U1501D-5R-CC-PAL(0-3)-NANNO,0,3,462.65,462.68,NP17 [G12]?,M [P33],F [A12],,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,5,R,CC,PAL(0-3),NANNO
368-U1501D-6R-CC-PAL(14-15)-NANNO,0,5,471.94,471.99,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,6,R,CC,PAL(14-15),NANNO
368-U1501D-7R-1-W 62/62-NANNO,0,0,482.02,482.02,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,7,R,1,W,62/62-NANNO
368-U1501D-7R-CC-PAL(0-1)-NANNO,0,1,482.34,482.35,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,7,R,CC,PAL(0-1),NANNO
368-U1501D-8R-CC-PAL(0-5)-NANNO,0,5,492.59,492.64,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,8,R,CC,PAL(0-5),NANNO
368-U1501D-9R-CC-PAL(0-5)-NANNO,0,5,501.77,501.82,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,9,R,CC,PAL(0-5),NANNO
368-U1501D-11R-CC-PAL-NANNO,0,1,519.81,519.82,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,11,R,CC,PAL,NANNO
368-U1501D-12R-CC-PAL(12-13)-NANNO,0,1,529.42,529.43,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,12,R,CC,PAL(12-13),NANNO
368-U1501D-13R-CC-PAL(10-11)-NANNO,0,1,540.04,540.05,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,13,R,CC,PAL(10-11),NANNO
368-U1501D-14R-CC-PAL(0-5)-NANNO,0,5,549.29,549.34,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,14,R,CC,PAL(0-5),NANNO
368-U1501D-15R-CC-PAL(0-5)-NANNO,0,5,562.59,562.64,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,15,R,CC,PAL(0-5),NANNO
368-U1501D-16R-CC-PAL(20-25)-NANNO,0,5,573.83,573.88,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,16,R,CC,PAL(20-25),NANNO
368-U1501D-17R-CC-PAL(32-37)-NANNO,0,5,582.7,582.75,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,17,R,CC,PAL(32-37),NANNO
368-U1501D-18R-CC-PAL(33-38)-NANNO,0,5,591.36,591.41,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,18,R,CC,PAL(33-38),NANNO
368-U1501D-19R-CC-PAL(45-46)-NANNO,0,1,599.94,599.95,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,19,R,CC,PAL(45-46),NANNO
