Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links
361,U1475,B,1,1-2,H,2,W,70/72-FORAM,0,2,2.2,2.22,,,,A [A103],P [A104],,A [A104],,R [A104],,R [A104],R [A104],,,,,,R [A104],,,,,,,,R [A104],D [A104],,,,,,,,,,R [A104],,,F [A104],,,,,,,,,R [A104],,R [A104],R [A104],,,,,,,,,,,
361,U1475,B,1,1-4,H,4,W,70/72-FORAM,0,2,5.2,5.22,,,,A [A103],,,A [A104],F [A104],R [A104],,R [A104],R [A104],,,,,,R [A104],R [A104],,,,,,,,D [A104],,,R [A104],,,,,,,R [A104],,,F [A104],,,,,,,,,F [A104],,F [A104],F [A104],R [A104],,,,,,,,,,
361,U1475,B,1,1-CC,H,CC,PAL,FORAM,0,5,6.37,6.42,,,,A [A103],,,D [A104],P [A104],,,P [A104],R [A104],,,,,,R [A104],P [A104],,,,,,,P [A104],D [A104],,,,,,,,,,,,,F [A104],,,,,,,,,R [A104],,A [A104],F [A104],,R [A104],,,,,,,,,
361,U1475,B,2,2-2,H,2,W,70/72-FORAM,0,2,8.6,8.62,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],R [A104],,,,,,R [A104],R [A104],,,,R [A104],F [A104],,,D [A104],,,R [A104],,,,,,,R [A104],,,F [A104],R [A104],,,,,,,,F [A104],,F [A104],,R [A104],,,,,,,,,,
361,U1475,B,2,2-4,H,4,W,70/72-FORAM,0,2,11.6,11.62,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],R [A104],,,,,,R [A104],,,,,F [A104],F [A104],,,D [A104],,,R [A104],,,,,,,R [A104],,,,,,,,,R [A104],,,F [A104],,F [A104],R [A104],R [A104],,,,,,,,,,
361,U1475,B,2,2-6,H,6,W,70/72-FORAM,0,2,14.6,14.62,,,,A [A103],,,D [A104],,R [A104],,F [A104],R [A104],,,,,,,,,,,F [A104],,,,A [A104],,,R [A104],,,,,,,R [A104],,,F [A104],R [A104],,,,,R [A104],,,F [A104],,F [A104],F [A104],R [A104],R [A104],,,,,,,,,
361,U1475,B,2,2-CC,H,CC,PAL,FORAM,0,5,16.02,16.07,,,,A [A103],,,A [A104],,R [A104],R [A104],R [A104],R [A104],,,,,,R [A104],R [A104],,,,F [A104],F [A104],,P [A104],D [A104],,,R [A104],,,,,,R [A104],R [A104],,,F [A104],R [A104],,,,,,,,F [A104],,F [A104],R [A104],R [A104],R [A104],,,,,,,,,
361,U1475,B,3,3-2,H,2,W,80/82-FORAM,0,2,18.2,18.22,,,,A [A103],,,A [A104],R [A104],R [A104],,R [A104],R [A104],,,,,,,R [A104],,,,F [A104],R [A104],,,F [A104],,,R [A104],,,,,,,R [A104],,R [A104],R [A104],R [A104],,,,,,,,F [A104],,F [A104],F [A104],P [A104],,,,,,,,,,
361,U1475,B,3,3-4,H,4,W,70/72-FORAM,0,2,21.1,21.12,,,,A [A103],,,F [A104],F [A104],R [A104],,R [A104],,,,,,,,R [A104],,,,R [A104],R [A104],,,F [A104],,,,,,,,,,R [A104],,R [A104],R [A104],,,,,,,,,F [A104],,F [A104],D [A104],,,,R [A104],,,,,,,
361,U1475,B,3,3-6,H,6,W,70/72-FORAM,0,2,24.1,24.12,,,,A [A103],P [A104],,F [A104],R [A104],R [A104],,R [A104],,,,,,,R [A104],,,,,F [A104],F [A104],,,F [A104],,,R [A104],,,,,,F [A104],R [A104],,R [A104],R [A104],,,,,,,,,F [A104],,F [A104],A [A104],R [A104],,,,,,,,,,
361,U1475,B,3,3-CC,H,CC,PAL,FORAM,0,5,25.77,25.82,,,,A [A103],,,A [A104],P [A104],R [A104],,F [A104],P [A104],R [A104],,,,,P [A104],R [A104],,,,R [A104],R [A104],,P [A104],D [A104],,,R [A104],,,,,,F [A104],F [A104],,R [A104],F [A104],R [A104],,,,,,,,R [A104],R [A104],F [A104],F [A104],R [A104],R [A104],,,,,,,,,
361,U1475,B,4,4-3,H,3,W,70/72-FORAM,0,2,29.11,29.13,,,,A [A103],,,A [A104],F [A104],R [A104],,R [A104],,R [A104],,,,,R [A104],,,,,F [A104],F [A104],,,F [A104],,,R [A104],,,,,,F [A104],R [A104],,,R [A104],,,,,,,,,F [A104],,F [A104],F [A104],R [A104],,,,,,,,,,
361,U1475,B,4,4-5,H,5,W,70/72-FORAM,0,2,32.11,32.13,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],,R [A104],,,,,R [A104],R [A104],,,,F [A104],F [A104],,,D [A104],,,R [A104],,,,,,F [A104],R [A104],,,R [A104],R [A104],,,,,,,,F [A104],,R [A104],R [A104],R [A104],R [A104],,,,,,,,,
361,U1475,B,4,4-7,H,7,W,50/52-FORAM,0,2,34.91,34.93,,,,A [A103],,,F [A104],,R [A104],,R [A104],R [A104],,,,,,R [A104],R [A104],,,,R [A104],F [A104],,,D [A104],,,R [A104],,,,,,F [A104],R [A104],,R [A104],R [A104],R [A104],,,,,R [A104],,,F [A104],,F [A104],F [A104],R [A104],,,,,,,,,,
361,U1475,B,4,4-CC,H,CC,PAL,FORAM,0,5,35.23,35.28,,,,A [A103],,,A [A104],,P [A104],,F [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,F [A104],R [A104],,P [A104],D [A104],,,R [A104],,,,,,F [A104],F [A104],,R [A104],F [A104],,,,,,,,,F [A104],,A [A104],F [A104],,,,,,,,,,,
361,U1475,B,5,5-2,H,2,W,70/72-FORAM,0,2,37.1,37.12,,,,A [A103],,,F [A104],,R [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,F [A104],F [A104],,,F [A104],,,R [A104],,,,,,F [A104],R [A104],F [A104],,R [A104],R [A104],,,,,,,R [A104],F [A104],,F [A104],R [A104],R [A104],F [A104],,,,,,,,,
361,U1475,B,5,5-4,H,4,W,80/82-FORAM,0,2,40.2,40.22,,,,A [A103],,,F [A104],,R [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,F [A104],F [A104],,,A [A104],,,R [A104],,,,,,F [A104],R [A104],R [A104],,,R [A104],,,,,,,R [A104],F [A104],,,,R [A104],F [A104],,,,,,,,,
361,U1475,B,5,5-6,H,6,W,70/72-FORAM,0,2,43.1,43.12,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],R [A104],R [A104],,,,,R [A104],,,,,F [A104],F [A104],,,F [A104],,,,,,,,,F [A104],R [A104],F [A104],,,R [A104],R [A104],,,,,,R [A104],F [A104],,R [A104],R [A104],R [A104],R [A104],,R [A104],,,,,,,
361,U1475,B,5,5-CC,H,CC,PAL,FORAM,0,5,44.6,44.65,,,,A [A103],,,A [A104],R [A104],R [A104],,R [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,F [A104],,,,D [A104],,,P [A104],,,,,,A [A104],R [A104],,R [A104],R [A104],,,,,,,,P [A104],F [A104],P [A104],A [A104],F [A104],R [A104],R [A104],,R [A104],,,,,,,
361,U1475,B,6,6-1,H,1,W,50/52-FORAM,0,2,44.9,44.92,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],,,,,,,R [A104],R [A104],,,,,R [A104],,,A [A104],,,R [A104],,,,,,F [A104],R [A104],F [A104],R [A104],R [A104],R [A104],R [A104],,,,,,R [A104],F [A104],,,R [A104],R [A104],R [A104],,R [A104],,,,,,,
361,U1475,B,6,6-3,H,3,W,50/52-FORAM,0,2,47.9,47.92,,,,A [A103],,,A [A104],F [A104],F [A104],,R [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,,R [A104],,,D [A104],,,R [A104],,,,,,F [A104],F [A104],F [A104],R [A104],,,R [A104],,,,,R [A104],R [A104],R [A104],R [A104],R [A104],,R [A104],,,R [A104],,,,,,,
361,U1475,B,6,6-5,H,5,W,50/52-FORAM,0,2,50.9,50.92,,,,A [A103],,,D [A104],F [A104],F [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,,R [A104],,,A [A104],,,,,,,,,F [A104],R [A104],F [A104],,,,,,,,,,R [A104],,R [A104],R [A104],F [A104],R [A104],R [A104],,R [A104],,,,,,,
361,U1475,B,6,6-7,H,7,W,40/42-FORAM,0,2,53.8,53.82,,,,A [A103],,,F [A104],R [A104],F [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,,R [A104],,,A [A104],,,R [A104],,P [A104],,,,F [A104],R [A104],F [A104],,,,R [A104],R [A104],,,R [A104],,R [A104],,R [A104],F [A104],R [A104],R [A104],,,R [A104],,,,,,,
361,U1475,B,6,6-CC,H,CC,PAL,FORAM,0,5,54.08,54.13,,,,A [A103],,,A [A104],P [A104],F [A104],,,,,,,,,R [A104],R [A104],,,,,,,,D [A104],,,,,,,,,,,,P [A104],,,,P [A104],,,,,R [A104],F [A104],R [A104],A [A104],,R [A104],R [A104],,,,,,,,,
361,U1475,B,7,7-2,H,2,W,70/72-FORAM,0,2,56.1,56.12,,,,A [A103],,,F [A104],R [A104],R [A104],,R [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,R [A104],R [A104],,,F [A104],,,R [A104],,,,,R [A104],F [A104],R [A104],F [A104],,,R [A104],R [A104],R [A104],,,,,R [A104],,R [A104],F [A104],R [A104],R [A104],,,R [A104],,,,,,,
361,U1475,B,7,7-4,H,4,W,70/72-FORAM,0,2,59.1,59.12,,,,A [A103],,,A [A104],F [A104],F [A104],,F [A104],R [A104],,,,,,R [A104],R [A104],,,,R [A104],R [A104],,,F [A104],,,R [A104],,,,,,F [A104],R [A104],R [A104],,,R [A104],R [A104],R [A104],,,,,F [A104],,R [A104],F [A104],R [A104],R [A104],,,,,,,,,,
361,U1475,B,7,7-6,H,6,W,70/72-FORAM,0,2,62.1,62.12,,,,A [A103],,P [A104],F [A104],R [A104],R [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,R [A104],R [A104],,,F [A104],,,R [A104],,,,,R [A104],F [A104],R [A104],,R [A104],P [A104],R [A104],R [A104],P [A104],,,,,F [A104],,R [A104],F [A104],F [A104],R [A104],,,R [A104],,,,,,,
361,U1475,B,7,7-CC,H,CC,PAL,FORAM,0,5,63.48,63.53,,,,A [A103],,,A [A104],F [A104],R [A104],,R [A104],R [A104],P [A104],,P [A104],,,R [A104],P [A104],,,,R [A104],,,,D [A104],R [A104],,P [A104],,,,,R [A104],,,,,,,,P [A104],,,,,,,,,,R [A104],,,,,,,,,,
361,U1475,B,8,8-2,H,2,W,70/72-FORAM,0,2,65.6,65.62,,,,A [A103],,,A [A104],P [A104],F [A104],,R [A104],P [A104],,,,,,P [A104],P [A104],,,,R [A104],F [A104],,,A [A104],P [A104],,P [A104],,,,,,,R [A104],,,,,,R [A104],,,,,,,P [A104],A [A104],P [A104],P [A104],,,,,,,,,,
361,U1475,B,8,8-4,H,4,W,70/72-FORAM,0,2,68.6,68.62,,,,A [A103],,,A [A104],,F [A104],,F [A104],F [A104],,P [A104],,,,P [A104],P [A104],,,,F [A104],F [A104],,,A [A104],R [A104],,R [A104],,,,,P [A104],R [A104],R [A104],,,,,,P [A104],,,,,,,P [A104],F [A104],P [A104],P [A104],,,P [A104],,,,,,,
361,U1475,B,8,8-6,H,6,W,70/72-FORAM,0,2,71.6,71.62,,,,A [A103],,,A [A104],,F [A104],,,P [A104],,P [A104],,,,P [A104],P [A104],,,,F [A104],P [A104],,,A [A104],P [A104],,P [A104],,,,,P [A104],,P [A104],,,,,,R [A104],,,,,,,R [A104],F [A104],F [A104],F [A104],,,R [A104],,,,,,,
361,U1475,B,8,8-CC,H,CC,PAL,FORAM,0,5,73.09,73.14,,,,A [A103],,,A [A104],F [A104],F [A104],,F [A104],R [A104],R [A104],R [A104],,,,F [A104],R [A104],,,,R [A104],,,,A [A104],,,R [A104],,,,,R [A104],A [A104],F [A104],,,,,F [A104],R [A104],,,,,,F [A104],F [A104],A [A104],A [A104],R [A104],,,,,,,,,,
361,U1475,B,9,9-2,H,2,W,70/72-FORAM,0,2,75.1,75.12,,,,A [A103],,,A [A104],,F [A104],,R [A104],P [A104],,,,,,P [A104],P [A104],,,,F [A104],P [A104],,,A [A104],P [A104],,R [A104],,,,,,R [A104],R [A104],,,,R [A104],,R [A104],,,,,,,P [A104],F [A104],F [A104],R [A104],,,,,,,,,,
361,U1475,B,9,9-4,H,4,W,70/72-FORAM,0,2,78.1,78.12,,,,A [A103],,,A [A104],P [A104],P [A104],,R [A104],,R [A104],R [A104],,,,P [A104],P [A104],,,,F [A104],,,,A [A104],R [A104],,R [A104],,,,,,,R [A104],,,,R [A104],P [A104],F [A104],,,,,,,,F [A104],F [A104],,,,P [A104],,,,,,,
361,U1475,B,9,9-6,H,6,W,70/72-FORAM,0,2,81.1,81.12,,,,A [A103],,R [A104],F [A104],,,,,R [A104],,P [A104],,,,R [A104],P [A104],,,,F [A104],P [A104],,,F [A104],R [A104],,P [A104],,,,,,,P [A104],,,,R [A104],,P [A104],,,,,,,,F [A104],F [A104],,,,,,,,,,,
361,U1475,B,9,9-CC,H,CC,PAL,FORAM,0,5,82.5,82.55,,,,C [A103],,R [A104],A [A104],A [A104],R [A104],,R [A104],,,R [A104],,,,R [A104],R [A104],,,,R [A104],,,,R [A104],,,R [A104],,,,,,F [A104],R [A104],F [A104],,,,R [A104],,,,,,F [A104],,,D [A104],F [A104],R [A104],,,,,,,,,,
361,U1475,B,10,10-2,H,2,W,70/72-FORAM,0,2,84.6,84.62,,,,C [A103],,R [A104],A [A104],P [A104],F [A104],,R [A104],R [A104],P [A104],P [A104],,,,,R [A104],,,,F [A104],,,,F [A104],P [A104],,,,,,,P [A104],F [A104],F [A104],,,,P [A104],,F [A104],,,,,F [A104],P [A104],,F [A104],R [A104],R [A104],P [A104],,P [A104],,,,,,,
361,U1475,B,10,10-4,H,4,W,70/72-FORAM,0,2,87.6,87.62,,,,C [A103],,P [A104],A [A104],,,,P [A104],P [A104],P [A104],P [A104],,,,P [A104],P [A104],P [A104],,,F [A104],F [A104],,,F [A104],P [A104],,,,,,,,F [A104],F [A104],,,,R [A104],,F [A104],,,,,F [A104],,,F [A104],F [A104],,,,P [A104],,P [A104],,,,,
361,U1475,B,10,10-5,H,5,W,70/72-FORAM,0,2,89.1,89.12,,,,C [A103],,P [A104],A [A104],,F [A104],,,,,P [A104],,,,P [A104],P [A104],,,,F [A104],,,,F [A104],,,,,,,,,F [A104],F [A104],,,,,,F [A104],,,,,F [A104],,P [A104],F [A104],R [A104],P [A104],,,,,R [A104],,,,,
361,U1475,B,10,10-CC,H,CC,PAL,FORAM,0,5,92.11,92.16,,,,C [A103],,F [A104],D [A104],A [A104],F [A104],,F [A104],,,,,,,F [A104],,R [A104],,,F [A104],,,,P [A104],,,R [A104],,,,,,A [A104],F [A104],F [A104],,,,F [A104],R [A104],R [A104],,,R [A104],R [A104],,,F [A104],,R [A104],,,,,,,,,,
361,U1475,B,11,11-2,H,2,W,70/72-FORAM,0,2,94.1,94.12,,,,C [A103],,R [A104],F [A104],R [A104],R [A104],,R [A104],R [A104],R [A104],R [A104],,R [A104],,R [A104],R [A104],,,,F [A104],F [A104],,,F [A104],R [A104],,R [A104],,,,,,A [A104],R [A104],F [A104],,,R [A104],R [A104],R [A104],,,,R [A104],R [A104],,F [A104],,,R [A104],,,,,R [A104],,,,,
361,U1475,B,11,11-4,H,4,W,70/72-FORAM,0,2,97.1,97.12,,,,C [A103],,R [A104],F [A104],F [A104],R [A104],,F [A104],,,R [A104],,,,R [A104],R [A104],,,,F [A104],F [A104],,,F [A104],R [A104],,,,,,,P [A104],A [A104],R [A104],F [A104],,P [A104],,R [A104],R [A104],,,,R [A104],R [A104],F [A104],R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],R [A104],,,,,,,
361,U1475,B,11,11-6,H,6,W,70/72-FORAM,0,2,100.1,100.12,,,,C [A103],,R [A104],F [A104],R [A104],R [A104],,R [A104],R [A104],,,,,,R [A104],R [A104],,,,A [A104],F [A104],,,F [A104],R [A104],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A104],,,,,
361,U1475,B,11,11-CC,H,CC,PAL,FORAM,0,5,101.47,101.52,,,,F [A103],,R [A104],A [A104],A [A104],R [A104],,R [A104],,,R [A104],,,,R [A104],R [A104],R [A104],,,R [A104],,,,,,,R [A104],,,,,,A [A104],F [A104],F [A104],,,,R [A104],,R [A104],,,,R [A104],,R [A104],F [A104],R [A104],R [A104],,,,,,,,,,
361,U1475,B,12,12-2,H,2,W,70/72-FORAM,0,2,103.6,103.62,,,,C [A103],,P [A104],A [A104],,R [A104],,P [A104],P [A104],,,,,,P [A104],P [A104],,,,F [A104],,,,F [A104],P [A104],,P [A104],,,,,,F [A104],,,,,,,F [A104],,,,,F [A104],,,F [A104],R [A104],,,,F [A104],,R [A104],,,,,
361,U1475,B,12,12-4,H,4,W,70/72-FORAM,0,2,106.6,106.62,,,,C [A103],,,A [A104],,R [A104],,,R [A104],,P [A104],,,,P [A104],P [A104],,,,P [A104],,,,P [A104],,,,,,,,,F [A104],F [A104],,,,,,F [A104],,,,,,,,F [A104],R [A104],,,,,,,,,,,
361,U1475,B,12,12-6,H,6,W,70/72-FORAM,0,2,109.6,109.62,,,,C [A103],,,A [A104],,R [A104],,R [A104],R [A104],R [A104],,,,,P [A104],P [A104],,,,,,,,R [A104],,,,,,,,,F [A104],F [A104],,,,,,F [A104],,,,,R [A104],,,F [A104],R [A104],R [A104],,,R [A104],,R [A104],,,,,
361,U1475,B,12,12-CC,H,CC,PAL,FORAM,0,5,111.01,111.06,,,,F [A103],,R [A104],D [A104],F [A104],R [A104],,R [A104],,R [A104],R [A104],,,,R [A104],R [A104],,,,R [A104],,,,R [A104],,,R [A104],,,,,,A [A104],F [A104],F [A104],,,,R [A104],R [A104],R [A104],,,,R [A104],,R [A104],F [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,
361,U1475,B,13,13-2,H,2,W,70/72-FORAM,0,2,113.1,113.12,,,,F [A103],,R [A104],F [A104],R [A104],R [A104],,R [A104],,,R [A104],,,,R [A104],R [A104],,,,A [A104],R [A104],,,R [A104],R [A104],,R [A104],,,,,R [A104],F [A104],R [A104],F [A104],,,,R [A104],,R [A104],,,R [A104],R [A104],,R [A104],F [A104],F [A104],R [A104],R [A104],,R [A104],,R [A104],,,,,
361,U1475,B,13,13-4,H,4,W,70/72-FORAM,0,2,116.1,116.12,,,,A [A103],,R [A104],F [A104],R [A104],R [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,F [A104],R [A104],,,F [A104],R [A104],,,,,,,,F [A104],R [A104],F [A104],,,R [A104],R [A104],R [A104],R [A104],,,,R [A104],,F [A104],F [A104],F [A104],R [A104],,,R [A104],,R [A104],,,,,
361,U1475,B,13,13-6,H,6,W,70/72-FORAM,0,2,119.1,119.12,,,,A [A103],,R [A104],F [A104],R [A104],R [A104],,R [A104],R [A104],,R [A104],,R [A104],,R [A104],R [A104],R [A104],,,R [A104],,,,F [A104],R [A104],,R [A104],,R [A104],,,R [A104],F [A104],R [A104],F [A104],,,R [A104],R [A104],R [A104],R [A104],,,R [A104],F [A104],,R [A104],R [A104],R [A104],R [A104],,,R [A104],,R [A104],,,,,
361,U1475,B,13,13-CC,H,CC,PAL,FORAM,0,5,120.55,120.6,,,,F [A103],,,D [A104],F [A104],F [A104],,R [A104],R [A104],,R [A104],,,,R [A104],R [A104],,,,F [A104],,,,F [A104],,,R [A104],,,,,,A [A104],F [A104],F [A104],,,,F [A104],F [A104],R [A104],,,R [A104],R [A104],,R [A104],F [A104],R [A104],R [A104],,,,,R [A104],R [A104],,,,
361,U1475,B,14,14-2,H,2,W,70/72-FORAM,0,2,122.6,122.62,,,,A [A103],,R [A104],F [A104],R [A104],F [A104],,F [A104],R [A104],,R [A104],,R [A104],,R [A104],R [A104],,,,F [A104],F [A104],,,F [A104],R [A104],R [A104],R [A104],,,,,R [A104],F [A104],R [A104],F [A104],,,R [A104],F [A104],F [A104],R [A104],,,R [A104],F [A104],,F [A104],R [A104],R [A104],R [A104],,,R [A104],,R [A104],,,,,
361,U1475,B,14,14-4,H,4,W,70/72-FORAM,0,2,125.6,125.62,,,,A [A103],,R [A104],F [A104],F [A104],R [A104],,F [A104],R [A104],,R [A104],,R [A104],,R [A104],R [A104],,,,F [A104],R [A104],,,R [A104],R [A104],R [A104],R [A104],,,R [A104],,R [A104],F [A104],R [A104],F [A104],,,R [A104],R [A104],F [A104],F [A104],,,R [A104],F [A104],,F [A104],R [A104],F [A104],R [A104],R [A104],,R [A104],,R [A104],,,,,
361,U1475,B,14,14-6,H,6,W,70/72-FORAM,0,2,128.6,128.62,,,,A [A103],,R [A104],F [A104],F [A104],R [A104],,R [A104],R [A104],,R [A104],,R [A104],,,R [A104],,,,F [A104],P [A104],,,R [A104],R [A104],R [A104],R [A104],,,R [A104],,R [A104],F [A104],R [A104],F [A104],,,R [A104],,F [A104],R [A104],,,R [A104],F [A104],,F [A104],F [A104],R [A104],,F [A104],,R [A104],,R [A104],,,,,
361,U1475,B,14,14-CC,H,CC,PAL,FORAM,0,5,130.05,130.1,,,,A [A103],,R [A104],D [A104],F [A104],F [A104],,F [A104],R [A104],R [A104],R [A104],,,,R [A104],R [A104],,,,R [A104],,,,R [A104],,,F [A104],,,,,,A [A104],F [A104],A [A104],,,R [A104],,F [A104],R [A104],,,,R [A104],,F [A104],,,R [A104],,,,,R [A104],,,,,
