Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1464D-1H-1-PAL-NANNO,0,0,0,0,,,G [P33],A [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,,,,,,P [A30],P [A30],,,,,,,,R [A30],,,,,,,,,,,,,,,,,P [A30],,,,F [A30],,,F [A30],,F [A30],,,,
356-U1464D-1H-CC-PAL-NANNO,0,5,3.5,3.55,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",VG [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],C [A04],,,,,,,,,,F [A30],,F [A30],,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,F [A30],,,C [A04],F [A30],,,,,
356-U1464D-2H-CC-PAL-NANNO,0,5,13.11,13.16,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],C [A04],,F [A30],R [A30],,,,,,,,,,,,,,,,,F [A30],,,,,F [A30],,,,,,,,R [A30],,,,P [A30],,,,,,R [A30],,,F [A30],,,,,,
356-U1464D-3H-CC-PAL-NANNO,0,5,22.35,22.4,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],,,C [A04],,,,,,,,,,,,,F [A30],,,,,,,,,,F [A30],,,,,,,,R [A30],,,,,,,,,,,,,F [A30],,,,,,
356-U1464D-4H-CC-PAL-NANNO,0,5,32.16,32.21,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],C [A04],,R [A30],R [A30],R [A30],,,,,,,,,R [A30],,,,,,F [A30],F [A30],,,,,R [A30],,,,,,,,R [A30],,,,,,,,,,R [A30],,,F [A30],,,,,,
356-U1464D-5H-CC-PAL-NANNO,0,5,41.8,41.85,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],,,,,,,,,,,,,,,,,,,,C [A04],,F [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,F [A30],,F [A30],reworked large Sphenoliths and fragments Discoaster,,,
356-U1464D-6H-CC-PAL-NANNO,0,5,51.28,51.33,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,R [A30],,,,,,C [A04],C [A04],,,,,R [A30],,,,P [A30],,,,P [A30],,,,R [A30],,,,,,R [A30],,,F [A30],,,,,,
356-U1464D-7H-CC-PAL-NANNO,0,5,60.84,60.89,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C [A22],,,F [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,F [A30],,,,,C [A04],,P [A30],,,R [A30],,,,F [A30],,,,R [A30],,,,,,,P [A30],,P [A30],F [A30],,,,,F [A30],"reworked Cy. floridanus, ?C. pelagicus, Sphenolithus",,,
356-U1464D-8H-CC-PAL-NANNO,0,5,70.53,70.58,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,,,,,,,,,,,,,,F [A30],,,,,,V [A94],C [A04],,,,,,,,,,,,,F [A30],,,,F [A30],,F [A30],,,,R [A30],,,,,,,,,
356-U1464D-9H-CC-PAL-NANNO,0,5,79.83,79.88,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,A [A23],,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,R [A30],,,,,,,R [A30],,,,,,,R [A30],,,F [A30],,,,,,
