Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
349-U1431E-7R-1-A 2/2-NANNO,0,0,603.32,603.32,NN11,M,C,F,F,,R,R,,R,,,R,C,,F,,,C,,,,R,R,,,C,,,F,C,F,,,F,C,F,,,,F,R,,,F,R,C,,,,F,R,R,,,,,349,U1431,E,7,R,1,A,2/2-NANNO,
349-U1431E-8R-1-W 10/12-NANNO,0,2,613.1,613.12,NN11,P,F,,R,,,,,,,,,F,,R,,,R,,,,,,,,R,,,,F,,,,F,F,R,,,,,F,,,,,F,,,,R,,,,,,,349,U1431,E,8,R,1,W,10/12-NANNO,
349-U1431E-8R-5-PAL-NANNO,0,7,619.53,619.6,NN11,P,R,R,R,,,,,,,,,F,,F,,,F,,,,,,,,F,R,,R,F,,,,F,F,F,,,,R,R,,,,,C,,,,R,,,,,,,349,U1431,E,8,R,5,PAL,NANNO,
349-U1431E-9R-5-W 39/40-NANNO,0,1,628.84,628.85,NN11,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,,"overgrown, Discoaster unidentified",,,349,U1431,E,9,R,5,W,39/40-NANNO,
349-U1431E-9R-6-PAL-NANNO,0,5,630.86,630.91,NN11,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,,,,"overgrown, Discoaster unidentified",,,349,U1431,E,9,R,6,PAL,NANNO,
349-U1431E-10R-4-W 12/12-NANNO,0,0,636.51,636.51,NN11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcite debris,,,349,U1431,E,10,R,4,W,12/12-NANNO,
349-U1431E-10R-4-W 13/15-NANNO,0,2,636.52,636.54,NN11,R,P,R,R,,,,,,,,R,R,,,,,,,,,,,,,R,,,,R,,,,R,,R,,,,,,,,,,R,,,,R,,,,,,,349,U1431,E,10,R,4,W,13/15-NANNO,
349-U1431E-10R-4-W 145/146-NANNO-NANNO,0,1,637.91,637.92,NN11,P,R,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,349,U1431,E,10,R,4,W,145/146-NANNO-NANNO,
349-U1431E-11R-1-W 52/54-NANNO39,0,2,642.62,642.64,NN11,P,F,,,,,,,,,,,F,,F,,,,,,,,,,,,,,F,F,,,,F,,,,,,,,,,,,F,,,,R,,,,,,,349,U1431,E,11,R,1,W,52/54-NANNO39,
349-U1431E-11R-3-PAL-NANNO,0,5,644.99,645.04,NN11,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,349,U1431,E,11,R,3,PAL,NANNO,
