Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Globigerina angulisuturalis,Globigerina bulloides,Globigerina bulloides umbilicata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina sp.,Globigerinatella insueta,Globigerinella calida,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sp.,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hessi,Globorotalia hirsuta,Globorotalia ikbei,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia orientalis,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praeinflata,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia rikuchuensis,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita sp.,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina himiensis,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pseudopachyderma,Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Turborotalita humilis,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1423B-4H-4-W 53/54-FORAM,0,1,28.1,28.11,,,,M ,D ,100,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,4,H,4,W,53/54-FORAM
346-U1423B-4H-6-W 64/65-FORAM,0,1,31.21,31.22,,,,M ,D ,90,,,,,,A ,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,4,H,6,W,64/65-FORAM
346-U1423B-4H-6-W 98/99-FORAM,0,1,31.55,31.56,,,,M ,D ,100,,,,,,A ,R ,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,4,H,6,W,98/99-FORAM
346-U1423B-5H-3-W 85/86-FORAM,0,1,36.45,36.46,,,,M ,D ,100,,,,,,D ,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,5,H,3,W,85/86-FORAM
346-U1423B-5H-4-W 135/136-FORAM,0,1,38.45,38.46,,,,G ,D ,100,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,5,H,4,W,135/136-FORAM
346-U1423B-5H-7-W 32/33-FORAM,0,1,41.92,41.93,,,,G ,D ,100,,,,,,D ,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,A ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,5,H,7,W,32/33-FORAM
346-U1423B-6H-3-W 132/133-FORAM,0,1,46.42,46.43,,,,G ,D ,100,,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,R ,,,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,6,H,3,W,132/133-FORAM
346-U1423B-6H-5-W 48/49-FORAM,0,1,48.58,48.59,,,,G ,D ,99,,,,,,A ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,D ,,R ,,,,,,,,,,,,,,,,,,,,,346,U1423,B,6,H,5,W,48/49-FORAM
346-U1423B-7H-1-W 132/133-FORAM,0,1,52.92,52.93,,,,G ,D ,100,,,,,,D ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,7,H,1,W,132/133-FORAM
346-U1423B-7H-2-W 45/46-FORAM,0,1,53.55,53.56,,,,G ,D ,100,,,,,,D ,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,A ,,R ,A ,,R ,,,,,,,,,,,,,,,,,,,,,346,U1423,B,7,H,2,W,45/46-FORAM
346-U1423B-8H-2-W 118/119-FORAM,0,1,63.78,63.79,,,,M ,D ,88,,,,,,D ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,8,H,2,W,118/119-FORAM
346-U1423B-8H-6-W 43/44-FORAM,0,1,69.025,69.035,,,,G ,D ,95,,,,,,D ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,R ,D ,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,8,H,6,W,43/44-FORAM
346-U1423B-9H-2-W 50/51-FORAM,0,1,72.6,72.61,,,,P ,D ,100,,,,,,D ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,F ,,R ,R ,,R ,,,,,,,,,,,,,,,,,,,,,346,U1423,B,9,H,2,W,50/51-FORAM
346-U1423B-9H-5-W 75/76-FORAM,0,1,77.35,77.36,,,,P ,F ,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,9,H,5,W,75/76-FORAM
346-U1423B-10H-2-W 130/131-FORAM,0,1,82.86,82.87,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,10,H,2,W,130/131-FORAM
346-U1423B-15H-4-W 30/31-FORAM,0,1,132.4,132.41,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,15,H,4,W,30/31-FORAM
346-U1423B-15H-CC-PAL,0,5,132.8,132.85,,,,M ,A ,81,,,,,,D ,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,R ,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,15,H,CC,PAL,
346-U1423B-16H-3-W 85/86-FORAM,0,1,136.45,136.46,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,16,H,3,W,85/86-FORAM
346-U1423B-16H-CC-PAL,0,5,142.41,142.46,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,16,H,CC,PAL,
346-U1423B-17H-6-W 75/92-FORAM,0,17,150.35,150.52,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,17,H,6,W,75/92-FORAM
346-U1423B-17H-CC-PAL,0,4,151.91,151.95,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,17,H,CC,PAL,
346-U1423B-22H-CC-PAL,0,5,192.33,192.38,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,22,H,CC,PAL,
346-U1423B-23H-CC-PAL,0,5,201.9,201.95,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,23,H,CC,PAL,
346-U1423B-24H-CC-PAL,0,5,211.42,211.47,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,24,H,CC,PAL,
346-U1423B-25H-CC-PAL,0,5,220.78,220.83,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,25,H,CC,PAL,
346-U1423B-26H-CC-PAL,0,5,230.1,230.15,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,26,H,CC,PAL,
346-U1423B-27H-CC-PAL,0,5,239.95,240,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,27,H,CC,PAL,
346-U1423B-28H-CC-PAL,0,5,249.47,249.52,,,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,28,H,CC,PAL,
