Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1450A-1H-CC-PAL-FORAM,0,11,8.41,8.52,,,,,,,,,A [A101],P [P38],VS,,4,,,,,,,,,,,,,,,,,,R,,R,F,R,,,,,,,,,,,,,,,,A,,,,,,,R,R,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,,,354,U1450,A,1,H,CC,PAL
354-U1450A-2H-CC-PAL-FORAM,0,8,11.6,11.68,,,,,,,,,R [A101],G [P38],L,,1,,,,,,,,,,,R,,,,,,,,,,C,F,,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,354,U1450,A,2,H,CC,PAL
354-U1450A-3H-CC-PAL-FORAM,0,12,18.51,18.63,,,,,,,,,F [A101],G [P38],L,100,1,,,,,,,,,,,,,R,,F,,,F,,R,F,R,,,,R,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,A,,R,,,,,F,,,,,,,,,,,,,,354,U1450,A,3,H,CC,PAL
354-U1450A-4F-CC-PAL-FORAM,0,10,23.47,23.57,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,4,F,CC,PAL
354-U1450A-8F-1-W 95/101-FORAM,0,6,39.95,40.01,,,,,,,,,R [A101],G [P38],M,100,2,2,,,,,,,,,,F,,r,,,,,,R,R,C,R,,,,F,,,,,,,,,,R,,F,,,,,,R,,R,R,,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,354,U1450,A,8,F,1,W
354-U1450A-11F-3-W 44/49-FORAM,0,5,56.34,56.39,,,,,,,,,R [A101],G [P38],L,98,1,,,"small sample, few forams, lots of mica",,,,,,,,,,R,,,,,,,R,R,F,,,,R,,,,,,,,,,,,R,,,,,,,R,C,R,,,,,,,A,,,R,,,,,A,,,,,,,,,,,,,,354,U1450,A,11,F,3,W
354-U1450A-11F-CC-PAL-FORAM,0,5,56.75,56.8,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,11,F,CC,PAL
354-U1450A-12F-CC-PAL,0,10,61.38,61.48,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,12,F,CC,PAL
354-U1450A-14F-CC-PAL,0,9,72.14,72.23,,,,,,,,,A [A101],M [P38],M,98,2,,,Potential reworking: G ruber in sample with G. tosaensis,,,,,,,,,,R,,F,,,R,,R,F,R,,,,C,,,,,,,,,,,,R,,,,,,R,R,A,R,,,,,,,,A,,R,,,,,C,,,,,,,,,,,,,,354,U1450,A,14,F,CC,PAL
354-U1450A-16F-2-W 33/38-FORAM,0,5,78.72,78.77,,,,,,,,,R [A101],G [P38],M,,2,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1450,A,16,F,2,W
