Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links
351-U1438D-2R-CC-PAL-FORAM,351,U1438,D,2,2-CC,R,CC,PAL,FORAM,0,6,222.62,222.68,M [P02],C [A97],,,R [A21],,,,,,,,P [A21],,,,F [A21],,,,,,,,,R [A21],,P [A21],P [A21],,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-CC-PAL-FORAM,351,U1438,D,3,3-CC,R,CC,PAL,FORAM,0,6,230.1,230.16,M [P02],R [A97],,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-CC-PAL-FORAM,351,U1438,D,3,3-CC,R,CC,PAL,FORAM,0,6,230.1,230.16,P [P02],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-CC-PAL-FORAM,351,U1438,D,4,4-CC,R,CC,PAL,FORAM,0,5,231.56,231.61,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-CC-PAL-FORAM,351,U1438,D,5,5-CC,R,CC,PAL,FORAM,0,7,239.55,239.62,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-CC-PAL-FORAM,351,U1438,D,6,6-CC,R,CC,PAL,FORAM,0,0,250.14,250.14,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-CC-PAL-FORAM,351,U1438,D,7,7-CC,R,CC,PAL,FORAM,0,0,259.84,259.84,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-8R-CC-PAL-FORAM,351,U1438,D,8,8-CC,R,CC,PAL,FORAM,0,0,269.84,269.84,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-9R-CC-PAL-FORAM,351,U1438,D,9,9-CC,R,CC,PAL,FORAM,0,0,280.66,280.66,M [P02],R [A97],,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-10R-2-A 44/45-FORAM,351,U1438,D,10,10-2,R,2,A,44/45-FORAM,0,1,288.6,288.61,M [P02],R [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-10R-CC-PAL-FORAM,351,U1438,D,10,10-CC,R,CC,PAL,FORAM,0,6,290.74,290.8,P [P02],R [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-11R-CC-PAL-FORAM,351,U1438,D,11,11-CC,R,CC,PAL,FORAM,0,7,301.26,301.33,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-12R-CC-PAL-FORAM,351,U1438,D,12,12-CC,R,CC,PAL,FORAM,0,6,310.33,310.39,M [P02],R [A97],P [A21],,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-13R-CC-PAL-FORAM,351,U1438,D,13,13-CC,R,CC,PAL,FORAM,0,4,322.89,322.93,M [P02],F [A97],R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-14R-CC-PAL-FORAM,351,U1438,D,14,14-CC,R,CC,PAL,FORAM,0,4,331.76,331.8,M [P02],R [A97],R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-15R-CC-PAL-FORAM,351,U1438,D,15,15-CC,R,CC,PAL,FORAM,0,4,343.44,343.48,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-16R-CC-PAL-FORAM,351,U1438,D,16,16-CC,R,CC,PAL,FORAM,0,5,354.74,354.79,M [P02],R [A97],R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-17R-CC-PAL-FORAM,351,U1438,D,17,17-CC,R,CC,PAL,FORAM,0,5,364.43,364.48,P [P02],R [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-18R-CC-FORAM,351,U1438,D,18,18-CC,R,CC,FORAM,,0,5,373.78,373.83,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-19R-CC-PAL-FORAM,351,U1438,D,19,19-CC,R,CC,PAL,FORAM,0,5,380.77,380.82,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-20R-CC-PAL-FORAM,351,U1438,D,20,20-CC,R,CC,PAL,FORAM,0,7,391.5,391.57,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-21R-CC-PAL-FORAM,351,U1438,D,21,21-CC,R,CC,PAL,FORAM,0,5,397.17,397.22,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-22R-CC-PAL-FORAM,351,U1438,D,22,22-CC,R,CC,PAL,FORAM,0,5,413.11,413.16,P [P02],R [A97],P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-23R-CC-PAL-FORAM,351,U1438,D,23,23-CC,R,CC,PAL,FORAM,0,5,419.44,419.49,M [P02],R [A97],R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-24R-CC-PAL-FORAM,351,U1438,D,24,24-CC,R,CC,PAL,FORAM,0,5,428.63,428.68,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-25R-CC-PAL-FORAM,351,U1438,D,25,25-CC,R,CC,PAL,FORAM,0,8,440.97,441.05,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
