Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age maximum [Ma],Datum age minimum [Ma],Datum age average [Ma],Datum occurrence,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1425B-1H-CC-PAL,0,5,8.77,8.82,"T Lychnocanoma sakaii (Itaki et al., 2007)",radiolarian,R,T,Japan Sea / East Sea,T Lychnocanoma sakaii,"Itaki et al., 2007",,,,,,0.05,,,,,346,U1425,B,1,H,CC,P
346-U1425B-2H-CC-PAL,0,5,18.58,18.63,"T Spongodiscus sp. of Kling (Matul et al., 2002)",radiolarian,R,T,Japan Sea / East Sea,T Spongodiscus sp. of Kling,"Matul et al., 2002",,,,,,0.29,,,,,346,U1425,B,2,H,CC,P
346-U1425B-6H-CC-PAL,0,5,56.53,56.58,"T Axoprunum acquilonium (Alexandrovich,  1992)",radiolarian,R,T,Japan Sea / East Sea,T Axoprunum acquilonium,Alexandrovich (1992),,,,2,2.4,2.2,,,,,346,U1425,B,6,H,CC,P
346-U1425B-8H-CC-PAL,0,5,75.58,75.63,"B Cycladophora davisiana  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Cycladophora davisiana  ,"Exp 320/321 Scientists, 2010",,,,,,2.89,,,,,346,U1425,B,8,H,CC,P
346-U1425B-8H-CC-PAL,0,5,75.58,75.63,"T Hexacontium parviakitaensis  (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Hexacontium parviakitaensis,"Motoyama, 2013",,,,,,2.7,,,,,346,U1425,B,8,H,CC,P
346-U1425B-17H-CC-PAL,0,5,122.49,122.54,"B Hexacontium parviakitaensis  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Hexacontium parviakitaensis,"Motoyama, 2013",,,,,,3.9 / 4.3,,,,,346,U1425,B,17,H,CC,P
346-U1425B-19H-CC-PAL,0,6,131.17,131.23,"T Dictyophimus bullatus  (Gradstein et al., 2012)",radiolarian,R,T,Japan Sea / East Sea,T Dictyophimus bullatus,"Motoyama, 2013",,,,,,3.9 / 4.3,,,,,346,U1425,B,19,H,CC,P
346-U1425B-20H-CC-PAL,0,6,136.66,136.72,"B Dictyophimus bullatus  (Gradstein et al., 2012)",radiolarian,R,B,Japan Sea / East Sea,B Dictyophimus bullatus,"Motoyama, 2013",,,,,,4.4,,,,,346,U1425,B,20,H,CC,P
346-U1425B-20H-CC-PAL,0,6,136.66,136.72,"RD Siphocampe arachnea  (Gradstein et al., 2012)",radiolarian,R,RD,Japan Sea / East Sea,RD Siphocampe arachnea,"Kamikuri et al., 2004",,,,,,4.46,,,,,346,U1425,B,20,H,CC,P
346-U1425B-21H-CC-PAL,0,5,146.33,146.38,"RI Siphocampe arachnea  (Gradstein et al., 2012)",radiolarian,R,RI,Japan Sea / East Sea,RI Siphocampe arachnea,"Kamikuri et al., 2004",,,,,,4.71,,,,,346,U1425,B,21,H,CC,P
