Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1463C-1H-1-PAL-NANNO,0,0,0.0,0.0,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,A,C,C,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,F,,,,P,,,,,,R,,,R,,,,,,,356,U1463,C,1,H,1,P
356-U1463C-1H-CC-PAL-NANNO,0,5,4.06,4.11,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,C,C,,,,,,,,,F,,R,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,P,,,R,,,aragonite needles,,,,356,U1463,C,1,H,CC,P
356-U1463C-2H-CC-PAL-NANNO,0,5,13.4,13.45,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,C,C,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,P,,,R,,,aragonite needles,,,,356,U1463,C,2,H,CC,P
356-U1463C-3H-CC-PAL-NANNO,0,5,23.21,23.26,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,R,F,F,,,,,,,,,R,,F,,,,,,,,,,F,,,,,,,,P,,,,,,,P,,,P,,,F,,,,,,,356,U1463,C,3,H,CC,P
356-U1463C-4H-CC-PAL-NANNO,0,5,32.46,32.51,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,R,R,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,R,,,R,,,,,,,356,U1463,C,4,H,CC,P
356-U1463C-5H-CC-PAL-NANNO,0,5,41.77,41.82,,,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,P,,R,P,R,,,,,,,,,R,,,,,,F,F,,,,,R,,,,,,,,P,,,,,,,,,,R,,,R,,,,,,,356,U1463,C,5,H,CC,P
356-U1463C-6H-CC-PAL-NANNO,0,5,51.66,51.71,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,F,R,R,,,,,,,,,R,,,,,,F,C,,,,,R,,,,,,,,R,,,,P,,,,,,R,,,F,,,,,,,356,U1463,C,6,H,CC,P
356-U1463C-7H-CC-PAL-NANNO,0,5,61.43,61.48,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,R,F,,,,,,,,,F,,,,,,C,C,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,356,U1463,C,7,H,CC,P
356-U1463C-12H-CC-PAL-NANNO,0,5,106.37,106.42,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,R,,,,P,,,,,,,,,F,,,,,,,356,U1463,C,12,H,CC,P
356-U1463C-14H-CC-PAL-NANNO,0,5,125.07,125.12,,,G [P33],C [A22],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,R,,,R,,,,,,,,,,F,,,,,,C,F,,,,,R,,,,,,,,F,,,,P,,,,,,P,,,F,,,,,,,356,U1463,C,14,H,CC,P
356-U1463C-15H-CC-PAL-NANNO,0,5,134.79,134.84,,,G [P33],A [A22],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,,,,,,,,,,,F,,,,,,C,C,,,,,F,,,,,,,,F,,,,R,,,,,,P,,,F,,,,,,,356,U1463,C,15,H,CC,P
356-U1463C-20H-CC-PAL-NANNO,0,5,182.19,182.24,,,M [P33],C [A22],,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,A,C,,,,F,,,,,F,,,,R,,,,F,,,,,,P,,,,,,few dolomite crystals,,,,356,U1463,C,20,H,CC,P
