Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1462A-1X-CC-PAL-FORAM-150-2000_Bot,0,10,0.15,0.25,,,,,,,,,,VR,P,S,10,3,,,,,very hard white stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,1,X,CC,PAL,FORAM-150-2000_Bot
356-U1462A-1X-CC-PAL-FORAM-150-2000_Top,0,10,0.15,0.25,,,,,,,,,,C,G,M,50,2,,,,,"Peloids (F), Pteropods (F), Ostracods (R)",,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,P,,,,,,R,,,,,,,,,,,F,P,P,F,,,R,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1462,A,1,X,CC,PAL,FORAM-150-2000_Top
356-U1462A-6X-CC-PAL-FORAM-150-2000,0,5,48.5,48.55,,,,,,,,,,VR,P,M,20,2,,,,,"Bivalves, Ostracods (F), Peloids (R)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,6,X,CC,PAL,FORAM-150-2000
356-U1462A-7F-CC-PAL-FORAM-150-2000_Top,0,5,58.2,58.25,,,,,,,,,,VR,P,S,5,3,,,,,Peloids (F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,7,F,CC,PAL,FORAM-150-2000_Top
356-U1462A-8X-CC-PAL-FORAM-150-2000,0,5,58.4,58.45,,,,,,,,,,B,P,,0,,,,,,only BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,8,X,CC,PAL,FORAM-150-2000
356-U1462A-11X-CC-PAL-FORAM-150-2000,0,10,87.63,87.73,,,,,,,,,,VR,P,S,5,3,,,,,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,11,X,CC,PAL,FORAM-150-2000
356-U1462A-13X-CC-PAL-FORAM-150-2000,0,10,106.9,107,,,,,,,,,,B,P,,0,,,,,,only BF; pteropod (P); ostracod (R); bivalve (R); peloid (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,13,X,CC,PAL,FORAM-150-2000
356-U1462A-14X-CC-PAL-FORAM-150-2000,0,10,117.45,117.55,,,,,,,,,,VR,P,S,3,3,,,,,"ostracod (R), pterpod (P); peloid (R)",,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,14,X,CC,PAL,FORAM-150-2000
356-U1462A-15X-CC-PAL-FORAM-150-2000,0,10,126.67,126.77,,,,,,,,,,VR,P,,2,,,,,,peloid (F); peloid casts; pteropod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,15,X,CC,PAL,FORAM-150-2000
356-U1462A-17X-CC-PAL-FORAM-150-2000,0,10,145.7,145.8,,,,,,,,,,VR,P,,2,,,,,,large bivalves in cemented coarse fraction; pteropod (P); Ostracod (R); BF (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1462,A,17,X,CC,PAL,FORAM-150-2000
