Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1472A-1H-CC-PAL-FORAM >150,0,5,5.02,5.07,,,,VG,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1472,A,1,H,CC,PAL,FORAM >150
359-U1472A-2H-CC-PAL-FORAM >150,0,5,14.62,14.67,,,,VG,,P,,P,,,,,,,,P,R,,,,,,,,,,,,,,,R,,,,C,,,,,359,U1472,A,2,H,CC,PAL,FORAM >150
359-U1472A-3H-CC-PAL-FORAM >150,0,5,24.28,24.33,,,,M,,P,,P,,,,,,,,P,R,,,,,,P,,,,,,,,,R,,,,C,,,,,359,U1472,A,3,H,CC,PAL,FORAM >150
359-U1472A-4H-CC-PAL-FORAM >150,0,5,33.29,33.34,,,,G,,C,,P,,,,,,,,C,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,4,H,CC,PAL,FORAM >150
359-U1472A-5H-CC-PAL-FORAM >150,0,5,43.06,43.11,,,,M,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,5,H,CC,PAL,FORAM >150
359-U1472A-6H-CC-PAL-FORAM >150,0,5,52.57,52.62,,,,G,,,P,,P,,P,,,,,P,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,6,H,CC,PAL,FORAM >150
359-U1472A-7H-CC-PAL-FORAM >150,0,5,61.59,61.64,,,,G,,P,P,,P,,R,,,,,,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,7,H,CC,PAL,FORAM >150
359-U1472A-8H-CC-PAL-FORAM >150,0,5,71.72,71.77,,,,G,,,P,,P,,R,,P,P,,,R,,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,8,H,CC,PAL,FORAM >150
359-U1472A-9H-CC-PAL-FORAM >150,0,5,80.23,80.28,,,,G,,,,,R,,R,,C,P,,P,R,P,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,9,H,CC,PAL,FORAM >150
359-U1472A-10H-CC-PAL-FORAM >150,0,5,90.51,90.56,,,,G,,,,,P,,R,P,C,P,,,R,P,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,10,H,CC,PAL,FORAM >150
