Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
356-U1462C-2R-CC-PAL-FORAM-150-2000,0,5,33,33.05,P [P39],,100,,,,,Abundant peloids. Foraminifera heavily rounded and abraded. Ostracods present.,,,,,,,,,,R [A109],,,,R [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,A [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30798431,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30798431,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30798431, ",356,U1462,C,2,R,CC,PAL,FORAM-150-2000,,
356-U1462C-4R-CC-PAL-FORAM-150-2000,0,7,42.6,42.67,P [P39],,99,,,,,Abundant peloids. Foraminifera heavily rounded and abraded.,,,,,P [A109],,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,A [A109],,,,,,,,,,,,,,,R [A109],,,,R [A109],,F [A109],F [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30798861,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30798861,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30798861, ",356,U1462,C,4,R,CC,PAL,FORAM-150-2000,,
356-U1462C-5R-CC-PAL-FORAM-150-2000,0,5,47.4,47.45,M [P39],,90,,,,,"Slightly better preservation, decreased abrasion.",,,,,,,,,,F [A109],,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,F [A109],,,,,,,,,,P [A109],,,,,P [A109],,,P [A109],,,A [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,R [A109],,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30801431,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30801431,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30801431, ",356,U1462,C,5,R,CC,PAL,FORAM-150-2000,,
356-U1462C-6R-CC-PAL-FORAM-150 2000 TOP,0,5,52.2,52.25,G [P39],,86,,,,,"Below reef, indicator species >50 m. Ostracods present.",,P [A109],,,,,P [A109],,,R [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,F [A109],,,,,,,R [A109],,,,,,P [A109],,,,P [A109],,,,,P [A109],,,,,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,A [A109],,R [A109],,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],P [A109],,R [A109],,R [A109],,,,,P [A109],,,,,R [A109],,,,P [A109],,,,,,,,,,,,,,R [A109],,,,,,,,R [A109],R [A109],,,,,,,,P [A109],R [A109],,P [A109],F [A109],,,,,,,F [A109],,,,,,,,P [A109],,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30802991,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30802991,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30802991, ",356,U1462,C,6,R,CC,PAL,FORAM-150 2000 TOP,,
356-U1462C-8R-CC-PAL-FORAM-150-2000,0,7,62.4,62.47,P [P39],,100,,,,,Fine sugary crystal coating and cementation. Some specimens also in good preservation. Glauconite present.,,,,,,,,,,D [A109],,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,F [A109],,,,,,,,,,R [A109],,,,,,,,F [A109],,,P [A109],P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,A [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30807661,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30807661,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30807661, ",356,U1462,C,8,R,CC,PAL,FORAM-150-2000,,
356-U1462C-9R-CC-PAL-FORAM-150-2000,0,2,66.6,66.62,P [P39],C [A10],95,,,,,Ostracods and Glauconite present. Heavy abrasion. Peloids present.,75,,,,,,,,,D [A109],,F [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,,,,,,,P [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812411,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812411,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812411, ",356,U1462,C,9,R,CC,PAL,FORAM-150-2000,,
356-U1462C-10R-CC-PAL-FORAM-150-2000,0,5,71.98,72.03,P [P39],,99,,,,,Glauconite present. Quartz grains present.,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,F [A109],,,,,,,,,,R [A109],,,,,,,,F [A109],,,A [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,R [A109],,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,A [A109],,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,R [A109],,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30808201,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30808201,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30808201, ",356,U1462,C,10,R,CC,PAL,FORAM-150-2000,,
356-U1462C-12R-CC-PAL-FORAM-150-2000,0,6,81.09,81.15,P [P39],,99,,,,,Glauconite present. Quartz grains present. Heavy abrasion and cementation.,,,,,P [A109],,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,A [A109],,,,,,,,,,R [A109],,,,,,,,R [A109],,,R [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30809121,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30809121,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30809121, ",356,U1462,C,12,R,CC,PAL,FORAM-150-2000,,
356-U1462C-14R-CC-PAL-FORAM-150-2000,0,6,90.8,90.86,P [P39],,100,,,,,"Heavy abrasion and cementation, encrustation.",,,,,,,,,,A [A109],,F [A109],F [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],F [A109],,,,,,,,,,,R [A109],,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30810371,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30810371,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30810371, ",356,U1462,C,14,R,CC,PAL,FORAM-150-2000,,
356-U1462C-16R-CC-PAL-FORAM-150-2000,0,5,100.68,100.73,P [P39],F [A10],100,,,,,"Heavy abrasion, almost all surficial features removed. Abundant peloids and ooids.",40,,,,P [A109],,,,,A [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,A [A109],P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812441,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30812441,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30812441, ",356,U1462,C,16,R,CC,PAL,FORAM-150-2000,,
