Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data
359-U1465A-1H-1-W,15,15,0.15,0.15,,,G,A,C,,,C,,,,,,P,,,,,,,R,,,,,R,,,,,,,,,,F,,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1465A-1H-2-W,50,50,1.89,1.89,,,G,A,A,F,,C,,,,,,,,,,,,,C,,,,,A,,,,,,,,,,A,,,,,,,R,,,,F,F,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,,,,R,,,,,
359-U1465A-1H-3-W,66,66,3.22,3.22,,,G,A,C,,,C,,,,,,C,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,
359-U1465A-1H-4-W,75,75,4.72,4.72,,,G,A,C,,,C,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
359-U1465A-1H-5-W,65,65,6.04,6.04,,,G,A,,F,,C,,,,,,,,,,,,,R,,,,,F,,,,,R,,,,,,,,,,,,R,,,,F,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
359-U1465A-1H-6-W,50,50,6.8,6.8,,,G,A,,,,C,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
359-U1465A-1H-CC-W,16,21,7.08,7.13,,,G,A,C,F,,C,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,
359-U1465A-2H-2-W,29,29,8.89,8.89,,,G,A,,,,P,,,,,,R,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
359-U1465A-2H-4-W,60,60,12.2,12.2,,,G,A,,,,C,,R,,,,C,A,,,,,,R,,,,,C,,,,,F,,,,,F,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,R,,,F,,,,,
359-U1465A-2H-5-W,60,60,13.7,13.7,,,M,C,,,,C,C,C,,,R,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,R,,,,F,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,
359-U1465A-2H-6-W,50,50,15.1,15.1,,,M,C,,,,C,R,C,,,,,,,,,,,R,,,,,R,,,,,R,,,,,F,,,,,,,R,,,,F,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,
359-U1465A-2H-CC-REIJ,0,5,15.63,15.68,,,G,A,,,,C,C,,,,,,,,,,,,R,,,,,C,,,,,C,,,,,F,,,,,,,P,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,
359-U1465A-3H-3-W,31,31,19.86,19.86,,,M,C,,C,,C,R,C,,,,,,,,,,,,,,,,R,,,,,F,,,,,F,,,,,,,F,,,,F,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,
359-U1465A-3H-CC-PAL,0,3,20.44,20.47,,,M,A,,C,,C,R,C,C,,,,,,,,,,F,,,,,C,,,,,R,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
359-U1465A-4H-3-W,50,50,29.6,29.6,,,M,A,,C,,C,,,,,,F,,,,,,,F,,,,,F,,F,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1465A-4H-CC-PAL,0,5,35.08,35.13,,,M,C,,A,,,,,,,,C,,,,,,,,F,,,,,,A,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
359-U1465A-5H-CC-PAL,0,5,35.74,35.79,,,P,F,,C,,P,,P,,,,P,,,,,,,R,F,,,,P,,P,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1465A-6F-2-W,60,60,37.86,37.86,,,M,C,,R,,F,,,,,R,F,,,,,,,R,,,,,R,,R,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1465A-6F-CC,0,5,38.95,39,,,P,C,,C,,F,,,R,,,F,,,,,,,,,,,,F,,C,,,,R,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,
359-U1465A-7H-CC-PAL,0,5,48.49,48.54,,,P,C,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,R,F,,,R,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,
359-U1465A-8H-CC-PAL,0,5,56.54,56.59,,,M,C,,,,,,,,,R,C,C,,,,R,,F,R,,,,,R,F,,,F,,,,,F,,,,,,,R,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,
359-U1465A-9H-CC-PAL,0,5,65.42,65.47,,,G,A,,C,,,,,F,,,C,,,,,P,,R,R,,R,,,R,F,,,,F,,,,F,,,,,,,F,,,,,F,,,,,,,,R,,,,,,F,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-U1465A-11X-CC-PAL,0,5,69.47,69.52,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,
