Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1448A-1H-CC-PAL-FORAMP,0,7,2.4,2.47,,,,,,,,,,0.0,0.12,G,D,,,,,,,,,R,,,A,,,,R,R,,,F,,R,,,,,,,,C,,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,F,,,R,,R,,,R,,,,F,,,,,,,,,,,353,U1448,A,1,H,CC,PAL,
353-U1448A-2H-CC-PAL-FORAMP,0,5,12.09,12.14,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,F,R,,,R,R,,,A,,R,,,,,,,F,A,R,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,F,,F,,,R,,,,F,,,,,,,,,,,353,U1448,A,2,H,CC,PAL,
353-U1448A-3H-CC-PAL-FORAMP,0,5,21.57,21.62,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,C,,,,F,R,,,C,,,,,,,,,F,A,R,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,R,,,C,,R,,,R,,,,F,,,,,,,,,,,353,U1448,A,3,H,CC,PAL,
353-U1448A-4H-CC-PAL-FORAMP,0,5,31.41,31.46,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,F,,,,R,R,,,C,,,,,,,,,R,A,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,F,,F,,,R,,,,F,,,,,,,,,,,353,U1448,A,4,H,CC,PAL,
353-U1448A-5H-CC-PAL-FORAMP,0,6,40.72,40.78,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,,,,R,R,,,R,,R,,,,,,,,A,R,,R,R,,,R,,,,,,,,,,R,,,,,,,,,R,,R,,R,,,,,,,,F,,R,,,R,,,,C,,,,,,,,,,,353,U1448,A,5,H,CC,PAL,
353-U1448A-6H-CC-PAL-FORAMP,0,5,50.03,50.08,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,F,,,C,F,,,F,,R,,,,,,,,D,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,C,,F,,,F,,,,C,,,R,,,,,,,,353,U1448,A,6,H,CC,PAL,
353-U1448A-7H-CC-PAL-FORAMP,0,5,59.73,59.78,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,R,,,F,F,,,F,,R,,,,,,,,A,C,,,F,,,,,,,,,,,,,F,,,,,,,,,,,F,,R,,,,,,,,A,,R,,,R,,,,C,,,R,,,,,,,,353,U1448,A,7,H,CC,PAL,
353-U1448A-8H-CC-PAL-FORAMP,0,5,69.34,69.39,,,,,,,,,,0.61,,G,D,,,,,,,,,R,,,,R,,,C,F,,,F,,F,,,,,,,,A,A,,,R,,,,,,,,,,,,,R,,,,,,,,,R,,R,R,R,,,,,,,,A,,F,,,C,,,,C,,,F,,,,,,,,353,U1448,A,8,H,CC,PAL,
353-U1448A-9H-CC-PAL-FORAMP,0,5,78.76,78.81,,,,,,,,,,0.61,,G,D,,,,,,,,,R,,,F,,,,C,F,,,F,,C,,,,,,,,A,C,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,A,,C,,,C,,,,F,,,F,,,,,,,,353,U1448,A,9,H,CC,PAL,
353-U1448A-10H-CC-PAL-FORAMP,0,5,88.29,88.34,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,,,,C,F,,,F,,F,,,,,,,,A,A,,,F,,,,,,,,,,,,,F,,,,,,,,,R,,F,R,R,,,,,,,,A,,F,,,C,,,,F,,,R,,,,,,,,353,U1448,A,10,H,CC,PAL,
