Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Foram abundance,Planktonic Benthic ratio (P:B),General comment,NEOGENE,Bolliella calida,Bolliella praeadamsi,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Clavatorella bermudezi,Fohsella birnageae,Fohsella fohsi fohsi,Fohsella fohsi lobata,Fohsella lenguaensis,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina braziere,Globigerina bulloides,Globigerina connecta,Globigerinatella insueta,Globigerinella siphonifera,Globigerinoides altiapertura,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella inflata,Globoconella miozea,Globoconella pliozea,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina altispira altispira,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina globularis,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia conica,Globorotalia crassaformis crassaformis,Globorotalia crassula,Globorotalia excelsa,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inconspicua,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia menardii,Globorotalia merotumida,Globorotalia miocenica,Globorotalia miotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia ronda,Globorotalia semivera,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita woodi,Hirsutella cibaoensis,Hirsutella juanai,Hirsutella margaritae,Hirsutella scitula,Neogloboquadrina acostaensis,Neogloboquadrina asanoi,Neogloboquadrina atlantica,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia pseudokugleri,Paragloborotalia siakensis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,PALEOGENE,Acarinina acarinata,Acarinina aspensis,Acarinina broedermanni,Acarinina bullbrooki,Acarinina coalingensis,Acarinina collactea,Acarinina cuneicamerata,Acarinina mcgowrani,Acarinina mckannai,Acarinina medizzai,Acarinina primitiva,Acarinina pseudotopilensis,Acarinina quetra,Acarinina rohri,Acarinina sibaiyaensis,Acarinina soldadoensis,Acarinina soldadoensis angulosa,Acarinina spp.,Acarinina subsphaerica,Acarinina topilensis,Acarinina wilcoxensis,Catapsydrax dissimilis,Catapsydrax stainforthi,Catapsydrax unicavus,Chiloguembelina cubensis,Chiloguembelina martini,Chiloguembelina midwayensis,Chiloguembelina sp.,Chiloguembelina wilcoxensis,Clavigerinella akersi,Clavigerinella columbiana,Clavigerinella eocanica,Clavigerinella jarvisi,Cribrohantkenina inflata,Dentoglobigerina sellii,Dentoglobigerina tapuriensis,Globanomalina australiformis,Globanomalina compressa,Globanomalina imitata,Globanomalina pseudomenardii,Globigerina angulisuturalis,Globigerina ouachitaensis,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka mexicana,Globigerinatheka semiinvoluta,Globigerinatheka subconglobata,Globigerinatheka tropicalis,Globoconusa daubjergensis,Globorotaloides carcoselleensis,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina mexicana,Hantkenina nuttalli,Hantkenina singanoae,Hantkenina spp.,Igorina albeari,Igorina broedermanni,Igorina pusilla,Morozovella acuta,Morozovella aequa,Morozovella allisonensis,Morozovella angulata,Morozovella apanthesma,Morozovella aragonensis,Morozovella broedermanni,Morozovella caucasica,Morozovella conicotruncata,Morozovella crater,Morozovella formosa,Morozovella gracilis,Morozovella lensiformis,Morozovella marginodentata,Morozovella praeangulata,Morozovella praecursoria,Morozovella quetra,Morozovella spinulosa,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Muricoglobigerina senni,Orbulinoides beckmanni,Paragloborotalia nana,Paragloborotalia opima,Parasubbotina griffinae,Parasubbotina variospira,Parvularugoglobigerina eugubina,Parvularugoglobigerina extensa,Planorotalites palmerae,Planorotalites spp.,Praemurica inconstans,Praemurica uncinata,Pseudoglobigerinella bolivariata,Pseudohastigerina micra,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Subbotina angiporoides,Subbotina brevis,Subbotina euapertura,Subbotina inaequispira,Subbotina linaperta,Subbotina lozanoi,Subbotina triloculinoides,Subbotina utilisindex,Subbotina velascoensis,Tenuitella insolita,Tenuitella minutissima,Tenuitella munda,Tenuitella pseudoedita,Tenuitella reissi,Tenuitella selleyi,Turborotalia ampliapertura,Turborotalia boweri,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia frontosa,Turborotalia griffinae,Turborotalia pomeroli,Turborotalia possagnoensis,CRETACEOUS,Abathomphalus intermedius,Abathomphalus mayaroensis,Archaeoglobigerina australis,Archaeoglobigerina blowi,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Contusotruncana contusa,Contusotruncana fornicata,Contusotruncana patelliformis,Contusotruncana plummerae,Dicarinella asymetrica,Dicarinella concavata,Falsotruncana maslakovae,Gansserina gansseri,Globigerinelloides ultramicrus,Globotruncana aegyptiaca,Globotruncana arca,Globotruncana linneiana,Globotruncana ventricosa,Globotruncanella havanensis,Globotruncanita atlantica,Globotruncanita calcarata,Guembelitria cretacea,Planoglobulina acervulinoides,Pseudoguembelina costulata,Pseudoguembelina excolata,Pseudoguembelina hariaensis,Pseudoguembelina kempensis,Pseudoguembelina palpebra,Pseudotextularia elegans,Racemiguembelina fructicosa,Radotruncana calcarata,Rugoglobigerina hexacamerata,Rugoglobigerina rugosa,Ventilabrella eggeri,ADDITIONAL SPECIES,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name (short)
371-U1510A-1H-CC-PAL,0,10,4.98,5.08,PT1b,VG,D,0.9,,,R,,,,,,,,,,,,,,,F,,,,,F,,,R,,,F,,,,,,,C,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,C,,,,R,,,,R,,,,R,R,,R,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,1,H,CC,PAL,,
371-U1510A-2H-CC-PAL,0,10,14.58,14.68,PT1b,VG-G,D,0.95,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,F,,,,,,,C,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,F,,,,R,,,,,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,2,H,CC,PAL,,
371-U1510A-3H-CC-PAL,0,10,24.27,24.37,PT1a,G,D,0.98,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,3,H,CC,PAL,,
371-U1510A-4H-CC-PAL,0,10,33.41,33.51,PT1a-PL5,G,D,0.98,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,4,H,CC,PAL,,
371-U1510A-5H-CC-PAL,0,10,43.14,43.24,PL5,G,D,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,R,,,F,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,5,H,CC,PAL,,
371-U1510A-6H-CC-PAL,0,10,52.61,52.71,PL5,G,D,0.99,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,F,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,R,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,6,H,CC,PAL,,
371-U1510A-7H-CC-PAL,0,10,62.18,62.28,PL5,G,D,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,R,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,7,H,CC,PAL,,
371-U1510A-8H-CC-PAL-FORAM,0,10,70.19,70.29,M9b,VG,D,0.98,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,8,H,CC,PAL,,
371-U1510A-9H-CC-PAL-FORAM,0,10,81.04,81.14,,VG,D,0.95,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,P,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,9,H,CC,PAL,,
371-U1510A-10H-CC-PAL-FORAM,0,10,90.98,91.08,M6,VG,D,0.98,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1510,A,10,H,CC,PAL,,
