Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1459A-1F-CC-PAL-NANNO,0,10,0,0.1,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,356,U1459,A,1,F,CC,PAL,NANNO
356-U1459A-2X-CC-PAL-NANNO,0,2,0.57,0.59,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,A,2,X,CC,PAL,NANNO
356-U1459A-4X-CC-PAL-NANNO,0,7,13.81,13.88,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,A,4,X,CC,PAL,NANNO
356-U1459A-5X-CC-PAL-NANNO,0,10,22.4,22.5,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,,C,F,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,356,U1459,A,5,X,CC,PAL,NANNO
356-U1459A-6F-2-W 100/100-NANNO,0,0,33.68,33.68,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,A,6,F,2,W,100/100-NANNO
356-U1459A-6F-CC-PAL-NANNO,0,5,34.94,34.99,,,VG [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,F,,,,,,,,,,,R,,,,,,R,F,,,,P,P,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,356,U1459,A,6,F,CC,PAL,NANNO
356-U1459A-7F-CC-PAL-NANNO,0,5,35.31,35.36,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small geph. 2 microns (dominant),,,,356,U1459,A,7,F,CC,PAL,NANNO
356-U1459A-9F-CC-PAL-NANNO,0,2,46.46,46.48,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,,,,,,,,,,,,R,F,,,,,,F,,,,,,,,,R,,,,P,,,,R,,,,,,F,,,,,,small geph 2 micron,,,,356,U1459,A,9,F,CC,PAL,NANNO
356-U1459A-10F-CC-PAL-NANNO,0,2,51.42,51.44,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,A,10,F,CC,PAL,NANNO
356-U1459A-11F-CC-PAL-NANNO,0,2,53.91,53.93,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,A,11,F,CC,PAL,NANNO
356-U1459A-12F-CC-PAL-NANNO,0,5,60.66,60.71,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,R,,,,,,C,F,,,,,,,,,R,,,,R,,,,,R,,R,,,R,,,,,,mostly micrite,,,,356,U1459,A,12,F,CC,PAL,NANNO
356-U1459A-13F-CC-PAL-NANNO,0,5,65.49,65.54,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,C,C,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,"coccosphere, reticulofenestra (haqii?)",,,,356,U1459,A,13,F,CC,PAL,NANNO
