Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group abundance,General comment,Agglutinated Taxa,Adercotryma glomerata,Ammobaculites coprolithoformis,Ammobaculites expansus,Ammodiscus glabratus,Ammoscalaria pseudospiralis,Arenodosaria antipoda,Bathysiphon alba,Bathysiphon cylindrica,Bathysiphon sp.,Cribrostomoides arenaceous,Cribrostomoides crassimargo,Cyclammina incisa,Cyclammina rotundata,Eggerella bradyi nitens,Gaudryina reussi,Haplophragmoides sp.,Hyperammina cylindrica,Martinottiella communis,Miliammina arenacea,Protobotellina cylindrica,Psammosphaera fusca,Reophax cushmani,Reophax difflugiformis,Reophax  nodulosus,Reophax scorpiurus,Reophax sp.,Rhabdammina linearis,Rhizammina algaeformis,Siphotextularia awamoana,Textularia earlandi,Textularia plummerae,Trochammina antarctica,Trochammina multiloculata,Trochammina rossensis,Trochammina wiesneri,Trochammina sp.,Nodosariids,Astacolus crepidulus,Astacolus sp.,Dentalina advena,Fissurina agassizi,Fissurina annectens,Fissurina bisulcata,Fissurina danica,Fissurina fimbriata,Fissurina kerguelenensis,Fissurina laevigata,Fissurina lucida,Fissurina marginata,Fissurina sp.,Islandiella norcrossi,Islandiella teretis,Lagena laevigata,Lagena laevis,Lagena nebulosa,Lagena sequeziana,Lagena sp.,Lagena striata,Lagena sulcata,Lenticulina callifera,Lenticulina lenticula,Lenticulina sp.,Marginulina tumida,Marginulinopsis pedum,Margulina cocoaensis,Margulina tumida,Nodosaria calomorpha,Nodosariid taxa,Nodosaria sp.,Oolina apiculata,Oolina apiopleura,Oolina globosa,Oolina sp.,Parafissurina curta,Parafissurina lateralis,Parafissurina subcarinata,Parafissurina tasmanica,Pseudonodosaria symmetrica,Saracenaria kellumi,Saracenaria sp.,Vaginulina awamoana,Miliolids,Articulina sp.,Cruciloculina triangularis,Flintina droogeri,Miliolinella circularis,Miliolinella antarctica,Miliolinella subrotunda,Miliolids indeterminate,Planispirinoides bucculentus,Pyrgo fornasini,Pyrgo vespertilio,Pyrgo williamsoni,Pyrgo sp.,Pyrulinoides sp.,Quinqueloculina seminulina,Quinqueloculina triangularis,Quinqueloculina sp.,Sigmoilina obesa,Triloculina rotundata,Triloculina brongniartiana,Other calcareous taxa,Ammoelphidiella pustulosa,Ammoelphidiella uniforamina,Ammoelphidiella sp.,Angulogerina earlandi,Angulogerina fluens,Angulogerina aff. fueguina,Angulogerina pauperata,Anomalina bassensis,Anomalinoides fasciatus,Anomalinoides globulosus,Anomalinoides macraglabra,Anomalinoides pinguiglabra,Anomalinoides sp.,Astrononion antarcticus,Astrononion echolsi,Baggina brevior,Bolivina sp.,Bucella sp.,Bulimina aculeata,Bulimina sp.,Cancris laevinflatus,Cassidulina neocarinata,Cassidulinoides aequilatera,Cassidulinoides bradyi,Cassidulinoides braziliensis,Cassidulinoides chapmani,Cassidulinoides parkerianus,Cassidulinoides porrectus,Cibicides grossepunctatus,Cibicides lobatulus,Cibicides mckannai,Cibicides mediocris,Cibicides pseudoungerianus,Cibicides refulgens,Cibicides sp.,Cibicides subhaidingeri,Cibicides temperatus,Cibicides thiara,Cibicides vortex,Cribroelphidium sp.,Discorbis australis,Ehrenbergina glabra,Elphidium bartletti,Elphidium ex. gr. excavatum ,Elphidium magellanicum,Elphidium nitidum,Elphidium sp.,Epistominella exigua,Epistominella vitrea,Eponides bradyi,Eponides sp.,Eponides tumidulus,Eponides weddellensis,Euuvigerina paeniteries,Fursenkoina fusiformis,Fursenkoina schreibersiana,Gavelinopsis lobatulus,Globocassidulina biora,Globocassidulina crassa,Globocassidulina subglobosa,Globocassidulina sp.,Gyroidina neosoldani,Gyroidina obicularis,Gyroidina parva,Gyroidina zelandica,Hanzawaia sp.,Heronallenia kempii,Melonis affinis,Melonis barleeanus,Melonis graniferum,Nonion germanicus,Nonionella auris,Nonionella bradii,Nonionella iridea,Nonionella magnalingua,Notorotalia serrata,Oridorsalis tenera,Nuttalides umbonifera,Patellina antarctica,Planispirillina dimidiata,Pseudobolivina antarctica,Pullenia bulloides,Pullenia subcarinata,Robertina tasmanica,Robertina wiesneri,Rosalina globularis,Sphaeroidina bulloides,Stainforthina sp.,Uvigerina bifurcata,Uvigerina sp.,Planktics,Antarcticella antarctica,Chiloguembelina cubensis,Ciperoella ouachitaensis,Globoquadrina dehiscens,Globigerina bulloides,Globigerina falconensis,Globigerina megastoma,Globigerinita glutinata,Globoconella inflata,Globorotalia sp.,Globoturborotalita connecta,Globoturborotalita woodi,Globorotaloides suteri,Neogloboquadrina incompta,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Paragloborotalia incognita,Paragloborotalia semivera,Paragloborotalia siakensis,Tenuitella gemma,Turborotalita quinqueloba,COMMENTS,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
374-U1521A-1R-CC-PAL-FORAM,0,5,4.23,4.28,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abundant quartz and lithic grains. F glauconite, C spicules (some glauconized), F rads.",,,,374,U1521,A,1,R,CC,PAL,FORAM
374-U1521A-2R-CC-PAL-FORAM,0,5,8.51,8.56,,M,R,13 specimens; most broken and/or Fe stained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not as sandy as 1R-CC; C dark vesicular glass, R glauconite; R spicules, pyritized rads, bryozoan.",,,,374,U1521,A,2,R,CC,PAL,FORAM
374-U1521A-3R-CC-PAL-FORAM,0,7,19.36,19.43,,M,R,16 specimens; most broken and/or Fe stained,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,P,,,,,,,,,,,,,,P,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,"C dark vesicular glass; R diatoms, spicules, pyrite, pyratized diatoms, shell frag.",,,,374,U1521,A,3,R,CC,PAL,FORAM
374-U1521A-4R-CC-PAL-FORAM,0,5,31.17,31.22,,MP,F,"28 specimens; most dwarfed, many broken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Change in lithology; very little residue incl. dark vesicular glass. Pyrite, pyritized diatoms, pyrite burrows; C diatoms, F rads, R spicules.",,,,374,U1521,A,4,R,CC,PAL,FORAM
374-U1521A-5R-CC-PAL-FORAM,0,5,40.15,40.2,,,,No forams observed; sample needs to be reprocessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark vesicular glass present.,,,,374,U1521,A,5,R,CC,PAL,FORAM
374-U1521A-8R-CC-PAL-FORAM,0,5,67.75,67.8,,M,R,18 specimens; most broken and/or Fe stained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,,,P,,,R,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abundant quartz, lithics, dark vesicular glass, coal; R spicules.",,,,374,U1521,A,8,R,CC,PAL,FORAM
374-U1521A-9R-CC-PAL-FORAM,0,5,77.69,77.74,,M,F,many specimens; mix of in situ & reworked?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,,,,,,,P,,,F,,,,,,,,,R,,R,,P,P,,,,,,,,?,,,,,P,,F,,,P,,,,,,,,,,,,,,,,,,,,,"Abundant quartz, lithics, coal, vesicular glass; multiple shell frags, echinoderm frags, C diatoms, F spicules, R ostracods",,,,374,U1521,A,9,R,CC,PAL,FORAM
374-U1521A-10R-CC-PAL-FORAM,0,5,85.67,85.72,,M,C,many specimens; mostly in situ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,R,,,R,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,"Very little residue; very little quartz. Echinoderm frags, ostracods, diatoms.",,,,374,U1521,A,10,R,CC,PAL,FORAM
374-U1521A-14R-CC-PAL-FORAM,0,7,122.86,122.93,,G,F,22 specimens; in situ MG to G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muddy diatom ooze; D diatoms.,,,,374,U1521,A,14,R,CC,PAL,FORAM
374-U1521A-20R-4-PAL,0,3,183.81,183.84,,M,P,2 specimens; in situ MP to MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,20,R,4,PAL,
