Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens ,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data
371-U1508C-2R-CC-PAL-NANNO,0,10,279.73,279.83,NN4,M/P,C,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,F,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-3R-CC-PAL-NANNO,0,10,285.79,285.89,NN4,M,A,,,,,,,R,,,3,R,,,,,,,,,,,,,,,,,,,,,C,1,,,,,,C,,,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F,F,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-4R-CC-PAL-NANNO,0,10,288.32,288.42,NN4,M,A,,,,,,,R,,2,R,3,,,,,,,,,,,,,,,,,,,1,,F,2,,,,,,C,,2,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,F,F,,,,,,,,,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-6R-CC-PAL-NANNO,0,10,316.13,316.23,NN4,M,A,"B S. heteromorphus, T D. bisectus",,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,R,C,1,,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-7R-2-W 57/57-NANNO,0,0,322.69,322.69,NN1,M,A,,,,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,2,1,C,R,,,,,1,C,3,R,,,1,,,,,F,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,F,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-7R-CC-PAL-NANNO,0,10,324.3,324.4,NN1,M,A,T. D. saipanensis T R. reticulata T &co,,,,,,R,,,,1,,,,,,,,,,,,,,,,,,,2,R,C,4,,,,,1,C,,R,,,3,,,,,F,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,R,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-9R-1-W 70/70-NANNO,0,0,450.7,450.7,NP19-20,M,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,2,VR,C,,,,,,,,C,C,,,F,,,,,,,,,,,,1,,1,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,R,,,1,,,3,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,,,,1,,,,1,,1,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-9R-2-W 65/65-NANNO,0,0,452.07,452.07,NP19-20,M,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,2,VR,C,,,,,,,,C,C,,,F,,,,,,,,,,,,2,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-9R-CC-PAL-NANNO,0,10,453.6,453.7,NP19-20,M/P,A,,,,,,,,,,,R,,,,,,,,,2,3,,R/F,,,,,R,,R,VR,C,,,,,,,,C,C,,,F,,,,,,,,,,,,1,,1,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,3,,,,,1,,,,,,,,,,F,F,,,,,,,,,,,,2,,F,,,,VR,,F,,1,1,,,,1,,,,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371-U1508C-10R-CC-PAL-NANNO,0,10,460.82,460.92,NP19-20,P,A,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,VR,,R,VR,C,,,,,,,,C,F,,,R,,,,,,,,,,,,2,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,,1,,,2,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,F,,,,1,,F,,,,1,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
