Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1502A-2R-CC-PAL(27-32)-FORAM,0,5,376.76,376.81,"T Globoturborotalita nepenthes (Gradstein et al., 2012)",T,,4.37,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,,4.37,,,5.72,,M,A,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,P,P,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,CC,PAL(27-32),FORAM
368-U1502A-3R-CC-PAL(6-11)-FORAM,0,5,385.4,385.45,,,,,,,,,,,,,,M,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,3,R,CC,PAL(6-11),FORAM
368-U1502A-4R-CC-PAL(0-5)-FORAM,0,5,394.62,394.67,,,,,,,,,,,,,,M,A,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,4,R,CC,PAL(0-5),FORAM
368-U1502A-5R-CC-PAL-FORAM,0,5,403.8,403.85,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,368,U1502,A,5,R,CC,PAL,FORAM
368-U1502A-6R-CC-PAL(0-5)-FORAM,0,5,413.99,414.04,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,368,U1502,A,6,R,CC,PAL(0-5),FORAM
368-U1502A-7R-CC-PAL(0-5)-FORAM,0,5,423,423.05,,,,,,,,,,,,,,M,A,90,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,P,,,P,R,,P,,P,,,P,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,P,,,,,,,,,,,,,,P,,,,P,R,,,,,,,,,,,,,,,,,,,,368,U1502,A,7,R,CC,PAL(0-5),FORAM
368-U1502A-8R-CC-PAL(9-14)-FORAM,0,5,432.69,432.74,,,,,,,,,,,,,,M,A,90,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,368,U1502,A,8,R,CC,PAL(9-14),FORAM
368-U1502A-9R-CC-PAL(25-30)-FORAM,0,5,450.17,450.22,"B Globorotalia margaritae (Gradstein et al., 2012)",B,,6.08,M14,"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,,5.72,,,6.14,,M,A,90,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,9,R,CC,PAL(25-30),FORAM
368-U1502A-10R-CC-PAL(19-24)-FORAM,0,5,458.76,458.81,,,,,,,,,,,,,,M,C,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,10,R,CC,PAL(19-24),FORAM
368-U1502A-11R-CC-PAL(14-19)-FORAM,0,5,470.5,470.55,,,,,,,,,,,,,,M,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,11,R,CC,PAL(14-19),FORAM
368-U1502A-12R-CC-PAL(15-20)-FORAM,0,5,480.18,480.23,,,,,,,,,,,,,,P,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,12,R,CC,PAL(15-20),FORAM
368-U1502A-13R-2-W 100/102-FORAM,0,2,483.11,483.13,,,,,,,,,,,,,,M,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,13,R,2,W,100/102-FORAM
368-U1502A-13R-2-W 89/91-FORAM,0,2,483,483.02,,,,,,,,,,,,,,M,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,368,U1502,A,13,R,2,W,89/91-FORAM
368-U1502A-13R-CC-PAL(0-5)-FORAM,0,5,486.82,486.87,,,,,,,,,,,,,,P,P,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,13,R,CC,PAL(0-5),FORAM
368-U1502A-14R-CC-PAL(7-12)-FORAM,0,5,497.21,497.26,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,14,R,CC,PAL(7-12),FORAM
368-U1502A-15R-CC-PAL(11-16)-FORAM,0,5,500.65,500.7,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,15,R,CC,PAL(11-16),FORAM
