Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1501C-1H-CC-PAL,0,5,9.19,9.24,Globigerinoides ruber (pink),T,,0.12,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",,,0.0,,,0.61,,G [P32],A [A87],90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],,,,R [A88],,,,,,R [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,A [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,A [A88],,,,R [A88],,,,,F [A88],,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,1,H,CC,P
368-U1501C-2H-CC-PAL(18-23),0,5,17.93,17.98,,,,,,,,,,,,,,M [P32],A [A87],40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,P [A88],R [A88],,,,,,,,P [A88],F [A88],R [A88],,,,,,,,,,,,,,R [A88],,,,,,,,R [A88],,,,,F [A88],,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,R [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,2,H,CC,P
368-U1501C-3H-CC-PAL(15-20),0,5,28.51,28.56,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,,,,,,,A [A88],R [A88],,,,,,,,,,,,,,P [A88],,,,,,,P [A88],F [A88],,,,,R [A88],,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,A [A88],,,,R [A88],,,,,R [A88],,,,,,,,,,,,,F [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,368,U1501,C,3,H,CC,P
368-U1501C-4H-CC-PAL(15-20),0,5,38.03,38.08,Globigerinoides fistulosus,T,,1.88,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,,0.61,,,1.88,,M [P32],A [A87],50,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,D [A88],,,,,,,,,,,,P [A88],P [A88],,,,,,,,,,,,,,P [A88],,,,,,,,F [A88],,,,,A [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,F [A88],,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,4,H,CC,P
368-U1501C-5H-CC-PAL(13-18),0,5,46.9,46.95,Globorotalia multicamerata,T,,2.18,PL6 [G12],"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,,1.88,,,2.39,,G [P32],A [A87],90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,P [A88],,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,R [A88],,,,P [A88],,,,,D [A88],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,5,H,CC,P
368-U1501C-6H-CC-PAL(15-20),0,5,57.02,57.07,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],F [A88],R [A88],,,,A [A88],A [A88],,,,,,,,,,,,,,,R [A88],,,,,,,R [A88],,,,,F [A88],,,,,F [A88],,,,,,,,,P [A88],,R [A88],,R [A88],,,,,,,,,,,,,,R [A88],,,,R [A88],,,,,F [A88],,,,,,,,,,,,,F [A88],,,,F [A88],,,,,,,,,,,,,,,,,,,,,,368,U1501,C,6,H,CC,P
368-U1501C-7H-CC-PAL(11-16),0,5,66.17,66.22,Dentoglobigerina altispira,T,,3.1,PL5 (Indo-Pacific) [G12],"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,,3.16,,,3.47,,G [P32],A [A87],90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,P [A88],P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,7,H,CC,P
368-U1501C-8H-CC-PAL(23-28),0,5,75.76,75.81,Globigerina nepenthes,T,,4.2,PL2 [G12],"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,,3.85,,,4.37,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,A [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,8,H,CC,P
368-U1501C-9H-CC-PAL(19-24),0,5,85.45,85.5,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,P [A88],,,,R [A88],R [A88],,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,R [A88],,,,R [A88],,,,,F [A88],,,,,,,,,,,,,R [A88],,,,R [A88],,A [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,9,H,CC,P
368-U1501C-10H-CC-PAL(21-26),0,5,94.86,94.91,Globoquadrina dehiscens,T,,5.92,M14 [G12],"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,,5.72,,,6.14,,G [P32],A [A87],90,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,P [A88],,,,,F [A88],,,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,368,U1501,C,10,H,CC,P
