Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1454B-1H-CC-PAL-FORAM,0,5,7.05,7.1,,,,,,,,,C [A101],G [P38],L,99,1,,,,R,,,,,R,,R,,F,,,,,,,,F,F,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,F,,,,C,,R,,,,,R,,,R,R,,,,,,,,,,354,U1454,B,1,H,CC,PAL
354-U1454B-2H-CC-PAL-FORAM,0,5,15.98,16.03,,,,,,,,,F [A101],M [P38],M,43,2,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,C,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,2,H,CC,PAL
354-U1454B-3H-CC-PAL-FORAM,0,5,25.4,25.45,,,,,,,,,C [A101],P [P38],S,98,3,,,,,,,,,F,,R,,,R,,,,,,,F,F,,,,R,,,,,,,,,,,,R,,,,,,,,F,R,,,,R,,,,C,,F,,,,,R,,,,,,,,,,,,,,354,U1454,B,3,H,CC,PAL
354-U1454B-4H-CC-PAL-FORAM,0,4,31.46,31.5,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,4,H,CC,PAL
354-U1454B-5F-CC-PAL-FORAM,0,3,34.51,34.54,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,5,F,CC,PAL
354-U1454B-6F-CC-PAL-FORAM,0,5,37.93,37.98,,,,,,,,,B [A101],,,,,,,Bivalve shell fragments present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,6,F,CC,PAL
354-U1454B-7F-CC-PAL-FORAM,0,5,43.38,43.43,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,7,F,CC,PAL
354-U1454B-8F-CC-PAL,0,7,48.49,48.56,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,8,F,CC,PAL
354-U1454B-9F-CC-PAL,0,5,53.13,53.18,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,9,F,CC,PAL
354-U1454B-10F-CC-PAL-FORAM,0,5,57.42,57.47,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,10,F,CC,PAL
354-U1454B-11F-CC-PAL-FORAM-FORAM(>63),0,5,62.8,62.85,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,11,F,CC,PAL
354-U1454B-12F-CC-PAL-FORAM-FORAM(>63),0,5,66.48,66.53,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,12,F,CC,PAL
354-U1454B-14F-CC-PAL-FORAM,0,5,75.91,75.96,,,,,,,,,VR [101],,,50,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,14,F,CC,PAL
354-U1454B-16F-CC-PAL,0,8,85.73,85.81,,,,,,,,,R [A101],G [P38],M,100,2,,,,,,,,,,,,,R,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,16,F,CC,PAL
354-U1454B-18F-CC-PAL-FORAM,0,2,92.65,92.67,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,18,F,CC,PAL
354-U1454B-19F-CC-PAL-FORAM,0,5,98.01,98.06,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,19,F,CC,PAL
354-U1454B-20F-CC-PAL-FORAM,0,5,104.97,105.02,,,,,,,,,VR [101],M [P38],M,78,2,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,20,F,CC,PAL
354-U1454B-21F-CC-PAL-FORAM,0,4,108.87,108.91,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,21,F,CC,PAL
