Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample
361,U1476,A,1,1-1,H,1,W,70/72-FORAM,0,2,0.7,0.72,,,,A [A103],,,,,P,R,P,P,,,,,,P,P,,,,P,,R,,,,,R,,,,,,,P,,,R,F,,,,,R,,,R,,,,P,R,,,,,,,,,,361-U1476A-1H-1-W 70/72-FORAM
361,U1476,A,1,1-2,H,2,W,70/72-FORAM,0,2,2.2,2.22,,,,A [A103],,,,,P,R,P,P,,,,,,P,P,,,,R,,,,,,,P,,,,,,,P,,,R,R,,,,,R,,,R,,,,P,R,,,,,,,,,,361-U1476A-1H-2-W 70/72-FORAM
361,U1476,A,1,1-3,H,3,W,80/82-FORAM,0,2,3.8,3.82,,,,A [A103],,,,,P,R,P,P,,,,,F,P,P,,,,R,,,,,,,P,,,,,,,P,,,R,R,,,,,R,,,R,,,,P,R,,,,,,,,,,361-U1476A-1H-3-W 80/82-FORAM
361,U1476,A,1,1-4,H,4,FORAM,,0,2,5.2,5.22,,,,A [A103],,,,,P,R,P,P,,,,,R,P,P,,,,R,,,,,,,P,,,,,,,P,,,A,F,,,,,R,,,F,,,,P,F,,,,,,,,,,361-U1476A-1H-4-FORAM
361,U1476,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.67,5.72,,,,A [A103],,,,,R,R,F,A,F,,,,R,A,A,,,,F,,A,,,,,P,,,,,,,R,,,A,A,,,,,,,,F,P,,,A,F,,R,,,,,,,,361-U1476A-1H-CC-PAL-FORAM
361,U1476,A,2,2-1,H,1,W,70/72-FORAM,0,2,6.4,6.42,,,,A [A103],,,,,P,,P,P,,,,,R,P,P,,,,R,,R,,,,,P,,,,,,,R,,,,F,,,,,,,,F,,,,P,R,,,,,,,,,,361-U1476A-2H-1-W 70/72-FORAM
361,U1476,A,2,2-2,H,2,W,70/72-FORAM,0,2,7.9,7.92,,,,A [A103],,,,,P,,P,P,P,,,,R,P,P,,,,P,,R,,,,,P,,,,,,,P,,,R,F,,,,,R,,,F,,,,P,F,,R,,,,,,,,361-U1476A-2H-2-W 70/72-FORAM
361,U1476,A,2,2-3,H,3,W,70/72-FORAM,0,2,9.4,9.42,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,,,,F,,,,,,,P,,,F,F,,,,,,,,R,,,,P,R,,R,,,,,,,,361-U1476A-2H-3-W 70/72-FORAM
361,U1476,A,2,2-4,H,4,W,70/72-FORAM,0,2,10.9,10.92,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,P,,,F,F,,,,,,,,F,,,,P,F,,R,,,,,,,,361-U1476A-2H-4-W 70/72-FORAM
361,U1476,A,2,2-5,H,5,W,70/72-FORAM,0,2,12.4,12.42,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,P,,,R,A,,,,,R,,,A,,,,P,F,,R,,,,,,,,361-U1476A-2H-5-W 70/72-FORAM
361,U1476,A,2,2-6,H,6,W,70/72-FORAM,0,2,13.9,13.92,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,P,,,R,F,,,,,R,,,F,,,,P,F,,R,,,,,,,,361-U1476A-2H-6-W 70/72-FORAM
361,U1476,A,2,2-CC,H,CC,PAL,FORAM,0,5,15.39,15.44,,,,A [A103],P,,,R,,,F,A,R,,,,,A,A,,,,F,,,,R,,,P,,,,,,,R,,,F,F,,,,,F,,,F,P,,,A,F,,R,,,,,,,,361-U1476A-2H-CC-PAL-FORAM
361,U1476,A,3,3-1,H,1,W,70/72-FORAM,0,2,15.9,15.92,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,P,,R,R,F,,,,,,,,F,,,,P,P,,P,,,,,,,,361-U1476A-3H-1-W 70/72-FORAM
361,U1476,A,3,3-2,H,2,W,60/62-FORAM,0,2,17.3,17.32,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,P,,R,R,R,,,,,,,,F,,,,P,R,,P,,,,,,,,361-U1476A-3H-2-W 60/62-FORAM
361,U1476,A,3,3-3,H,3,W,70/72-FORAM,0,2,18.9,18.92,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,P,,P,,R,,,F,,,,,,,,,R,R,R,,,,,R,,,F,,,,P,P,,P,,,,,,,,361-U1476A-3H-3-W 70/72-FORAM
361,U1476,A,3,3-4,H,4,W,70/72-FORAM,0,2,20.4,20.42,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,R,,R,,R,,,P,,,,,,,P,,R,R,F,,,,,,,,F,,,,P,P,,P,,,,,,,,361-U1476A-3H-4-W 70/72-FORAM
361,U1476,A,3,3-5,H,5,W,60/62-FORAM,0,2,21.8,21.82,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,,,,,,,,P,,,,,,,P,,R,R,R,,,,,R,,,F,,,,P,P,,P,,,,,,,,361-U1476A-3H-5-W 60/62-FORAM
361,U1476,A,3,3-6,H,6,W,70/72-FORAM,0,2,23.4,23.42,,,,A [A103],,,,,P,,P,P,P,,,,,P,P,,,,,,,,,,,P,,,,,,,P,,R,R,F,,,,,R,,,P,,,,P,P,,P,,,,,,,,361-U1476A-3H-6-W 70/72-FORAM
361,U1476,A,3,3-CC,H,CC,PAL,FORAM,0,5,24.96,25.01,,,,A [A103],,,,R,F,,F,F,R,,P,,,A,A,,,,,,,,,,,P,,,,,,,R,,F,R,F,,,,,R,,,F,,R,,A,F,,R,,,,,,,,361-U1476A-3H-CC-PAL-FORAM
361,U1476,A,4,4-1,H,1,W,70/72-FORAM,0,2,25.4,25.42,,,,A [A103],,,,,P,,P,P,P,,P,,,P,P,,,,,,,,,,,P,,,,,,,P,,R,R,R,,,,,R,,,F,,,,P,P,,P,,,,,,,,361-U1476A-4H-1-W 70/72-FORAM
