Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group abundance,General comment,Agglutinated Taxa,Adercotryma glomerata,Ammobaculites coprolithoformis,Ammobaculites expansus,Ammodiscus glabratus,Ammoscalaria pseudospiralis,Arenodosaria antipoda,Bathysiphon alba,Bathysiphon cylindrica,Bathysiphon sp.,Cribrostomoides arenaceous,Cribrostomoides crassimargo,Cyclammina incisa,Cyclammina rotundata,Eggerella bradyi nitens,Gaudryina reussi,Haplophragmoides sp.,Hyperammina cylindrica,Martinottiella communis,Miliammina arenacea,Protobotellina cylindrica,Psammosphaera fusca,Reophax cushmani,Reophax difflugiformis,Reophax  nodulosus,Reophax scorpiurus,Reophax sp.,Rhabdammina linearis,Rhizammina algaeformis,Siphotextularia awamoana,Textularia earlandi,Textularia plummerae,Trochammina antarctica,Trochammina multiloculata,Trochammina rossensis,Trochammina wiesneri,Trochammina sp.,Nodosariids,Astacolus crepidulus,Astacolus sp.,Dentalina advena,Fissurina agassizi,Fissurina annectens,Fissurina bisulcata,Fissurina danica,Fissurina fimbriata,Fissurina kerguelenensis,Fissurina laevigata,Fissurina lucida,Fissurina marginata,Fissurina sp.,Islandiella norcrossi,Islandiella teretis,Lagena laevigata,Lagena laevis,Lagena nebulosa,Lagena sequeziana,Lagena sp.,Lagena striata,Lagena sulcata,Lenticulina callifera,Lenticulina lenticula,Lenticulina sp.,Marginulina tumida,Marginulinopsis pedum,Margulina cocoaensis,Margulina tumida,Nodosaria calomorpha,Nodosariid taxa,Nodosaria sp.,Oolina apiculata,Oolina apiopleura,Oolina globosa,Oolina sp.,Parafissurina curta,Parafissurina lateralis,Parafissurina subcarinata,Parafissurina tasmanica,Pseudonodosaria symmetrica,Saracenaria kellumi,Saracenaria sp.,Vaginulina awamoana,Miliolids,Articulina sp.,Cruciloculina triangularis,Flintina droogeri,Miliolinella circularis,Miliolinella antarctica,Miliolinella subrotunda,Miliolids indeterminate,Planispirinoides bucculentus,Pyrgo fornasini,Pyrgo vespertilio,Pyrgo williamsoni,Pyrgo sp.,Pyrulinoides sp.,Quinqueloculina seminulina,Quinqueloculina triangularis,Quinqueloculina sp.,Sigmoilina obesa,Triloculina rotundata,Triloculina brongniartiana,Other calcareous taxa,Ammoelphidiella pustulosa,Ammoelphidiella uniforamina,Ammoelphidiella sp.,Angulogerina earlandi,Angulogerina fluens,Angulogerina aff. fueguina,Angulogerina pauperata,Anomalina bassensis,Anomalinoides fasciatus,Anomalinoides globulosus,Anomalinoides macraglabra,Anomalinoides pinguiglabra,Anomalinoides sp.,Astrononion antarcticus,Astrononion echolsi,Baggina brevior,Bolivina sp.,Bucella sp.,Bulimina aculeata,Bulimina sp.,Cancris laevinflatus,Cassidulina neocarinata,Cassidulinoides aequilatera,Cassidulinoides bradyi,Cassidulinoides braziliensis,Cassidulinoides chapmani,Cassidulinoides parkerianus,Cassidulinoides porrectus,Cibicides grossepunctatus,Cibicides lobatulus,Cibicides mckannai,Cibicides mediocris,Cibicides pseudoungerianus,Cibicides refulgens,Cibicides sp.,Cibicides subhaidingeri,Cibicides temperatus,Cibicides thiara,Cibicides vortex,Cribroelphidium sp.,Discorbis australis,Ehrenbergina glabra,Elphidium bartletti,Elphidium ex. gr. excavatum ,Elphidium magellanicum,Elphidium nitidum,Elphidium sp.,Epistominella exigua,Epistominella vitrea,Eponides bradyi,Eponides sp.,Eponides tumidulus,Eponides weddellensis,Euuvigerina paeniteries,Fursenkoina fusiformis,Fursenkoina schreibersiana,Gavelinopsis lobatulus,Globocassidulina biora,Globocassidulina crassa,Globocassidulina subglobosa,Globocassidulina sp.,Gyroidina neosoldani,Gyroidina obicularis,Gyroidina parva,Gyroidina zelandica,Hanzawaia sp.,Heronallenia kempii,Melonis affinis,Melonis barleeanus,Melonis graniferum,Nonion germanicus,Nonionella auris,Nonionella bradii,Nonionella iridea,Nonionella magnalingua,Notorotalia serrata,Oridorsalis tenera,Nuttalides umbonifera,Patellina antarctica,Planispirillina dimidiata,Pseudobolivina antarctica,Pullenia bulloides,Pullenia subcarinata,Robertina tasmanica,Robertina wiesneri,Rosalina globularis,Sphaeroidina bulloides,Stainforthina sp.,Uvigerina bifurcata,Uvigerina sp.,Planktics,Antarcticella antarctica,Chiloguembelina cubensis,Ciperoella ouachitaensis,Globoquadrina dehiscens,Globigerina bulloides,Globigerina falconensis,Globigerina megastoma,Globigerinita glutinata,Globoconella inflata,Globorotalia sp.,Globoturborotalita connecta,Globoturborotalita woodi,Globorotaloides suteri,Neogloboquadrina incompta,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Paragloborotalia incognita,Paragloborotalia semivera,Paragloborotalia siakensis,Tenuitella gemma,Turborotalita quinqueloba,COMMENTS,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1524A-1H-CC-PAL-FORAM,0,5,3.97,4.02,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quartz, K-spar, basalt (some vesicular), granite, schist, R glauconite. A rads, F spicules.",,,,374,U1524,A,1,H,CC,P
374-U1524A-2H-CC-PAL-FORAM,0,5,13.77,13.82,,MG,F,P>>B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,"Clay-rich sample; very little sand fraction. VR rads, VR glauconite.",,,,374,U1524,A,2,H,CC,P
374-U1524A-3H-CC-PAL-FORAM,0,5,23.36,23.41,,MG,P,no benthics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,"Sandy sample; quartz, K-spar, basalt, schist, granite, biotite, chert, R glauconite. R spicules, R rads.",,,,374,U1524,A,3,H,CC,P
374-U1524A-4H-CC-PAL-FORAM,0,5,29.41,29.46,,M,R,"P>>B; MP-M; signs of dissolution, transport?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,"Clastics as above. R diatoms, R rads.",,,,374,U1524,A,4,H,CC,P
374-U1524A-6H-CC-PAL-FORAM,0,7,51.98,52.05,,MP,F,no benthics; planktics showing broken chambers & dissln etching.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,374,U1524,A,6,H,CC,P
374-U1524A-7H-CC-PAL-FORAM,0,7,61.28,61.35,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay; only sniff of residue >63 microns. VR rads.,,,,374,U1524,A,7,H,CC,P
374-U1524A-12H-CC-PAL-FORAM,0,6,109.06,109.12,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay-rich sample; very little sand residue. Quartz, K-spar. VR spicules.",,,,374,U1524,A,12,H,CC,P
374-U1524A-14H-CC-PAL-FORAM,0,6,127.47,127.53,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quartz, basalt (dolerite?), biotite, muscovite, schist, chert, R glauconite. R spicules, R diatoms.",,,,374,U1524,A,14,H,CC,P
374-U1524A-15H-CC-PAL-FORAM,0,5,137.63,137.68,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white lamina in clay; fine quartz, K-spar, glauconite. VR rads, VR spicules.",,,,374,U1524,A,15,H,CC,P
374-U1524A-16H-CC-PAL-FORAM,0,3,146.59,146.62,,,,No forams observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quartz, basalt, chert, R glauconite, R pyrite. R spicules, R rads.",,,,374,U1524,A,16,H,CC,P
