Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1520D-1H-1-PAL_MUDLINE-FORAM,0,0,0.0,0.0,VG-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,1,H,1,P
375-U1520D-1H-CC-PAL-FORAM,0,5,5.88,5.93,VG-G,,,,,,,,,,,X,,,,,,X,,,,,,,375,U1520,D,1,H,CC,P
375-U1520D-2H-CC-PAL-FORAM,0,10,15.7,15.8,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,2,H,CC,P
375-U1520D-4H-CC-PAL-FORAM,0,10,34.87,34.97,G,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,4,H,CC,P
375-U1520D-6H-CC-PAL-FORAM,0,10,53.21,53.31,VG,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,6,H,CC,P
375-U1520D-8H-CC-PAL-FORAM,0,10,70.82,70.92,G-P,,,,,,,,,X,X,,,,X,,X,X,,,,,,,375,U1520,D,8,H,CC,P
375-U1520D-11H-CC-PAL(7-17)-FORAM,0,10,101.87,101.97,VG-G,,,,,,,,,,,,,,X,,,,,,,,,,375,U1520,D,11,H,CC,P
375-U1520D-13H-CC-PAL-FORAM,0,10,120.89,120.99,G,,,,,,,X,,,,,,,,,,X,,,,,,,375,U1520,D,13,H,CC,P
375-U1520D-15H-CC-PAL-FORAM,0,10,139.34,139.44,G,,,,,,,X,,,,,,,,,,,,,,,,,375,U1520,D,15,H,CC,P
375-U1520D-17H-CC-PAL-FORAM,0,10,156.18,156.28,VG-G,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,17,H,CC,P
375-U1520D-19F-CC-PAL-FORAM,0,10,169.36,169.46,G,,,,,,,,,,,,,,,,X,,,,,,,,375,U1520,D,19,F,CC,P
