Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],No. specimens/tray,Preservation,Comment,Argilloecia spp.,Bairdoppilata spp.,Blind trachyleberidids,Bradleya spp.,Cletocythereis rastromarginata,Cytheralison sp. ,Cytherella sp.,Cytheropteron spp.,Dutoitella crassinodosa ,Dutoitella suhmi,Glencoeleberis? sp.,Krithe spp.,Legitimocythere acanthoderma,Oertliella? sp.,Philoneptunus paragravezia,Philoneptunus cf. tricolonos,Poseidonamicus spp.,Pseudobosquetina mucronalata,Sighted trachyleberidids,Xestolebris spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
371-U1507A-1H-CC-PAL-OSTRA,0,5,6.17,6.22,2.0,4,,,,,1,,,,,,,,2,,,,,2,,,,,,,371,U1507,A,1,H,CC,PAL,,,
371-U1507A-2H-CC-PAL-OSTRA,0,10,15.98,16.08,3.4,4,,,,,,,,,,,,,2,,,,,,,,,,,,371,U1507,A,2,H,CC,PAL,,,
371-U1507A-3H-CC-PAL-OSTRA,0,10,25.1,25.2,4.0,4,,,,,1,,,,1,,,,1,,,,,2,,,,,,,371,U1507,A,3,H,CC,PAL,,,
371-U1507A-4H-CC-PAL-OSTRA,0,10,34.96,35.06,2.8,4,,,,,,,,,,,,,2,,,,,1,,,,,,,371,U1507,A,4,H,CC,PAL,,,
371-U1507A-5H-CC-PAL-OSTRA,0,10,44.3,44.4,4.8,4,,,,,1,,,,2,,,,3,,,,,1,,,,,,,371,U1507,A,5,H,CC,PAL,,,
371-U1507A-6H-CC-PAL-OSTRA,0,10,53.99,54.09,2.8,4,,,,,,,,,,,,,,,,,,3,,,,,,,371,U1507,A,6,H,CC,PAL,,,
371-U1507A-7H-CC-PAL-OSTRA,0,10,63.37,63.47,0.0,,small sample size,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,A,7,H,CC,PAL,,,
371-U1507A-8H-CC-PAL-OSTRA,0,10,72.94,73.04,3.0,4,,,,,1,,,,2,,,,3,,,,,1,,,,,,,371,U1507,A,8,H,CC,PAL,,,
371-U1507A-9H-CC-PAL-OSTRA,0,10,82.44,82.54,2.8,4,,,,,1,,,,,,,,3,,,,,,,,,,,,371,U1507,A,9,H,CC,PAL,,,
371-U1507A-10H-CC-PAL-OSTRA,0,10,92.03,92.13,2.6,4,,,,,1,,,,,,,,1,,,,,,,,,,,,371,U1507,A,10,H,CC,PAL,,,
371-U1507A-11H-CC-PAL-OSTRA,0,10,101.48,101.58,0.8,4,,,,,1,,,,,,,,,,,,,1,,,,,,,371,U1507,A,11,H,CC,PAL,,,
371-U1507A-12H-CC-PAL-OSTRA,0,5,111.1,111.15,3.6,4,,,,,1,,,1,,,,,3,,,,,1,,,,,,,371,U1507,A,12,H,CC,PAL,,,
371-U1507A-13H-CC-PAL-OSTRA,0,5,120.69,120.74,3.8,4,,1,,,,,,1,2,,,,3,,,,,2,,,,,,,371,U1507,A,13,H,CC,PAL,,,
