Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
367-U1499B-2R-1-W 128/128-NANNO,0,0,656.28,656.28,,G,A,,,,,,,,,C,,C,,F,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,F,C,,,R,,,,,C,,,,,,,C,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,W,
367-U1499B-2R-3-W 60/60-NANNO,0,0,658.31,658.31,,M,A,,,,,,,,,A,,C,,F,F,,,,,,,C,,,,,,,,,,C,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,3,W,
367-U1499B-2R-CC-PAL-NANNO,0,5,659.76,659.81,,M,A,,,,,,,,,A,,F,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,F,,,,,,R,,F,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,CC,PAL,
367-U1499B-3R-1-W 49/49-NANNO,0,0,665.19,665.19,,M,C,,,,,,,,,C,,F,,C,F,,,,,,,F,,,,,,,,,,C,,,,,,,,,,R,C,,,,,,,,C,,,,,,,F,,,,,,,,,R,,C,,,,,,,,,,,R,,,,,,,,,367,U1499,B,3,R,1,W,
367-U1499B-3R-2-W 71/71-NANNO,0,0,666.74,666.74,,M,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,3,R,2,W,
367-U1499B-3R-3-W 25/25-NANNO,0,0,667.74,667.74,,M,C,,,,,,,,,C,,C,F,,F,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,,,R,,,,F,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,3,R,3,W,
367-U1499B-3R-CC-PAL-NANNO,0,5,668.81,668.86,,M,C,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,367,U1499,B,3,R,CC,PAL,
367-U1499B-4R-CC-PAL-NANNO,0,5,674.5,674.55,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,4,R,CC,PAL,
367-U1499B-4R-CC-W 2/2-NANNO,0,0,674.42,674.42,,M,F,,,,,,,,,C,,C,F,R,R,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,R,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,4,R,CC,W,
367-U1499B-5R-CC-PAL-NANNO,0,5,684.1,684.15,,M,C,,,,,,,,,C,,C,R,F,,,,,,,,F,,,,,,,,,R,C,,,,,,,,,,,R,,C,,,,,,F,,,,,,F,R,,,,,,,,,,,F,,,,F,,,,,,,R,,,,,,,,,367,U1499,B,5,R,CC,PAL,
367-U1499B-6R-CC-PAL-NANNO,0,2,693.8,693.82,,P,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost Barren,,,,367,U1499,B,6,R,CC,PAL,
367-U1499B-7R-CC-PAL-NANNO,0,2,703.5,703.52,,P,R,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost Barren,,,,367,U1499,B,7,R,CC,PAL,
