Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-2R-2-W 20/21-PAL-FORAM >150,0,1,315.67,315.68,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,P,,,,,359,U1466,B,2,R,2,W
359-U1466B-7R-CC-PAL-FORAM >150,0,1,363.73,363.74,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,7,R,CC,P
359-U1466B-8R-CC-PAL-FORAM >150,0,2,373.58,373.6,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,P,,,,,359,U1466,B,8,R,CC,P
359-U1466B-9R-CC-PAL-FORAM >150,0,4,382.79,382.83,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,,,,,,,,359,U1466,B,9,R,CC,P
359-U1466B-10R-CC-PAL-FORAM >150,0,5,394.18,394.23,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,P,,,,P,,,,,359,U1466,B,10,R,CC,P
359-U1466B-11R-1-W 82/85-PAL-FORAM >150,0,3,402.22,402.25,,,,P,,,,,,,,,,,,,,,,,P,,,P,,,,P,P,,,R,,,,P,,,,,359,U1466,B,11,R,1,W
359-U1466B-12R-CC-PAL-FORAM >150,0,5,412.53,412.58,,,,VP,,,,,,,,,,,,,,,,,R,,,C,,,,,,P,,C,,,,P,,,,,359,U1466,B,12,R,CC,P
359-U1466B-13R-CC-PAL-FORAM >150,0,5,423.48,423.53,,,P. glomerosa?,VP,,,,,,,,,,,,,,,,,C,,,R,,,,,,P,,,P,,,P,,,,,359,U1466,B,13,R,CC,P
359-U1466B-14R-CC-PAL-FORAM >150,0,5,432.41,432.46,,,P. glomerosa?,P,,,,,,,,,,,,,,,,,P,,,A,,,,,P,C,,,P,,,P,,,,,359,U1466,B,14,R,CC,P
359-U1466B-15R-CC-PAL-FORAM >150,0,5,441.54,441.59,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,15,R,CC,P
359-U1466B-16R-CC-PAL-FORAM >150,0,5,450.83,450.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,16,R,CC,P
359-U1466B-17R-CC-PAL-FORAM >150,0,5,460.43,460.48,,,,M,,,,,,,,,P,,,,,,,,C,,,P,,,,,P,R,,,P,,,P,,,,,359,U1466,B,17,R,CC,P
359-U1466B-18R-CC-PAL-FORAM >150,0,5,469.85,469.9,,,,M,,,,,,,,,R,,,,,,,,R,,,R,,,,,R,R,,,,,,R,,,,,359,U1466,B,18,R,CC,P
359-U1466B-19R-CC-PAL-FORAM >150,0,5,479.68,479.73,,,,P,,,,,,,,,,,,,,,,,,,,C,,,,,,P,,,,,,R,,,,,359,U1466,B,19,R,CC,P
359-U1466B-20R-CC-PAL-FORAM >150,0,5,484.52,484.57,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1466,B,20,R,CC,P
359-U1466B-21R-1-PAL-FORAM >150,0,5,489.02,489.07,,,,M,,,,,,,,,R,,,,,,,,R,,,C,,,,,,R,,,,,,C,,,,,359,U1466,B,21,R,1,P
359-U1466B-22R-CC-PAL-FORAM >150,0,5,494.94,494.99,,,,P,,,,,,,,,R,,,,,,,,R,,,C,,,,,,R,,,,,,P,,,,,359,U1466,B,22,R,CC,P
359-U1466B-23R-CC-PAL-FORAM >150,0,5,499.14,499.19,,,,M,,,,,,,,,R,,,,,,,,R,,,C,,,,,,R,,,,,,R,,,,,359,U1466,B,23,R,CC,P
359-U1466B-24R-CC-PAL-FORAM >150,0,5,504.2,504.25,,,,M,,,,,,,,,R,,,,,,,,R,,,C,,,,,,R,,,,,,R,,,,,359,U1466,B,24,R,CC,P
359-U1466B-25R-CC-PAL-FORAM >150,0,5,510.63,510.68,,,,P,,,,,,,,,R,,,,,,,,R,,,C,,,,,,C,,,,,,C,,,,,359,U1466,B,25,R,CC,P
359-U1466B-26R-CC-PAL-FORAM >150,0,5,519.05,519.1,,,,P,,,,,,,,,R,,,,,,,,C,,,C,,,,,,C,,,,,,C,,,,,359,U1466,B,26,R,CC,P
359-U1466B-27R-CC-PAL-FORAM >150,0,5,527.8,527.85,,,,M,,,,,,,,,R,,,,,,,,C,,,C,,,,,,C,,,,,,C,,,,,359,U1466,B,27,R,CC,P
359-U1466B-28R-CC-PAL-FORAM >150,0,5,539.03,539.08,,,,P,,,,,,,,,R,,,,,,,,R,,,R,,,,,,C,,,,,,R,,,,,359,U1466,B,28,R,CC,P
359-U1466B-29R-CC-PAL-FORAM >150,0,5,542.64,542.69,,,,M,,,,,,,,,C,,,,,,,,C,,,C,,,,,,C,,,,,,P,,,,,359,U1466,B,29,R,CC,P
359-U1466B-30R-CC-PAL-FORAM >150,0,5,548.19,548.24,,,,M,,,,,,,,,,,,,,,,,P,,,,,,,,,C,,,,,,P,,,,,359,U1466,B,30,R,CC,P
359-U1466B-31R-CC-PAL-FORAM >150,0,5,558.66,558.71,,,few non-identifiable specimens,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,31,R,CC,P
359-U1466B-32R-CC-PAL-FORAM >150,0,5,567.07,567.12,,,,P,,,,,,,,,R,,,,,,,,R,,,R,,,,,,,,,,,,C,,,,,359,U1466,B,32,R,CC,P
359-U1466B-33R-CC-PAL-FORAM >150,0,5,578.6,578.65,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,33,R,CC,P
359-U1466B-34R-CC-PAL-FORAM >150,0,5,587.65,587.7,,,,VP,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,359,U1466,B,34,R,CC,P
359-U1466B-35R-CC-PAL-FORAM >150,0,5,597.6,597.65,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,35,R,CC,P
359-U1466B-36R-CC-PAL-FORAM >150,0,5,606.35,606.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,36,R,CC,P
359-U1466B-36R-CC-PAL-FORAM >150,0,5,606.35,606.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,36,R,CC,P
359-U1466B-39R-CC-PAL-FORAM >150,0,5,635.82,635.87,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,39,R,CC,P
359-U1466B-40R-CC-PAL-FORAM >150,0,5,644.68,644.73,,,few non-identifiable specimens,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,40,R,CC,P
359-U1466B-42R-CC-PAL-FORAM >150,0,5,664.18,664.23,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,42,R,CC,P
359-U1466B-43R-CC-PAL-FORAM >150,0,5,673.66,673.71,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,359,U1466,B,43,R,CC,P
359-U1466B-44R-1-W 43/44-PAL-FORAM >150,0,1,683.33,683.34,,,,VP,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,359,U1466,B,44,R,1,W
359-U1466B-44R-CC-PAL-FORAM >150,0,5,683.56,683.61,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,359,U1466,B,44,R,CC,P
