Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1435A-2R-CC-PAL-FORAMP,0,1,9.7,9.71,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",,,0.0,,,0.61,,M,A,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,R,,,R,,,,,R,R,R,,,,R,,,,,,R,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,R,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,`30% fragmentation,,,349,U1435,A,2,R,CC,PAL,
349-U1435A-3R-CC-PAL-FORAMP,0,1,19.43,19.44,,,,,M9b,"M9b - Fohsella robusta/Fohsella fohsi Concurrent-range Subzone (Gradstein et al., 2012)",,,11.79,,,13.13,,M,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,R,,,,R,R,,,,,,,,,,,,,R,,,R,,R,,,,,R,,,,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,R,,,,,R,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,"assemblage mixture of Pleistocene, Pliocene and Miocene species, 20-30% fragmentation. Manganese clastics.",,,349,U1435,A,3,R,CC,PAL,
349-U1435A-4R-CC-PAL-FORAMP,0,6,26.65,26.71,,,,,M9b,"M9b - Fohsella robusta/Fohsella fohsi Concurrent-range Subzone (Gradstein et al., 2012)",,,11.79,,,13.13,,M,A,,,,,,,,,F,A,,,R,,,,,,,,,,,,,,,,,R,R,,,,,R,,,R,R,,,,R,R,F,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,R,,,,,,,,,P,R,,,P,,,,,,,,,,,,,,,,,,"assemblage mixture of Pleistocene, Pliocene and Miocene species, high fragmentation ~50%, red clay.",,,349,U1435,A,4,R,CC,PAL,
349-U1435A-5R-CC-PAL-FORAMP,0,6,39.62,39.68,,,,,O2,"O2 -  (Gradstein et al., 2012)",,,30.28,,,32.1,,M,A,,,R,R,R,R,F,,,,,,,R,,,R,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,R,,,R,,F,,,,,,,chalky,,,349,U1435,A,5,R,CC,PAL,
349-U1435A-6R-CC-PAL-FORAMP,0,5,49.25,49.3,,,,,O2,"O2 -  (Gradstein et al., 2012)",,,30.28,,,32.1,,M,A,,,R,,R,R,R,,,,,,,R,,R,R,,,A,,,,,,R,,,R,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,R,,,,,,,chalky,,,349,U1435,A,6,R,CC,PAL,
349-U1435A-7R-CC-PAL-FORAMP,0,6,59.54,59.6,,,,,O1,"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,M,A,,,R,,R,R,R,,,,,,,,,R,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,R,R,,,,,R,,,,,,,"chalky, specimens from the Opima group present",,,349,U1435,A,7,R,CC,PAL,
349-U1435A-8R-CC-PAL-FORAMP,0,6,71.55,71.61,,,,,O1,"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,"mainly recrystalized calcite-dolomite grains, some benthics",,,349,U1435,A,8,R,CC,PAL,
349-U1435A-9R-1-W 69/73-PAL,0,4,75.49,75.53,,,,,O1,"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,P,C,,,F,,,,F,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,,,,,,,,"many small forms, some benthic forms.",,,349,U1435,A,9,R,1,W,
349-U1435A-9R-2-W 132/136-PAL,0,4,77.62,77.66,,,,,O1,"O1 - Pseudohastigerina naguewichiensis Highest-occurrence Zone (Gradstein et al., 2012)",,,32.1,,,33.89,,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"almost barren, only two tiny unidentifiable small forms, sands, some glauconite grains, pyrite, several large agglutinated benthic forms.",,,349,U1435,A,9,R,2,W,
349-U1435A-9R-CC-PAL-FORAMP,0,6,79.78,79.84,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant fine sands; some recrystalized calcite grains; coal fragments, mica.",,,349,U1435,A,9,R,CC,PAL,
349-U1435A-10R-CC-PAL-FORAMP,0,6,87.69,87.75,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant fine sands; some recrystalized calcite grains; coal fragments, mica, and bryozoan fragments.",,,349,U1435,A,10,R,CC,PAL,
349-U1435A-11R-CC-PAL-FORAMP,0,6,94.99,95.05,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant sand, some coal fragments and mica",,,349,U1435,A,11,R,CC,PAL,
349-U1435A-12R-CC-PAL-FORAMP,0,6,110.04,110.1,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant sand and mica, and some coal fragments.",,,349,U1435,A,12,R,CC,PAL,
349-U1435A-13R-CC-PAL-FORAMP,0,5,121.81,121.86,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant sand and mica, some dark colored minerals.",,,349,U1435,A,13,R,CC,PAL,
349-U1435A-14R-CC-PAL-FORAMP,0,8,125.49,125.57,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abundant sand and mica, some dark colored minerals.",,,349,U1435,A,14,R,CC,PAL,
349-U1435A-15R-CC-PAL-FORAMP,0,5,138.42,138.47,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sands, clastic fragments, biotite, muscovite, pyrite",,,349,U1435,A,15,R,CC,PAL,
349-U1435A-16R-7-PAL-FORAMP,0,5,151.81,151.86,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"quartz sands, clastics, muscovite, glauconite, biotite. Large ~20mm gastropod.
",,,349,U1435,A,16,R,7,PAL,
349-U1435A-17R-CC-PAL-FORAMP,0,6,160.52,160.58,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sand, mica, quartz, pyrite.",,,349,U1435,A,17,R,CC,PAL,
349-U1435A-18R-CC-PAL-FORAMP,0,5,171.98,172.03,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sand, quartz, mica, pyrite.",,,349,U1435,A,18,R,CC,PAL,
349-U1435A-19R-CC-PAL-FORAMP,0,6,181.27,181.33,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sand, quartz, glauconite, mica.
",,,349,U1435,A,19,R,CC,PAL,
349-U1435A-20R-CC-PAL-FORAMP,0,6,191.06,191.12,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"large (up to 30mm) shells, sandy sediments, quartz, tourmaline, greenish strotium carbonate, mica.",,,349,U1435,A,20,R,CC,PAL,
349-U1435A-21R-CC-PAL-FORAMP,0,8,199.95,200.03,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sporadic benthic foraminifera, brackish water Ammonia beccarii.",,,349,U1435,A,21,R,CC,PAL,
349-U1435A-22R-CC-PAL-FORAMP,0,8,200.9,200.98,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sand, mica and some glauconite.",,,349,U1435,A,22,R,CC,PAL,
