Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links,Zone name,Zone name (short)
351-U1438E-4R-CC-PAL-FORAM,351,U1438,E,4,4-CC,R,CC,PAL,FORAM,0,0,871.17,871.17,G [P02],R [A97],,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-CC-PAL-FORAM,351,U1438,E,5,5-CC,R,CC,PAL,FORAM,0,7,885.81,885.88,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-6R-CC-PAL-FORAM,351,U1438,E,6,6-CC,R,CC,PAL,FORAM,0,5,893.77,893.82,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-7R-CC-PAL-FORAM,351,U1438,E,7,7-CC,R,CC,PAL,FORAM,0,5,905.54,905.59,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-8R-CC-PAL-FORAM,351,U1438,E,8,8-CC,R,CC,PAL,FORAM,0,6,913,913.06,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-9R-CC-PAL-FORAM,351,U1438,E,9,9-CC,R,CC,PAL,FORAM,0,5,921,921.05,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-10R-CC-PAL-FORAM,351,U1438,E,10,10-CC,R,CC,PAL,FORAM,0,0,935.24,935.24,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-11R-7-PAL-FORAM,351,U1438,E,11,11-7,R,7,PAL,FORAM,0,0,943.84,943.84,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-12R-CC-PAL-FORAM,351,U1438,E,12,12-CC,R,CC,PAL,FORAM,0,0,954.55,954.55,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-13R-CC-PAL-FORAM,351,U1438,E,13,13-CC,R,CC,PAL,FORAM,0,0,962.59,962.59,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-14R-CC-PAL-FORAM,351,U1438,E,14,14-CC,R,CC,PAL,FORAM,0,0,969.99,969.99,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-15R-CC-PAL-FORAM,351,U1438,E,15,15-CC,R,CC,PAL,FORAM,0,6,982.78,982.84,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-16R-CC-PAL-FORAM,351,U1438,E,16,16-CC,R,CC,PAL,FORAM,0,5,992.16,992.21,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-17R-CC-PAL-FORAM,351,U1438,E,17,17-CC,R,CC,PAL,FORAM,0,5,1002.01,1002.06,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-18R-CC-PAL-FORAM,351,U1438,E,18,18-CC,R,CC,PAL,FORAM,0,0,1011.75,1011.75,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-19R-CC-PAL-FORAM,351,U1438,E,19,19-CC,R,CC,PAL,FORAM,0,0,1022.07,1022.07,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-20R-CC-PAL-FORAM,351,U1438,E,20,20-CC,R,CC,PAL,FORAM,0,0,1030.65,1030.65,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-21R-CC-PAL-FORAM,351,U1438,E,21,21-CC,R,CC,PAL,FORAM,0,0,1040.91,1040.91,,B [A97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
