Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of radiolarians in total assemblage [%],Comment,Acrobotrys tritubus ,Acrosphaera spinosa,Actinoma leptoderma,Amphirhopalum ypsilon,Anthocyrtidium angulare,Artophormis barbadensis ,Artophormis gracilis ,Bekoma bidartensis,Bekoma campechensis,Bekoma spp.,Botryostrobus miralestense ,Buccinosphaera invaginata,Buryella clinata,Buryella pentadica,Buryella spp.,Buryella tetradica,Calocyclas bandyca ,Calocyclas hispida ,Calocyclas turris ,Calocycletta caepa ,Calocycletta cladara ,Calocycletta costata ,Calocycletta serrata ,Calocycletta sp.,Calocycletta virginis,Calocycloma castum,Calocycloma castum ,Carpocanopsis bramlettei,Carpocanopsis cingulata ,Carpocanopsis cristata ,Carpocanopsis favosa ,Centrobotrys gravida ,Centrobotrys petrushevskayae,Centrobotrys thermophila,Collosphaera tuberosa,Corythospyris fiscella,Corythospyris jubata,Cryptocarpium azyx,Cycladophora campanula,Cycladophora robusta,Cyrtocapsa cornuta ,Cyrtocapsella elongata,Cyrtocapsella japonica ,Cyrtocapsella sp. ,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni ,Dictyocoryne ontongensis,Dictyoprora armadillo ,Dictyoprora mongolfieri ,Dictyoprora pirum ,Didymocyrtis antepenultima ,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera ,Didymocyrtis penultima ,Didymocyrtis prismatica ,Didymocyrtis tetrathalamus ,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata ,Dorcadospyris papilio,Dorcadospyris pseudopapilio ,Eucyrtidium diaphanes ,Eusyringium fistuligerum,Eusyringium fistuligerum ,Eusyringium lagena ,Eusyringium striata striata ,Flustrella sp.,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Lamptonium fabaeforme,Lamptonium fabaeforme chaunothorax ,Lamptonium fabaeforme constrictum ,Lamptonium fabaeforme fabaeforme ,Lamptonium pennatum ,Lamptonium sanfilippoae ,Liriospyris parkerae,Liriospyris stauropora,Lithocyclia angusta ,Lithocyclia aristotelis,Lithocyclia crux ,Lithocyclia ocellus,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera thornburgi ,Lophocyrtis jacchia,Lychnocanoma amphitrite ,Lychnocanoma bellum ,Lychnocanoma trifolium ,Lychnodictyum audax,Periphaena tripyramis triangula,Phomostichoartus corbula,Phormocyrtis cf. striata exquisita,Phormocyrtis cubensis,Phormocyrtis spp. ,Phormocyrtis striata exquisita,Phormocyrtis striata striata,Phormostichoartus doliolum,Phormostichoartus fistula ,Plannapus sp. ,Podocyrtis  ampla ,Podocyrtis  chalara,Podocyrtis acalles ,Podocyrtis diamesa ,Podocyrtis dorus,Podocyrtis fasciolata,Podocyrtis goetheana,Podocyrtis helenae,Podocyrtis mitra ,Podocyrtis papalis ,Podocyrtis phyxis,Podocyrtis sinuosa ,Podocyrtis spp.,Podocyrtis trachodes,Pterocanium prismatium,Pterocodon (?) anteclinata ,Pterocodon ampla ,Pterocorys hertwigii,Rhopalocanium ornatum,Sethochytris triconiscus ,Siphostichartus corona,Solenosphaera omnitubus ,Spongaster berminghami ,Spongaster pentas,Spongaster tetras tetras,Spongatractus balbis ,Spongatractus pachystylus,Spongocore puella,Stichocorys delmontensis,Stichocorys johnsoni ,Stichocorys peregrina,Stichocorys wollfii ,Stylacontarium acquilonium,Stylatractus universus,Theocorys anaclasta ,Theocorythium trachelium trachelium ,Theocorythium vetulum ,Theocotyle ? spp.,Theocotyle conica,Theocotyle cryptocephala,Theocotyle ficus ,Theocotyle nigrinae,Theocotyle nigriniae,Theocotyle venezuelensis ,Theocotylisa alpha ,Theocotylissa ficus,Theocotylissa spp.,Theocyrtis annosa ,Theocyrtis tuberosa ,Thyrsocyrtis bromia,Thyrsocyrtis hirsuta,Thyrsocyrtis lochites,Thyrsocyrtis rhizodon,Thyrsocyrtis rhizodon ,Thyrsocyrtis robusta,Thyrsocyrtis tarsipes ,Thyrsocyrtis tensa ,Thyrsocyrtis tetracantha ,Thyrsocyrtis triacantha,Thyrsocyrtis triacantha ,Trisolenia megalactis,Tristylospyris triceros,File Data,Shore File Links
351-U1438B-1H-CC-PAL-RADS,351,U1438,B,1,1-CC,H,CC,PAL,RADS,0,7,7.19,7.26,,,,,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-CC-PAL-RADS,351,U1438,B,2,2-CC,H,CC,PAL,RADS,0,7,16.22,16.29,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-3H-CC-PAL-RADS,351,U1438,B,3,3-CC,H,CC,PAL,RADS,0,8,25.67,25.75,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-4H-CC-PAL-RADS,351,U1438,B,4,4-CC,H,CC,PAL,RADS,0,8,35.73,35.81,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-4-A 26/27-RADS,351,U1438,B,5,5-4,H,4,A,26/27-RADS,0,1,40.46,40.47,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-4-A 32/33-RADS,351,U1438,B,5,5-4,H,4,A,32/33-RADS,0,1,40.52,40.53,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-4-A 43/44-RADS,351,U1438,B,5,5-4,H,4,A,43/44-RADS,0,1,40.63,40.64,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-CC-PAL-RADS,351,U1438,B,5,5-CC,H,CC,PAL,RADS,0,7,44.89,44.96,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-6H-CC-PAL-RADS,351,U1438,B,6,6-CC,H,CC,PAL,RADS,0,7,54.96,55.03,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-7H-CC-PAL-RADS,351,U1438,B,7,7-CC,H,CC,PAL,RADS,0,10,64.09,64.19,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
