Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
359-U1471E-5R-1-W 37/41-PAL-FORAM >150,0,4,625.77,625.81,,,,VP,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,5,R,1,W,,,
359-U1471E-6R-3-W 49/51-PAL-FORAM >150,0,2,638.13,638.15,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,359,U1471,E,6,R,3,W,,,
359-U1471E-7R-2-W 99/102-PAL-FORAM >150,0,3,647.24,647.27,,,,VP,,,,,,,,,R,,,,,,P,R,,P,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,7,R,2,W,,,
359-U1471E-8R-5-W 15/17-PAL-FORAM >150,0,2,659.32,659.34,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,8,R,5,W,,,
359-U1471E-9R-2-W 59/62-PAL-FORAM >150,0,2,666.26,666.28,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,9,R,2,W,,,
359-U1471E-10R-1-W 1/3-FORAM >150,0,2,673.91,673.93,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,10,R,1,W,,,
359-U1471E-11R-2-W 101/103-FORAM >150,0,2,685.94,685.96,,,,VP,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,11,R,2,W,,,
359-U1471E-12R-1-W 38/40-FORAM >150,0,2,693.68,693.7,,,,VP,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,359,U1471,E,12,R,1,W,,,
359-U1471E-13R-3-W 71/73-FORAM >150,0,2,706.29,706.31,,,,VP,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,13,R,3,W,,,
359-U1471E-14R-1-W 31/33-FORAM >150,0,2,713.01,713.03,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,14,R,1,W,,,
359-U1471E-15R-1-W 12/14-FORAM >150,0,2,722.52,722.54,,,,VP,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,,,,P,,,,,359,U1471,E,15,R,1,W,,,
359-U1471E-16R-1-W 0/2-FORAM >150,0,2,732.1,732.12,,,,VP,,,,,,,,,,,,,,,,,,,,P,P,,,P,P,,,P,,,,P,,,,,359,U1471,E,16,R,1,W,,,
359-U1471E-17R-3-W 12/13-PAL-FORAM >150,0,1,744.25,744.26,,,,P,,,,,,,,,P,,,,,,,,,,,R,P,,,P,,,,P,,,,P,,,,,359,U1471,E,17,R,3,W,,,
359-U1471E-18R-4-W 42/43-PAL-FORAM >150,0,1,754.86,754.87,,,,VP,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,359,U1471,E,18,R,4,W,,,
359-U1471E-19R-4-W 17/18-PAL10-FORAM >150,0,1,764.84,764.85,,,,VP,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,359,U1471,E,19,R,4,W,,,
359-U1471E-20R-CC-PAL-FORAM >150,0,1,774.64,774.65,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,P,,,,P,,,,P,,,,,359,U1471,E,20,R,CC,PAL,,,
359-U1471E-21R-CC-PAL-FORAM >150,0,5,785.36,785.41,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,,359,U1471,E,21,R,CC,PAL,,,
359-U1471E-22R-2-W 87/88-PAL-FORAM >150,0,1,792.72,792.73,,,,VP,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,359,U1471,E,22,R,2,W,,,
359-U1471E-23R-CC-PAL-FORAM >150,0,3,804.25,804.28,,,,VP,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,359,U1471,E,23,R,CC,PAL,,,
359-U1471E-24R-3-W 61/62-PAL-FORAM >150,0,1,812.43,812.44,,,,VP,,,,,,,,,P,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,359,U1471,E,24,R,3,W,,,
359-U1471E-24R-CC-PAL-FORAM >150,0,5,812.74,812.79,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,24,R,CC,PAL,,,
359-U1471E-25R-4-PAL-FORAM >150,0,1,824.76,824.77,,,,VP,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,25,R,4,PAL,,,
359-U1471E-26R-4-W 39/40-PAL-FORAM >150,0,1,833.55,833.56,,,,VP,,,,,,,,,P,,,,,,,,,,,P,P,,,,,,,P,,,,P,,,,,359,U1471,E,26,R,4,W,,,
359-U1471E-27R-3-PAL-FORAM >150,0,1,843.02,843.03,,,,VP,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,359,U1471,E,27,R,3,PAL,,,
