Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1504A-2R-CC-PAL-FORAM,0,5,7.8,7.85,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,R,P,,,F,,,,,R,A,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,2,R,CC,PAL,FORAM
368-U1504A-3R-CC-PAL-FORAM,0,4,21.31,21.35,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,F,,,,,R,A,D,,,,,,,,,,,,,,P,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,3,R,CC,PAL,FORAM
368-U1504A-4R-CC-PAL(10-15)-FORAM,0,5,31.7,31.75,,,,,,,,,,,,,,G [P32],A [A87],95,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,P,P,,,F,,P,,,F,A,A,,,P,,,,,,,,,,,P,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,A,,,,P,,,,,F,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,CC,PAL(10-15),FORAM
368-U1504A-5R-CC-PAL(12-17)-FORAM,0,5,38.48,38.53,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,P,,D,P,,,F,,,,,,A,D,,,,,,,P,,,,,,,P,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,,,P,,,,,F,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,5,R,CC,PAL(12-17),FORAM
368-U1504A-6R-CC-PAL(9-14)-FORAM,0,5,52.08,52.13,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,A,A,,,,,,,F,,P,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,368,U1504,A,6,R,CC,PAL(9-14),FORAM
368-U1504A-7R-CC-PAL(0-5)-FORAM,0,5,59.73,59.78,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,A,A,,,,,,,A,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,368,U1504,A,7,R,CC,PAL(0-5),FORAM
368-U1504A-8R-CC-PAL(14-19)-FORAM,0,5,73.51,73.56,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,P,,,,P,,,,,,R,,,A,A,,,,,,,R,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,P,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1504,A,8,R,CC,PAL(14-19),FORAM
368-U1504A-9R-CC-PAL(12-17)-FORAM,0,5,78.26,78.31,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,A,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,F,,,A,A,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,R,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1504,A,9,R,CC,PAL(12-17),FORAM
368-U1504A-10R-CC-PAL(14-19)-FORAM,0,5,93.91,93.96,,,,,,,,,,,,,,G [P32],A,95,,,,,,,P,,,,A,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,P,,,,P,A,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,10,R,CC,PAL(14-19),FORAM
368-U1504A-12R-1-W 3/5-FORAM,0,2,104.83,104.85,,,,,,,,,,,,,,G,A [A87],90,,,,,,,A,,,,R,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,F,F,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,12,R,1,W,3/5-FORAM
368-U1504A-12R-1-W 40/42-FORAM,0,2,105.2,105.22,,,,,,,,,,,,,,G,A,90,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,12,R,1,W,40/42-FORAM
368-U1504A-12R-CC-PAL(13-18)-FORAM,0,5,112.61,112.66,,,,,,,,,,,,,,G [P32],A,70,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,12,R,CC,PAL(13-18),FORAM
368-U1504A-13R-CC-PAL (8-10)-FORAM,0,2,114.78,114.8,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,13,R,CC,PAL,(8-10)-FORAM
368-U1504A-14R-1-PAL(36-38)-FORAM,0,2,124.86,124.88,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,14,R,1,PAL(36-38),FORAM
368-U1504A-15R-CC-PAL(0-2)-FORAM,0,2,134.84,134.86,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,15,R,CC,PAL(0-2),FORAM
