Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1464B-14H-CC-PAL-NANNO,0,5,126.25,126.3,,,G,A,,,F,,,,,,,,,,,,,,R,,,,,,,R,P,P,,R,,,,,,,,,,,,,,,,,,R,,,,,,A,C,,,,,R,,,,,,,,F,,,,R,,,,,P,,,,,,,,,,,356,U1464,B,14,H,CC,PAL,NANNO
356-U1464B-16H-CC-PAL-NANNO,0,5,145,145.05,,,M,A,,,R,,,,,,,,,,R,,,,F,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,C,,,,,,V,V,,,,,,,,,,,,,R,,P,,F,,,,,R,,,,,,,,,,,356,U1464,B,16,H,CC,PAL,NANNO
356-U1464B-18H-6-PAL-NANNO,0,5,162.95,163,,,M,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,C,,,P,,,V,A,,A,,,R,,,,,,,,F,,,F,F,,,,,,F,,,,,,,,,,356,U1464,B,18,H,6,PAL,NANNO
356-U1464B-20H-CC-PAL-NANNO,0,7,180.13,180.2,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,V,C,,A,,,R,,,,,,,,F,,,,F,,,,,R,,,R,R,,P,reworked R. bisecta,,,,356,U1464,B,20,H,CC,PAL,NANNO
356-U1464B-22H-CC-PAL-NANNO,0,5,196.6,196.65,,,M,A,,,R,,,,,,,,,,R,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,V,A,,,,P,R,,,,,,,,F,,R,,R,,R,,,P,,,,,,P,reworked R. bisecta; presence Ceratolithus?,,,,356,U1464,B,22,H,CC,PAL,NANNO
356-U1464B-24H-CC-PAL-NANNO,0,6,215.64,215.7,,,M,D,,,R,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,C,C,,V,C,,C,,,,,,,,,,,C,,R,,,,,,,F,,,,,,,,,,,356,U1464,B,24,H,CC,PAL,NANNO
356-U1464B-26H-CC-PAL-NANNO,0,5,235.2,235.25,,,M,D,,,R,,,,,,,,,,,,,,C,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,C,,,A,C,,V,C,,A,,P,,,,,R,,,,C,,,,F,,F,,,F,F,,F,F,,P,reworked R. bisecta,,,,356,U1464,B,26,H,CC,PAL,NANNO
356-U1464B-28H-CC-PAL-NANNO,0,5,254.68,254.73,,,M,D,,,R,,,,,,,,,,,,,,C,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,A,,,,,,A,,P,F,,F,,F,,,,F,,,R,F,,,,,F,R,,,F,,,,,,,356,U1464,B,28,H,CC,PAL,NANNO
356-U1464B-30H-5-PAL-NANNO,0,5,272.57,272.62,,,G,D,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,A,,,V,,,A,R,,,,R,,R,,,,R,,,,F,,,,,R,,,,,,,,,,,356,U1464,B,30,H,5,PAL,NANNO
356-U1464B-32H-6-PAL-NANNO,0,5,293.1,293.15,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,D,P,,R,,,,,,,,,,,,,,F,,,,,,F,R,R,,R,C,,,,,,,,,,,,,,,,,R,,,,R,F,,V,A,,A,,,,,,,F,,,,F,,,,,,,,,R,,,,,,,,,,,356,U1464,B,32,H,6,PAL,NANNO
356-U1464B-34H-CC-PAL-NANNO,0,5,312.7,312.75,,,G,A,,,R,,,,,,,,,,,,P,,R,,,,,,F,R,R,,P,F,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,R,,,,F,,,,F,,,,,,,,,,,,,,,,few R. rotaria,,,,356,U1464,B,34,H,CC,PAL,NANNO
356-U1464B-35F-CC-PAL-NANNO,0,6,316.89,316.95,,,G,C,,,,,,,,,,,,,,,,,R,,,,,,R,P,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,R,,,,F,,,,R,,,,,,P,,,,,,,,,,rare R. rotaria,,,,356,U1464,B,35,F,CC,PAL,NANNO
