Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1445A-1H-CC-PAL-FORAMP,0,6,6.9,6.96,,,,,,,,,,,0.12,G,D,86.75,,,,,1267,,,R,,,A,F,,,R,F,,,F,,R,,,,,,,,F,R,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,F,,,,,R,,,C,,,,,R,,,,R,,,R,,,,,,,,353,U1445,A,1,H,CC,PAL,
353-U1445A-2H-CC-PAL-FORAMP,0,8,16.4,16.48,,,,,,,,,,,0.12,M,D,88.42,,,,,211,,,R,,,A,F,,,R,F,,,F,,R,,,,,,,,C,R,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,F,,,F,,,,,F,,,,F,,,,,,,,,,,353,U1445,A,2,H,CC,PAL,
353-U1445A-3H-CC-PAL-FORAMP,0,7,25.25,25.32,,,,,,,,,,0.12,,G,D,97.99,,,,,173,,,,,,C,F,,,F,R,,,F,,R,,,,,,,F,A,F,,,F,,,,,,,,,,,,,F,,,,,,,R,,,,,,F,,,,,F,,,C,,,,,F,,,,F,,,R,,,,,,,,353,U1445,A,3,H,CC,PAL,
353-U1445A-4H-CC-PAL-FORAMP,0,5,35.78,35.83,,,,,,,,,,0.12,,M,D,61.48,,,,,1504,,,,,,A,F,,,F,F,,,R,,R,,,,,,,F,C,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,F,,,C,,,,,F,,,,F,,,,,,,,,,,353,U1445,A,4,H,CC,PAL,
353-U1445A-5H-CC-PAL-FORAMP,0,5,45.8,45.85,,,,,,,,,,0.12,,G,D,78.13,,,,,605,,,,,,C,F,,,R,R,,,C,,,,,,,,,F,C,F,,,F,,,,,,,,,,,,,F,,,,,,,R,R,,,R,,R,,,,,,,,F,,R,,,F,,,,R,,,,,,,,,,,353,U1445,A,5,H,CC,PAL,
353-U1445A-6H-CC-PAL-FORAMP,0,8,54.98,55.06,,,,,,,,,,0.12,,G,D,92.96,,,,,96,,,,,,C,F,,,F,F,,,F,,R,,,,,,,F,F,R,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,F,,,,,F,,,,F,,,,,,,,,,,353,U1445,A,6,H,CC,PAL,
353-U1445A-7H-CC-PAL-FORAMP,0,6,63.93,63.99,,,,,,,,,,0.12,,G,D,79.8,,,,,107,,,,,,C,R,,,R,F,,,F,,R,,,,,,,R,F,R,,,F,,,,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,F,,R,,,F,,,,F,,,R,,,,,,,,353,U1445,A,7,H,CC,PAL,
353-U1445A-8H-CC-PAL-FORAMP,0,5,74.31,74.36,,,,,,,,,,0.12,,G,D,94.0,,,,,115,,,R,,,A,R,,,F,F,,,F,,,,,,,,,,F,F,,,F,,,,,,,,,,,,,F,,,,,,,R,,,,R,,R,,,,,,,,F,,R,,,R,,,,C,,,,,,,,,,,353,U1445,A,8,H,CC,PAL,
353-U1445A-9H-CC-PAL-FORAMP,0,5,83.63,83.68,,,,,,,,,,0.61,,G,D,91.49,,,1,,512,,,,,,C,R,,,R,F,,,F,,R,,,,,,,,C,F,,,F,,,R,,,,,,,,,,F,,,,,,,,R,R,,R,,R,,,,,,,,F,,R,,,F,,,,F,,,R,,,,,,,,353,U1445,A,9,H,CC,PAL,
353-U1445A-10H-CC-PAL-FORAMP,0,5,92.57,92.62,,,,,,,,,,0.61,,M,D,76.6,,,2,,352,,,,,,A,,,,R,R,,,C,,R,,,,,,,,F,R,,,F,,,R,,,,,,,,,,F,,,,,,,R,,R,,R,,R,,,,,,,,F,,F,,,R,,,,F,,,R,,,,,,,,353,U1445,A,10,H,CC,PAL,
