Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Percentage of planktic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina bullbrooki,Acarinina cuneicamerata,Acarinina praetopilensis,Acarinina punctocarinata,Acarinina sibaiyaensis,Acarinina soldadoensis,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Chiloguembelina cubensis,Chiloguembelina sp.,Clavatorella bermudezi,Clavatorella nicobarensis,Clavigerinella sp.,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Fohsella birnageae,Fohsella fohsi,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina compressa,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina aequilateralis,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina conglomerata,Globigerina cryptomphala,Globigerina euapertura,Globigerina falconensis,Globigerina linaperta,Globigerina praebulloides,Globigerina pseudodruryi,Globigerina senni,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinatheka sp.,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides altiapertura,Globigerinoides bisphericus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconusa daubjergensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina tripartita,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia bermudezi,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miocenica,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita brazieri,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina sp.,Morozovella angulata,Morozovella aragonensis,Morozovella formosa,Morozovella sp.,Morozovella spinulosa,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides bandyi,Morozovelloides crassatus,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Orbulina bilobata,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudokugleri,Paragloborotalia siakensis,Parasubbotina pseudobulloides,Parasubbotina sp.,Parvularugoglobigerina eugubina,Planorotalites compressa,Praemurica inconstans,Praemurica uncinata,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Streptochilus sp.,Subbotina sp.,Subbotina triloculinoides,Tenuitella gemma,Truncorotaloides rohri,Truncorotaloides spp.,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia frontosa,Turborotalita humilis,Benthic Foraminifera group,Ship File Links,Shore File Links,File Data
355-U1456D-2R-CC-PAL-FORAM,0,5,462.36,462.41,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,
355-U1456D-3R-CC-PAL-FORAM,0,5,470.26,470.31,,,,,,,,,R,G,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,
355-U1456D-4R-CC-PAL-FORAM,0,5,480.72,480.77,,,,,,,,,C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
355-U1456D-5R-CC-PAL-FORAM,0,5,490.81,490.86,,,,,,,,,R,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,P,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,
355-U1456D-6R-CC-PAL-FORAM,0,5,497.86,497.91,,,,,,,,,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,A,,,R,,,,,,F,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,
355-U1456D-7R-CC-PAL-FORAM,0,5,511.39,511.44,,,,,,,,,R,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,
355-U1456D-8R-CC-PAL-FORAM,0,5,525.26,525.31,,,,,,,,,R,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
355-U1456D-9R-5-W 97/100-FORAM,0,3,533.56,533.59,,,,,,,,,R,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,
355-U1456D-9R-7-PAL-FORAM,0,5,536.27,536.32,,,,,,,,,B,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
355-U1456D-10R-CC-PAL-FORAM,0,5,543.76,543.81,,,,,,,,,R,M,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,
