Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
349-U1435A-17R-CC-PAL-NANNO,0,6,160.52,160.58,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,17,R,CC,PAL,NANNO,
349-U1435A-18R-CC-PAL-NANNO,0,5,171.98,172.03,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,18,R,CC,PAL,NANNO,
349-U1435A-19R-CC-PAL-NANNO,0,6,181.27,181.33,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,19,R,CC,PAL,NANNO,
349-U1435A-20R-CC-PAL-NANNO,0,6,191.06,191.12,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,20,R,CC,PAL,NANNO,
349-U1435A-21R-CC-PAL-NANNO,0,8,199.95,200.03,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,21,R,CC,PAL,NANNO,
349-U1435A-22R-CC-PAL-NANNO,0,8,200.9,200.98,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,22,R,CC,PAL,NANNO,
349-U1435A-23R-CC-PAL-NANNO,0,6,218.17,218.23,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A few nannofossil-like fossils, unidentified",,,349,U1435,A,23,R,CC,PAL,NANNO,
349-U1435A-24R-CC-PAL-NANNO,0,6,229.86,229.92,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some Fasiculithus-like form present,,,349,U1435,A,24,R,CC,PAL,NANNO,
349-U1435A-25R-CC-PAL-NANNO,0,6,237.1,237.16,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few to common calcite crystals and organic debris,,,349,U1435,A,25,R,CC,PAL,NANNO,
349-U1435A-26R-CC-PAL-NANNO,0,9,249.14,249.23,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few to common calcite crystals and organic debris,,,349,U1435,A,26,R,CC,PAL,NANNO,
349-U1435A-27R-CC-PAL-NANNO,0,6,258.3,258.36,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Fasciculithus-like form present,,,349,U1435,A,27,R,CC,PAL,NANNO,
349-U1435A-28R-CC-PAL-NANNO,0,6,268.67,268.73,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,28,R,CC,PAL,NANNO,
349-U1435A-29R-CC-PAL-NANNO,0,5,276.29,276.34,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low abundance of calcareous particles,,,349,U1435,A,29,R,CC,PAL,NANNO,
349-U1435A-30R-CC-PAL-NANNO,0,6,282.1,282.16,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low abundance of calcareous particles,,,349,U1435,A,30,R,CC,PAL,NANNO,
349-U1435A-31R-CC-PAL-NANNO,0,6,289.16,289.22,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,31,R,CC,PAL,NANNO,
349-U1435A-32R-CC-NANNO,0,10,299.06,299.16,,,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F. tympaniformis? - 1 specimen,,,349,U1435,A,32,R,CC,NANNO,,
