Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1461D-2R-CC-PAL-NANNO,0,10,456.26,456.36,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],C [A04],,,,,,,,,,,,,,P [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,micrite and aragonite needles,,,,356,U1461,D,2,R,CC,PAL,NANNO
356-U1461D-5R-CC-PAL-NANNO,0,10,510.28,510.38,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,,,,,,,,,,,,R [A30],,R [A30],,,,,F [A30],,,,,F [A30],,,,,,,,P [A30],,,P [A30],,,,P [A30],P [A30],,P [A30],,,R [A30],,,micrite and few dolomite rhombs,,,,356,U1461,D,5,R,CC,PAL,NANNO
356-U1461D-7R-CC-PAL-NANNO,0,10,566.82,566.92,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],P [A30],,R [A30],P [A30],,,,,,,,,,R [A30],,,,,,,F [A30],,,,,F [A30],,,,,,,,F [A30],,,P [A30],P [A30],,,R [A30],,,R [A30],,,F [A30],,,,,,,356,U1461,D,7,R,CC,PAL,NANNO
356-U1461D-9R-CC-PAL-NANNO,0,10,585.64,585.74,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],P [A30],,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,F [A30],,,,,,,,F [A30],,,,P [A30],,,,,,,,,F [A30],,,,,,,356,U1461,D,9,R,CC,PAL,NANNO
356-U1461D-11R-CC-PAL-NANNO,0,10,611.45,611.55,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,,,,,,,,,,,,,R [A30],,,,,,R [A30],C [A04],,,,,F [A30],,,,,,,,F [A30],,,,,,,,,,R [A30],,,R [A30],,,,,,,356,U1461,D,11,R,CC,PAL,NANNO
356-U1461D-13R-7-PAL-NANNO,0,10,632.43,632.53,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,C [A04],,,,,C [A04],,,,,P [A30],,,,F [A30],,,,F [A30],,,,,,,,,,,,,P [A30],,,,,,,356,U1461,D,13,R,7,PAL,NANNO
356-U1461D-15R-CC-PAL-NANNO,0,10,652.51,652.61,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",M [P33],A [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,F [A30],,,,,,,A [A23],,,,,F [A30],,,,F [A30],,,,F [A30],,,,F [A30],,,,,,F [A30],,,F [A30],,,,,,,356,U1461,D,15,R,CC,PAL,NANNO
356-U1461D-17R-CC-PAL-NANNO,0,5,665.62,665.67,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,F [A30],,P [A30],,,,A [A23],C [A04],,,,P [A30],F [A30],,,,P [A30],,,,F [A30],,,,P [A30],,,F [A30],,P [A30],,,,P [A30],,,,,,,356,U1461,D,17,R,CC,PAL,NANNO
356-U1461D-19R-CC-PAL-NANNO,0,10,684.7,684.8,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,F [A30],,,F [A30],,,A [A23],C [A04],,,,,,,,,C [A04],,,,F [A30],,,,,,,F [A30],,,F [A30],,,,,,,,,,356,U1461,D,19,R,CC,PAL,NANNO
356-U1461D-20R-7-PAL-NANNO,0,10,700.5,700.6,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G [P33],D [A22],,,F [A30],,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,V [A94],,,,,,,,,,,,,,,C [A04],,,,,,V [A94],C [A04],,,,,F [A30],,,,P [A30],,,,F [A30],,,,F [A30],,,,,F [A30],,,,,,,,,,,356,U1461,D,20,R,7,PAL,NANNO
356-U1461D-22R-CC-PAL-NANNO,0,10,713.29,713.39,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],C [A22],,,F [A30],,,,,,,,,,F [A30],,,,C [A04],,,,,,,,P [A30],,P [A30],,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],F [A30],,,,,R [A30],,,,P [A30],,,,F [A30],,,R [A30],,,,,,,R [A30],,,R [A30],,,,,,,356,U1461,D,22,R,CC,PAL,NANNO
