Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1460A-1F-1-PAL-NANNO,0,0,0.0,0.0,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,C,,,C,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,1,F,1,P
356-U1460A-1F-CC-PAL-NANNO,0,5,2.08,2.13,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,C,R,,R,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,1,F,CC,P
356-U1460A-2F-CC-PAL-NANNO,0,5,6.06,6.11,NN20 [G12],"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,2,F,CC,P
356-U1460A-3F-CC-PAL-NANNO,0,5,11.32,11.37,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,A,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,356,U1460,A,3,F,CC,P
356-U1460A-4F-CC-PAL-NANNO,0,5,15.9,15.95,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,4,F,CC,P
356-U1460A-5F-CC-PAL-NANNO,0,7,20.58,20.65,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,R,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1460,A,5,F,CC,P
356-U1460A-6F-CC-PAL-NANNO,0,5,25.34,25.39,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,6,F,CC,P
356-U1460A-7F-CC-PAL-NANNO,0,10,30.1,30.2,,,G [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,7,F,CC,P
356-U1460A-8F-CC-PAL-NANNO,0,5,34.95,35.0,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,8,F,CC,P
356-U1460A-9F-CC-PAL-NANNO,0,8,35.62,35.7,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,P,,R,P,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,9,F,CC,P
356-U1460A-10F-CC-PAL-NANNO,0,5,44.23,44.28,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,10,F,CC,P
356-U1460A-11F-CC-PAL-NANNO,0,5,48.97,49.02,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,11,F,CC,P
356-U1460A-12F-CC-PAL-NANNO,0,5,53.66,53.71,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,,,,,,,,,,,F,,,,,,R,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,12,F,CC,P
356-U1460A-16F-CC-PAL-NANNO,0,3,72.32,72.35,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,R,R,,,,,,,,,,F,,,,,,C,C,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1460,A,16,F,CC,P
356-U1460A-18F-CC-PAL-NANNO,0,5,81.79,81.84,,,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,F,,R,,,,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,356,U1460,A,18,F,CC,P
356-U1460A-19F-CC-PAL-NANNO,0,5,86.54,86.59,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,19,F,CC,P
356-U1460A-20F-CC-PAL-NANNO,0,5,91.04,91.09,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,20,F,CC,P
356-U1460A-24F-CC-PAL-NANNO,0,5,109.17,109.22,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,,R,,R,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,356,U1460,A,24,F,CC,P
356-U1460A-25F-CC-PAL-NANNO,0,8,114.93,115.01,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,R,,,,,,,,C,,,,,,C,C,,,,,F,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,356,U1460,A,25,F,CC,P
356-U1460A-26F-CC-PAL-NANNO,0,5,119.46,119.51,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,F,,,,,,,,F,,,,,,C,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1460,A,26,F,CC,P
356-U1460A-27F-CC-PAL-NANNO,0,5,124.55,124.6,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,,,F,,,,,,,,F,,,,,,A,C,,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,356,U1460,A,27,F,CC,P
356-U1460A-28F-CC-PAL-NANNO,0,5,128.83,128.88,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,F,,,,,,,,,,,,,C,C,,,,,F,C,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,356,U1460,A,28,F,CC,P
356-U1460A-29F-CC-PAL-NANNO,0,5,133.8,133.85,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,F,C,,,,,F,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,356,U1460,A,29,F,CC,P
356-U1460A-30F-CC-PAL-NANNO,0,5,138.22,138.27,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,F,F,,,,,F,C,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,356,U1460,A,30,F,CC,P
356-U1460A-35F-CC-PAL-NANNO,0,5,162.16,162.21,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,F,,,,,C,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,"(Few) dolomite rhombs, silica sponge spicules",,,,356,U1460,A,35,F,CC,P
356-U1460A-36F-CC-PAL-NANNO,0,5,166.76,166.81,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,356,U1460,A,36,F,CC,P
356-U1460A-37F-CC-PAL-NANNO,0,5,171.47,171.52,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,C,C,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,356,U1460,A,37,F,CC,P
